cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-12-17 23:00:00,2021-12-20 09:45:00,59.0,65.31
1,2021-12-20 11:30:00,2021-12-20 16:15:00,4.86,6.05
2,2021-12-20 17:45:00,2021-12-21 09:45:00,16.17,21.24
3,2021-12-21 11:15:00,2021-12-21 16:15:00,5.18,6.99
4,2021-12-21 17:45:00,2021-12-22 09:45:00,16.16,22.05
5,2021-12-22 11:15:00,2021-12-22 16:15:00,5.22,7.64
6,2021-12-22 17:45:00,2021-12-23 09:45:00,16.15,24.3
7,2021-12-23 12:15:00,2021-12-23 16:15:00,4.2,4.71
8,2021-12-23 18:15:00,2021-12-24 09:45:00,15.68,16.37
9,2021-12-24 12:30:00,2021-12-24 16:15:00,3.91,4.39
10,2021-12-24 18:00:00,2021-12-27 09:45:00,63.82,53.15
11,2021-12-27 14:15:00,2021-12-27 16:15:00,2.21,2.61
12,2021-12-27 18:30:00,2021-12-28 09:45:00,15.36,13.61
13,2021-12-28 16:00:00,2021-12-28 16:15:00,0.45,0.56
14,2021-12-28 17:45:00,2021-12-29 09:45:00,16.17,13.01
15,2021-12-29 13:00:00,2021-12-29 16:15:00,3.43,3.66
16,2021-12-30 02:15:00,2021-12-30 09:45:00,7.6,5.48
17,2021-12-30 21:00:00,2021-12-31 09:45:00,12.8,9.66
18,2021-12-31 17:45:00,2021-12-31 22:45:00,5.17,5.62
