cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 00:00:00,0.12,0.19
1,2021-01-01 00:30:00,2021-01-01 00:30:00,0.12,0.67
2,2021-01-01 01:00:00,2021-01-01 01:15:00,0.46,0.74
3,2021-01-01 01:45:00,2021-01-01 01:45:00,0.12,0.71
4,2021-01-01 02:15:00,2021-01-01 02:30:00,0.42,0.72
5,2021-01-01 03:00:00,2021-01-01 03:15:00,0.41,1.06
6,2021-01-01 03:45:00,2021-01-01 03:45:00,0.12,0.78
7,2021-01-01 04:15:00,2021-01-01 04:30:00,0.38,0.84
8,2021-01-01 05:00:00,2021-01-01 05:45:00,1.0,1.69
9,2021-01-01 06:15:00,2021-01-01 06:30:00,0.48,0.84
10,2021-01-01 07:00:00,2021-01-01 07:00:00,0.12,0.78
11,2021-01-01 07:30:00,2021-01-01 07:45:00,0.4,0.82
12,2021-01-01 08:15:00,2021-01-01 09:00:00,1.0,1.56
13,2021-01-01 09:30:00,2021-01-01 09:45:00,0.34,0.75
14,2021-01-01 11:00:00,2021-01-01 12:00:00,1.08,2.98
15,2021-01-01 12:30:00,2021-01-01 12:45:00,0.37,0.8
16,2021-01-01 13:15:00,2021-01-01 13:30:00,0.36,0.82
17,2021-01-01 14:00:00,2021-01-01 14:00:00,0.12,0.76
18,2021-01-01 14:30:00,2021-01-01 14:45:00,0.37,1.08
19,2021-01-01 15:15:00,2021-01-01 15:30:00,0.47,0.82
20,2021-01-01 16:00:00,2021-01-01 16:00:00,0.12,0.7
21,2021-01-01 17:45:00,2021-01-01 18:45:00,1.09,3.04
22,2021-01-01 19:15:00,2021-01-01 19:30:00,0.4,0.93
23,2021-01-01 20:00:00,2021-01-01 21:30:00,1.6,4.45
24,2021-01-01 22:00:00,2021-01-01 22:15:00,0.31,0.79
25,2021-01-01 22:45:00,2021-01-01 23:30:00,0.83,4.01
26,2021-01-02 00:00:00,2021-01-02 00:00:00,0.12,0.66
27,2021-01-02 00:30:00,2021-01-02 00:45:00,0.31,0.78
28,2021-01-02 01:15:00,2021-01-02 01:30:00,0.46,0.76
29,2021-01-02 02:00:00,2021-01-02 02:00:00,0.12,0.68
30,2021-01-02 02:30:00,2021-01-02 02:45:00,0.32,0.76
31,2021-01-02 03:15:00,2021-01-02 03:30:00,0.42,1.07
32,2021-01-02 04:00:00,2021-01-02 04:15:00,0.41,0.88
33,2021-01-02 04:45:00,2021-01-02 04:45:00,0.12,0.82
34,2021-01-02 05:15:00,2021-01-02 05:30:00,0.36,0.87
35,2021-01-02 06:00:00,2021-01-02 06:15:00,0.4,0.87
36,2021-01-02 06:45:00,2021-01-02 06:45:00,0.12,0.82
37,2021-01-02 07:15:00,2021-01-02 07:30:00,0.4,0.82
38,2021-01-02 08:00:00,2021-01-02 09:30:00,1.75,2.86
39,2021-01-02 10:00:00,2021-01-02 10:15:00,0.38,0.83
40,2021-01-02 10:45:00,2021-01-02 10:45:00,0.12,0.83
41,2021-01-02 11:15:00,2021-01-02 11:30:00,0.37,1.0
42,2021-01-02 12:00:00,2021-01-02 13:15:00,1.5,3.38
43,2021-01-02 13:45:00,2021-01-02 14:00:00,0.46,0.83
44,2021-01-02 14:30:00,2021-01-02 15:15:00,1.0,1.84
45,2021-01-02 15:45:00,2021-01-02 16:00:00,0.39,0.77
46,2021-01-02 16:30:00,2021-01-02 17:15:00,0.93,2.4
47,2021-01-02 17:45:00,2021-01-02 19:45:00,2.15,4.59
48,2021-01-02 20:15:00,2021-01-02 20:30:00,0.45,1.69
49,2021-01-02 21:00:00,2021-01-02 21:45:00,1.0,1.68
50,2021-01-02 22:15:00,2021-01-02 23:45:00,1.57,5.46
51,2021-01-03 00:15:00,2021-01-03 00:15:00,0.12,0.71
52,2021-01-03 00:45:00,2021-01-03 01:00:00,0.4,0.89
