cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 09:45:00,9.98,34.55
1,2021-01-01 11:00:00,2021-01-01 15:45:00,4.92,15.53
2,2021-01-01 17:15:00,2021-01-02 09:45:00,16.54,46.95
3,2021-01-04 11:00:00,2021-01-04 15:45:00,5.0,16.89
4,2021-01-04 17:15:00,2021-01-05 04:30:00,11.45,45.15
5,2021-01-05 08:30:00,2021-01-05 09:45:00,1.29,5.3
6,2021-01-05 11:00:00,2021-01-05 15:45:00,4.93,20.37
7,2021-01-05 17:15:00,2021-01-05 20:00:00,2.96,12.48
8,2021-01-05 22:15:00,2021-01-06 01:45:00,3.56,14.88
9,2021-01-06 03:45:00,2021-01-06 07:30:00,3.61,15.15
10,2021-01-06 09:45:00,2021-01-06 09:45:00,0.12,0.84
11,2021-01-06 11:00:00,2021-01-06 15:30:00,4.47,18.43
12,2021-01-06 17:15:00,2021-01-06 20:30:00,3.28,13.74
13,2021-01-06 22:45:00,2021-01-07 01:45:00,3.15,13.13
14,2021-01-07 03:45:00,2021-01-07 07:00:00,3.17,13.33
15,2021-01-07 09:30:00,2021-01-07 09:45:00,0.42,1.8
16,2021-01-07 11:00:00,2021-01-07 13:00:00,2.16,8.92
17,2021-01-07 14:45:00,2021-01-07 15:45:00,1.03,4.29
18,2021-01-07 17:15:00,2021-01-07 21:00:00,3.93,16.36
19,2021-01-07 23:15:00,2021-01-08 02:15:00,3.21,13.47
20,2021-01-08 04:30:00,2021-01-08 07:45:00,3.43,14.39
21,2021-01-08 11:00:00,2021-01-08 14:00:00,3.01,12.49
22,2021-01-08 15:45:00,2021-01-08 15:45:00,0.12,0.68
23,2021-01-08 17:15:00,2021-01-09 06:30:00,13.31,54.88
24,2021-01-09 08:15:00,2021-01-09 10:30:00,2.23,9.38
25,2021-01-09 13:30:00,2021-01-09 16:15:00,2.7,11.46
26,2021-01-09 18:15:00,2021-01-09 22:00:00,3.81,16.06
27,2021-01-10 00:00:00,2021-01-10 04:00:00,3.88,16.32
28,2021-01-10 06:00:00,2021-01-10 09:45:00,3.86,16.2
29,2021-01-10 12:15:00,2021-01-10 14:30:00,2.36,9.99
30,2021-01-10 16:30:00,2021-01-10 19:15:00,2.83,11.95
31,2021-01-10 21:15:00,2021-01-11 01:00:00,3.87,16.28
32,2021-01-11 03:00:00,2021-01-11 08:15:00,5.19,21.78
33,2021-01-11 11:00:00,2021-01-11 15:45:00,4.97,20.62
34,2021-01-11 17:15:00,2021-01-11 23:45:00,6.52,27.58
35,2021-01-12 01:45:00,2021-01-12 04:45:00,3.04,12.81
36,2021-01-12 06:45:00,2021-01-12 09:30:00,2.7,11.3
37,2021-01-12 11:30:00,2021-01-12 14:15:00,2.85,11.85
38,2021-01-12 17:15:00,2021-01-12 20:45:00,3.75,15.51
39,2021-01-12 23:00:00,2021-01-13 02:15:00,3.15,13.23
40,2021-01-13 04:15:00,2021-01-13 07:30:00,3.24,13.6
41,2021-01-13 11:00:00,2021-01-13 12:45:00,1.91,7.83
42,2021-01-13 14:45:00,2021-01-13 15:45:00,1.25,5.2
43,2021-01-13 17:15:00,2021-01-13 19:45:00,2.51,10.55
44,2021-01-13 22:15:00,2021-01-13 22:45:00,0.74,3.07
45,2021-01-17 23:00:00,2021-01-18 01:00:00,2.17,9.14
46,2021-01-18 03:00:00,2021-01-18 06:00:00,2.97,12.5
47,2021-01-18 08:30:00,2021-01-18 09:45:00,1.39,5.68
48,2021-01-18 11:00:00,2021-01-18 12:45:00,1.81,7.5
49,2021-01-18 14:45:00,2021-01-18 15:45:00,1.16,4.78
50,2021-01-18 17:15:00,2021-01-18 22:45:00,5.63,23.49
51,2021-01-19 01:00:00,2021-01-19 06:00:00,5.02,21.0
52,2021-01-19 08:00:00,2021-01-19 09:30:00,1.49,6.3
53,2021-01-19 12:45:00,2021-01-19 14:45:00,2.03,8.43
54,2021-01-19 17:15:00,2021-01-19 20:30:00,3.4,14.15
55,2021-01-19 22:00:00,2021-01-20 04:15:00,6.3,26.6
56,2021-01-20 06:15:00,2021-01-20 09:30:00,3.17,13.29
57,2021-01-20 13:45:00,2021-01-20 15:45:00,2.16,9.04
58,2021-01-20 17:15:00,2021-01-20 22:45:00,5.59,23.26
59,2021-01-21 00:45:00,2021-01-21 03:45:00,3.06,12.9
60,2021-01-21 06:00:00,2021-01-21 08:15:00,2.3,9.59
61,2021-01-21 13:15:00,2021-01-21 15:15:00,2.23,9.24
62,2021-01-21 17:30:00,2021-01-21 19:45:00,2.13,8.94
63,2021-01-21 21:45:00,2021-01-22 00:00:00,2.1,8.82
64,2021-01-22 03:00:00,2021-01-22 04:30:00,1.56,6.54
65,2021-01-22 06:45:00,2021-01-22 08:30:00,1.81,7.55
66,2021-01-22 12:00:00,2021-01-22 13:15:00,1.34,5.59
67,2021-01-22 15:00:00,2021-01-22 15:45:00,0.84,3.48
68,2021-01-22 17:15:00,2021-01-22 20:00:00,2.74,11.41
69,2021-01-22 22:45:00,2021-01-23 01:30:00,2.77,11.6
70,2021-01-23 03:15:00,2021-01-23 05:30:00,2.36,9.93
71,2021-01-23 08:00:00,2021-01-23 09:45:00,1.78,7.43
72,2021-01-23 13:45:00,2021-01-23 16:30:00,2.89,12.02
73,2021-01-23 18:30:00,2021-01-23 20:30:00,2.21,9.27
74,2021-01-23 22:45:00,2021-01-24 00:45:00,2.17,9.08
75,2021-01-24 02:45:00,2021-01-24 05:45:00,3.04,12.79
76,2021-01-24 07:30:00,2021-01-24 09:15:00,1.93,8.01
77,2021-01-24 12:30:00,2021-01-24 14:00:00,1.56,6.52
78,2021-01-24 15:45:00,2021-01-24 18:45:00,3.12,13.16
79,2021-01-24 21:15:00,2021-01-24 23:45:00,2.47,10.36
80,2021-01-25 02:15:00,2021-01-25 04:15:00,2.11,8.92
81,2021-01-25 06:30:00,2021-01-25 08:45:00,2.38,10.0
82,2021-01-25 12:00:00,2021-01-25 14:30:00,2.42,10.09
83,2021-01-25 17:15:00,2021-01-25 20:30:00,3.36,14.03
84,2021-01-25 22:45:00,2021-01-26 01:45:00,3.09,13.03
85,2021-01-26 03:45:00,2021-01-26 07:15:00,3.66,15.4
86,2021-01-26 11:00:00,2021-01-26 13:15:00,2.3,9.53
87,2021-01-26 15:15:00,2021-01-26 15:45:00,0.71,2.88
88,2021-01-26 17:15:00,2021-01-26 21:45:00,4.6,19.15
89,2021-01-26 23:30:00,2021-01-27 04:30:00,4.95,20.84
90,2021-01-27 06:45:00,2021-01-27 09:45:00,3.03,12.72
91,2021-01-27 12:00:00,2021-01-27 14:45:00,2.76,11.55
92,2021-01-27 17:15:00,2021-01-27 20:15:00,3.19,13.23
93,2021-01-27 22:30:00,2021-01-28 01:15:00,2.75,11.52
94,2021-01-28 03:30:00,2021-01-28 05:30:00,2.06,8.61
95,2021-01-28 07:30:00,2021-01-28 09:15:00,1.61,6.76
96,2021-01-28 13:30:00,2021-01-28 15:00:00,1.55,6.53
97,2021-01-28 17:15:00,2021-01-28 18:45:00,1.61,6.73
98,2021-01-28 21:15:00,2021-01-28 22:00:00,0.85,3.61
99,2021-01-29 00:45:00,2021-01-29 02:15:00,1.54,6.37
100,2021-01-29 05:00:00,2021-01-29 06:15:00,1.19,5.03
101,2021-01-29 09:15:00,2021-01-29 09:45:00,0.64,2.67
102,2021-01-29 11:00:00,2021-01-29 11:45:00,0.93,3.88
103,2021-01-29 14:15:00,2021-01-29 15:45:00,1.68,7.04
104,2021-01-29 17:15:00,2021-01-29 18:00:00,0.82,3.53
105,2021-01-29 20:15:00,2021-01-29 21:30:00,1.26,5.27
106,2021-01-30 00:00:00,2021-01-30 01:45:00,1.8,7.5
107,2021-01-30 04:00:00,2021-01-30 06:00:00,2.0,8.36
108,2021-01-30 08:15:00,2021-01-30 09:15:00,0.95,4.04
109,2021-01-30 12:00:00,2021-01-30 13:30:00,1.63,6.75
110,2021-01-30 16:00:00,2021-01-30 17:30:00,1.39,5.88
111,2021-01-30 20:15:00,2021-01-30 21:45:00,1.59,6.65
112,2021-01-31 00:15:00,2021-01-31 02:00:00,1.79,7.49
113,2021-01-31 04:30:00,2021-01-31 06:00:00,1.54,6.51
114,2021-01-31 08:45:00,2021-01-31 10:00:00,1.37,5.66
115,2021-01-31 14:15:00,2021-01-31 16:00:00,1.86,7.74
116,2021-01-31 18:00:00,2021-01-31 19:45:00,1.7,7.12
117,2021-01-31 22:15:00,2021-01-31 23:45:00,1.6,6.77
118,2021-02-01 02:00:00,2021-02-01 03:30:00,1.49,6.29
119,2021-02-01 06:00:00,2021-02-01 07:30:00,1.66,6.95
120,2021-02-01 12:00:00,2021-02-01 13:15:00,1.22,5.15
121,2021-02-01 15:45:00,2021-02-01 15:45:00,0.12,0.14
122,2021-02-01 17:15:00,2021-02-01 19:00:00,1.77,7.42
123,2021-02-01 21:30:00,2021-02-01 23:00:00,1.47,6.12
124,2021-02-02 01:30:00,2021-02-02 02:45:00,1.45,6.12
125,2021-02-02 05:45:00,2021-02-02 06:45:00,1.09,4.67
126,2021-02-02 11:00:00,2021-02-02 12:15:00,1.3,5.37
127,2021-02-02 17:15:00,2021-02-02 18:45:00,1.5,6.29
128,2021-02-02 22:15:00,2021-02-02 23:00:00,0.83,3.55
129,2021-02-03 01:15:00,2021-02-03 02:00:00,0.75,3.19
130,2021-02-03 03:45:00,2021-02-03 04:30:00,0.88,3.77
131,2021-02-03 08:45:00,2021-02-03 09:45:00,1.14,4.84
132,2021-02-03 11:00:00,2021-02-03 11:15:00,0.41,1.28
133,2021-02-03 13:45:00,2021-02-03 15:30:00,1.72,7.05
134,2021-02-03 18:45:00,2021-02-03 19:30:00,0.86,3.63
135,2021-02-03 21:45:00,2021-02-03 23:15:00,1.36,5.7
136,2021-02-04 00:45:00,2021-02-04 02:30:00,1.78,7.54
137,2021-02-04 04:15:00,2021-02-04 06:30:00,2.28,9.57
138,2021-02-04 12:00:00,2021-02-04 12:45:00,0.69,2.88
