cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-04-03 02:15:00,2022-04-03 03:15:00,1.22,6.25
1,2022-04-03 04:45:00,2022-04-03 16:15:00,11.42,36.49
2,2022-04-03 16:45:00,2022-04-03 16:45:00,0.12,0.1
3,2022-04-03 17:15:00,2022-04-03 19:45:00,2.55,8.42
4,2022-04-04 02:15:00,2022-04-04 03:45:00,1.66,8.59
5,2022-04-04 04:45:00,2022-04-04 13:15:00,8.46,25.89
6,2022-04-04 13:45:00,2022-04-04 14:00:00,0.43,1.24
7,2022-04-04 14:45:00,2022-04-04 15:00:00,0.42,1.3
8,2022-04-04 15:30:00,2022-04-04 15:45:00,0.37,0.84
9,2022-04-04 16:30:00,2022-04-04 16:30:00,0.12,0.66
10,2022-04-04 17:15:00,2022-04-04 17:30:00,0.44,0.63
11,2022-04-04 18:00:00,2022-04-04 18:15:00,0.38,0.85
12,2022-04-04 18:45:00,2022-04-04 19:00:00,0.34,0.86
13,2022-04-04 19:30:00,2022-04-04 19:45:00,0.32,0.51
14,2022-04-05 02:15:00,2022-04-05 03:15:00,1.16,6.09
15,2022-04-05 04:45:00,2022-04-05 10:45:00,6.02,18.19
16,2022-04-05 11:15:00,2022-04-05 11:30:00,0.35,1.06
17,2022-04-05 12:15:00,2022-04-05 12:30:00,0.38,1.14
18,2022-04-05 13:00:00,2022-04-05 13:15:00,0.43,0.61
19,2022-04-05 14:30:00,2022-04-05 14:45:00,0.32,0.53
20,2022-04-05 15:30:00,2022-04-05 15:45:00,0.48,0.47
21,2022-04-05 16:45:00,2022-04-05 16:45:00,0.12,0.57
22,2022-04-05 17:30:00,2022-04-05 17:30:00,0.12,0.44
23,2022-04-05 18:00:00,2022-04-05 18:15:00,0.48,0.58
24,2022-04-05 18:45:00,2022-04-05 19:00:00,0.5,0.87
25,2022-04-05 19:30:00,2022-04-05 19:45:00,0.45,0.7
26,2022-04-06 02:15:00,2022-04-06 03:15:00,1.1,5.76
27,2022-04-06 04:45:00,2022-04-06 08:45:00,3.91,11.5
28,2022-04-06 09:15:00,2022-04-06 09:30:00,0.48,1.2
29,2022-04-06 10:00:00,2022-04-06 10:15:00,0.36,0.64
30,2022-04-06 11:00:00,2022-04-06 11:00:00,0.12,0.49
31,2022-04-06 12:30:00,2022-04-06 12:45:00,0.36,0.47
32,2022-04-06 13:30:00,2022-04-06 13:45:00,0.4,0.48
33,2022-04-06 15:45:00,2022-04-06 16:00:00,0.46,0.48
34,2022-04-06 17:15:00,2022-04-06 17:30:00,0.36,0.5
35,2022-04-06 18:00:00,2022-04-06 18:00:00,0.12,0.41
36,2022-04-06 19:00:00,2022-04-06 19:00:00,0.12,0.47
37,2022-04-06 19:45:00,2022-04-06 19:45:00,0.12,0.35
38,2022-04-07 02:15:00,2022-04-07 04:15:00,2.09,11.08
39,2022-04-07 04:45:00,2022-04-07 07:45:00,2.92,8.4
40,2022-04-07 08:15:00,2022-04-07 08:45:00,0.55,1.65
41,2022-04-07 09:15:00,2022-04-07 09:30:00,0.42,0.79
42,2022-04-07 10:00:00,2022-04-07 10:15:00,0.33,0.56
43,2022-04-07 10:45:00,2022-04-07 11:00:00,0.44,0.55
44,2022-04-07 11:30:00,2022-04-07 11:45:00,0.43,0.58
45,2022-04-07 12:15:00,2022-04-07 12:15:00,0.12,0.49
46,2022-04-07 13:00:00,2022-04-07 13:00:00,0.12,0.52
47,2022-04-07 13:30:00,2022-04-07 13:45:00,0.36,0.66
48,2022-04-07 14:15:00,2022-04-07 14:30:00,0.4,0.76
49,2022-04-07 15:00:00,2022-04-07 15:15:00,0.42,0.69
50,2022-04-07 15:45:00,2022-04-07 16:00:00,0.48,0.64
51,2022-04-07 16:30:00,2022-04-07 16:45:00,0.37,0.63
52,2022-04-07 17:15:00,2022-04-07 17:30:00,0.35,0.74
53,2022-04-07 18:00:00,2022-04-07 18:15:00,0.43,0.92
54,2022-04-07 18:45:00,2022-04-07 19:15:00,0.44,1.33
55,2022-04-07 19:45:00,2022-04-07 19:45:00,0.12,0.2
56,2022-04-08 02:15:00,2022-04-08 03:00:00,0.97,5.08
57,2022-04-08 04:45:00,2022-04-08 08:45:00,4.05,11.98
58,2022-04-08 09:15:00,2022-04-08 09:15:00,0.12,0.12
59,2022-04-08 09:45:00,2022-04-08 10:15:00,0.53,1.53
60,2022-04-08 10:45:00,2022-04-08 11:15:00,0.33,0.99
61,2022-04-08 11:45:00,2022-04-08 11:45:00,0.12,0.67
62,2022-04-08 12:30:00,2022-04-08 12:30:00,0.12,0.51
63,2022-04-08 13:00:00,2022-04-08 13:15:00,0.38,0.57
64,2022-04-08 13:45:00,2022-04-08 14:00:00,0.33,0.49
65,2022-04-08 14:45:00,2022-04-08 14:45:00,0.12,0.43
66,2022-04-08 15:30:00,2022-04-08 15:30:00,0.12,0.41
67,2022-04-08 16:15:00,2022-04-08 16:30:00,0.35,0.52
68,2022-04-08 17:00:00,2022-04-08 17:00:00,0.12,0.58
69,2022-04-08 17:45:00,2022-04-08 17:45:00,0.12,0.62
70,2022-04-08 18:15:00,2022-04-08 18:30:00,0.29,0.75
71,2022-04-08 19:15:00,2022-04-08 19:15:00,0.12,0.56
72,2022-04-09 02:15:00,2022-04-09 03:15:00,1.06,5.47
73,2022-04-09 04:45:00,2022-04-09 11:30:00,6.73,20.23
74,2022-04-09 12:00:00,2022-04-09 12:30:00,0.53,1.7
75,2022-04-09 13:00:00,2022-04-09 13:15:00,0.39,0.98
76,2022-04-09 13:45:00,2022-04-09 14:00:00,0.32,0.73
77,2022-04-09 14:45:00,2022-04-09 14:45:00,0.12,0.5
78,2022-04-09 15:45:00,2022-04-09 16:00:00,0.41,0.7
79,2022-04-09 16:45:00,2022-04-09 17:00:00,0.37,0.6
80,2022-04-09 17:45:00,2022-04-09 18:00:00,0.38,0.5
81,2022-04-09 18:30:00,2022-04-09 18:30:00,0.12,0.48
82,2022-04-09 19:15:00,2022-04-09 19:30:00,0.4,1.05
83,2022-04-10 02:15:00,2022-04-10 04:15:00,2.05,10.76
84,2022-04-10 04:45:00,2022-04-10 10:15:00,5.58,16.48
