cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-09 22:45:00,214.81,788.34
1,2021-01-09 23:15:00,2021-01-13 22:45:00,95.71,382.58
2,2021-01-17 23:00:00,2021-01-22 14:45:00,111.94,454.14
3,2021-01-22 15:15:00,2021-01-27 07:30:00,112.28,471.04
4,2021-01-29 14:15:00,2021-02-05 17:45:00,171.57,545.59
5,2021-02-05 18:15:00,2021-02-06 01:15:00,7.11,18.85
6,2021-02-06 01:45:00,2021-02-24 15:00:00,445.33,1699.83
7,2021-02-24 15:30:00,2021-02-25 14:00:00,22.62,59.75
8,2021-02-25 14:30:00,2021-02-25 16:15:00,1.92,3.62
9,2021-02-25 17:00:00,2021-02-26 03:15:00,10.35,23.12
10,2021-02-26 03:45:00,2021-02-26 23:00:00,19.28,52.29
11,2021-02-26 23:30:00,2021-03-04 00:45:00,121.33,344.83
12,2021-03-04 02:00:00,2021-03-04 13:30:00,11.68,28.49
13,2021-03-04 14:00:00,2021-03-04 19:30:00,5.58,12.83
14,2021-03-04 20:00:00,2021-03-29 15:30:00,595.64,2384.45
15,2021-03-29 16:00:00,2021-03-29 17:45:00,1.91,4.29
16,2021-03-29 18:15:00,2021-03-30 14:15:00,20.09,55.7
17,2021-03-30 14:45:00,2021-03-30 14:45:00,0.12,0.12
18,2021-03-30 16:30:00,2021-03-31 11:30:00,19.15,50.73
19,2021-03-31 16:30:00,2021-03-31 18:30:00,1.87,6.53
20,2021-03-31 19:00:00,2021-04-01 09:15:00,14.48,36.65
21,2021-04-01 09:45:00,2021-04-01 10:45:00,1.14,2.29
22,2021-04-01 16:45:00,2021-04-02 14:30:00,21.86,44.64
23,2021-04-02 15:00:00,2021-04-02 17:00:00,2.2,3.74
24,2021-04-02 17:30:00,2021-04-02 19:30:00,2.18,4.24
25,2021-04-02 20:00:00,2021-04-02 21:30:00,1.59,3.81
26,2021-04-02 22:00:00,2021-04-09 16:00:00,162.1,613.58
