cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-04-01 01:00:00,2022-04-01 03:15:00,2.38,3.39
1,2022-04-01 04:15:00,2022-04-01 07:45:00,3.38,4.43
2,2022-04-01 08:15:00,2022-04-01 08:30:00,0.35,0.32
3,2022-04-01 09:00:00,2022-04-01 10:45:00,1.81,3.13
4,2022-04-01 12:30:00,2022-04-01 17:15:00,4.93,9.19
5,2022-04-01 19:00:00,2022-04-02 09:45:00,14.74,22.31
6,2022-04-02 10:30:00,2022-04-02 11:45:00,1.41,2.13
7,2022-04-02 12:15:00,2022-04-02 12:15:00,0.12,0.12
8,2022-04-02 12:45:00,2022-04-03 13:30:00,24.85,38.18
9,2022-04-03 14:15:00,2022-04-04 10:45:00,20.63,29.75
10,2022-04-04 12:30:00,2022-04-04 16:45:00,4.46,6.48
11,2022-04-04 17:15:00,2022-04-04 17:15:00,0.12,0.07
12,2022-04-04 19:15:00,2022-04-04 21:15:00,2.11,4.23
13,2022-04-04 22:00:00,2022-04-05 10:45:00,12.88,16.89
14,2022-04-05 12:30:00,2022-04-05 17:15:00,4.91,8.39
15,2022-04-05 19:00:00,2022-04-05 19:45:00,0.66,0.59
16,2022-04-05 20:45:00,2022-04-05 21:00:00,0.48,0.25
17,2022-04-05 21:30:00,2022-04-05 23:45:00,2.18,2.71
18,2022-04-06 00:45:00,2022-04-06 03:15:00,2.53,3.2
19,2022-04-06 04:15:00,2022-04-06 06:45:00,2.59,3.29
20,2022-04-06 07:30:00,2022-04-06 08:45:00,1.32,1.2
21,2022-04-06 09:15:00,2022-04-06 09:15:00,0.12,0.18
22,2022-04-06 10:00:00,2022-04-06 10:30:00,0.62,0.84
23,2022-04-06 12:30:00,2022-04-06 12:30:00,0.12,0.3
24,2022-04-06 19:00:00,2022-04-06 20:45:00,1.63,2.87
25,2022-04-06 22:15:00,2022-04-06 23:15:00,0.93,1.5
26,2022-04-07 00:15:00,2022-04-07 04:15:00,4.06,4.67
27,2022-04-07 05:30:00,2022-04-07 07:45:00,2.32,2.61
28,2022-04-07 08:15:00,2022-04-07 08:30:00,0.38,0.19
29,2022-04-07 09:00:00,2022-04-07 10:00:00,1.12,1.29
30,2022-04-07 10:45:00,2022-04-07 10:45:00,0.12,0.15
31,2022-04-07 12:30:00,2022-04-07 16:45:00,4.41,5.77
