cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-23 23:15:00,2021-01-24 00:00:00,0.69,2.2
1,2021-01-24 00:30:00,2021-01-24 02:30:00,2.18,6.81
2,2021-01-24 03:00:00,2021-01-24 09:15:00,6.38,21.99
3,2021-01-24 10:30:00,2021-01-24 10:45:00,0.49,1.29
4,2021-01-24 11:45:00,2021-01-24 12:45:00,0.96,3.04
5,2021-01-24 13:15:00,2021-01-24 14:00:00,0.59,1.91
6,2021-01-24 14:45:00,2021-01-24 15:00:00,0.47,1.08
7,2021-01-24 15:30:00,2021-01-24 17:45:00,2.35,7.44
8,2021-01-24 18:15:00,2021-01-24 20:45:00,2.49,9.16
9,2021-01-24 21:15:00,2021-01-25 00:15:00,3.07,9.58
10,2021-01-25 00:45:00,2021-01-25 09:15:00,8.55,25.52
11,2021-01-25 09:45:00,2021-01-25 09:45:00,0.12,0.71
12,2021-01-25 11:00:00,2021-01-25 11:45:00,0.75,2.31
13,2021-01-25 12:15:00,2021-01-25 16:00:00,3.91,11.11
14,2021-01-25 16:30:00,2021-01-25 16:45:00,0.44,1.38
15,2021-01-25 18:15:00,2021-01-25 20:45:00,2.47,10.37
16,2021-01-25 21:30:00,2021-01-26 09:00:00,11.71,44.72
17,2021-01-26 11:00:00,2021-01-26 11:45:00,0.72,2.24
18,2021-01-26 12:15:00,2021-01-26 12:45:00,0.55,1.75
19,2021-01-26 13:15:00,2021-01-26 13:30:00,0.44,1.27
20,2021-01-26 14:15:00,2021-01-26 16:45:00,2.64,7.34
21,2021-01-26 18:15:00,2021-01-26 20:45:00,2.67,9.38
22,2021-01-26 21:15:00,2021-01-27 06:00:00,8.74,30.77
23,2021-01-27 06:30:00,2021-01-27 07:15:00,0.96,3.02
24,2021-01-27 07:45:00,2021-01-27 09:45:00,2.16,6.78
25,2021-01-27 11:00:00,2021-01-27 12:45:00,1.84,5.63
26,2021-01-27 13:15:00,2021-01-27 16:45:00,3.7,13.08
27,2021-01-27 18:15:00,2021-01-27 19:45:00,1.55,5.9
28,2021-01-27 20:15:00,2021-01-27 21:00:00,0.69,2.18
29,2021-01-27 21:30:00,2021-01-27 22:30:00,1.2,2.93
30,2021-01-27 23:00:00,2021-01-28 05:30:00,6.58,19.03
31,2021-01-28 06:15:00,2021-01-28 08:30:00,2.2,7.14
32,2021-01-28 09:15:00,2021-01-28 09:45:00,0.69,2.22
33,2021-01-28 11:00:00,2021-01-28 11:30:00,0.61,2.05
34,2021-01-28 12:15:00,2021-01-28 12:30:00,0.44,1.14
35,2021-01-28 13:30:00,2021-01-28 13:45:00,0.42,1.16
36,2021-01-28 14:15:00,2021-01-28 15:00:00,0.59,2.0
37,2021-01-28 15:30:00,2021-01-28 16:00:00,0.39,1.32
38,2021-01-28 16:30:00,2021-01-28 16:45:00,0.36,1.24
