cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-02-17 00:15:00,2022-02-17 01:45:00,1.71,4.31
1,2022-02-17 05:30:00,2022-02-17 08:45:00,3.33,8.47
2,2022-02-17 09:30:00,2022-02-17 10:45:00,1.4,3.77
3,2022-02-17 11:30:00,2022-02-17 13:15:00,1.71,5.3
4,2022-02-17 18:45:00,2022-02-17 20:45:00,2.01,2.44
5,2022-02-18 00:00:00,2022-02-18 00:45:00,0.96,1.81
6,2022-02-18 05:30:00,2022-02-18 10:45:00,5.48,17.92
7,2022-02-18 11:30:00,2022-02-18 13:00:00,1.52,3.24
8,2022-02-18 18:45:00,2022-02-18 20:45:00,2.01,2.46
9,2022-02-18 23:45:00,2022-02-19 01:00:00,1.5,3.46
10,2022-02-19 05:30:00,2022-02-19 13:00:00,7.63,22.63
11,2022-02-19 18:45:00,2022-02-19 20:45:00,2.01,2.44
12,2022-02-20 00:15:00,2022-02-20 01:45:00,1.63,3.88
13,2022-02-20 05:30:00,2022-02-20 13:00:00,7.63,22.48
14,2022-02-20 18:45:00,2022-02-20 20:45:00,2.01,2.45
15,2022-02-21 00:00:00,2022-02-21 01:15:00,1.5,3.34
16,2022-02-21 01:45:00,2022-02-21 03:45:00,2.03,7.98
17,2022-02-21 05:30:00,2022-02-21 10:45:00,5.47,17.97
18,2022-02-21 11:30:00,2022-02-21 13:00:00,1.45,3.92
19,2022-02-21 18:45:00,2022-02-21 20:45:00,2.01,2.43
20,2022-02-22 00:15:00,2022-02-22 01:15:00,1.22,2.04
21,2022-02-22 06:30:00,2022-02-22 10:45:00,4.29,14.19
22,2022-02-22 11:30:00,2022-02-22 13:00:00,1.41,4.21
23,2022-02-22 18:45:00,2022-02-22 22:00:00,3.27,11.52
24,2022-02-23 00:00:00,2022-02-23 01:15:00,1.5,3.16
25,2022-02-23 05:30:00,2022-02-23 10:00:00,4.72,16.05
26,2022-02-23 11:30:00,2022-02-23 13:00:00,1.51,1.89
27,2022-02-23 18:45:00,2022-02-23 20:45:00,2.01,2.46
28,2022-02-24 00:15:00,2022-02-24 01:30:00,1.5,3.48
29,2022-02-24 05:30:00,2022-02-24 10:45:00,5.48,12.63
30,2022-02-24 11:30:00,2022-02-24 13:00:00,1.52,3.43
31,2022-02-24 18:45:00,2022-02-24 20:45:00,2.0,2.44
32,2022-02-25 00:00:00,2022-02-25 01:15:00,1.48,2.73
33,2022-02-25 05:30:00,2022-02-25 10:45:00,5.47,17.93
34,2022-02-25 11:30:00,2022-02-25 13:00:00,1.52,3.08
35,2022-02-25 18:45:00,2022-02-25 20:45:00,2.01,2.41
36,2022-02-25 23:45:00,2022-02-26 01:00:00,1.5,3.26
37,2022-02-26 05:30:00,2022-02-26 13:00:00,7.64,21.63
38,2022-02-26 18:45:00,2022-02-26 20:45:00,2.0,2.44
39,2022-02-27 00:15:00,2022-02-27 01:30:00,1.5,2.82
40,2022-02-27 05:30:00,2022-02-27 10:45:00,5.28,17.24
41,2022-02-27 11:30:00,2022-02-27 13:00:00,1.51,1.88
42,2022-02-27 18:45:00,2022-02-27 20:45:00,2.0,2.42
43,2022-02-28 00:00:00,2022-02-28 03:45:00,3.88,11.51
44,2022-02-28 05:30:00,2022-02-28 10:30:00,5.22,17.12
45,2022-02-28 11:30:00,2022-02-28 13:00:00,1.51,1.87
46,2022-02-28 18:45:00,2022-02-28 20:45:00,2.01,2.4
47,2022-03-01 05:30:00,2022-03-01 10:45:00,5.42,17.63
48,2022-03-01 11:30:00,2022-03-01 13:00:00,1.51,1.87
49,2022-03-01 18:45:00,2022-03-01 20:45:00,2.01,2.41
50,2022-03-02 00:00:00,2022-03-02 01:15:00,1.5,3.31
51,2022-03-02 05:30:00,2022-03-02 10:45:00,5.47,17.77
52,2022-03-02 11:30:00,2022-03-02 13:00:00,1.52,3.02
53,2022-03-02 18:45:00,2022-03-02 20:45:00,2.01,2.39
54,2022-03-03 00:15:00,2022-03-03 01:45:00,1.7,3.9
55,2022-03-03 05:30:00,2022-03-03 10:45:00,5.47,14.93
56,2022-03-03 11:30:00,2022-03-03 13:00:00,1.52,2.9
57,2022-03-03 18:45:00,2022-03-03 20:45:00,2.01,2.39
58,2022-03-04 00:00:00,2022-03-04 00:45:00,0.97,1.86
59,2022-03-04 05:30:00,2022-03-04 10:45:00,5.48,17.73
60,2022-03-04 11:30:00,2022-03-04 13:00:00,1.52,3.0
61,2022-03-04 18:45:00,2022-03-04 20:45:00,2.0,2.37
62,2022-03-04 23:45:00,2022-03-05 01:15:00,1.62,3.76
63,2022-03-05 05:30:00,2022-03-05 13:00:00,7.64,20.86
64,2022-03-05 18:45:00,2022-03-05 20:45:00,2.01,2.38
65,2022-03-06 00:15:00,2022-03-06 01:30:00,1.5,3.49
66,2022-03-06 05:30:00,2022-03-06 13:00:00,7.73,21.23
67,2022-03-06 19:00:00,2022-03-06 20:45:00,2.0,2.37
68,2022-03-07 00:00:00,2022-03-07 01:15:00,1.5,3.17
69,2022-03-07 01:45:00,2022-03-07 03:45:00,2.03,7.82
70,2022-03-07 05:30:00,2022-03-07 10:45:00,5.47,17.72
71,2022-03-07 11:45:00,2022-03-07 13:00:00,1.33,3.08
72,2022-03-07 19:00:00,2022-03-07 20:45:00,2.0,2.34
73,2022-03-08 05:30:00,2022-03-08 10:45:00,5.48,17.77
74,2022-03-08 11:45:00,2022-03-08 13:00:00,1.33,3.16
75,2022-03-08 19:00:00,2022-03-08 20:45:00,2.0,2.34
76,2022-03-09 00:00:00,2022-03-09 01:30:00,1.56,3.43
77,2022-03-09 05:30:00,2022-03-09 10:45:00,5.48,17.63
78,2022-03-09 11:45:00,2022-03-09 13:00:00,1.34,2.8
79,2022-03-09 19:00:00,2022-03-09 20:45:00,2.0,2.35
80,2022-03-10 00:15:00,2022-03-10 01:45:00,1.57,3.68
81,2022-03-10 05:30:00,2022-03-10 10:45:00,5.48,14.63
82,2022-03-10 11:45:00,2022-03-10 13:00:00,1.34,2.94
83,2022-03-10 19:00:00,2022-03-10 20:45:00,2.0,2.36
84,2022-03-11 00:00:00,2022-03-11 01:15:00,1.5,2.38
85,2022-03-11 09:15:00,2022-03-11 10:45:00,1.66,4.4
86,2022-03-11 11:45:00,2022-03-11 13:00:00,1.34,3.29
87,2022-03-11 19:00:00,2022-03-11 20:45:00,2.0,2.36
88,2022-03-11 23:45:00,2022-03-12 01:00:00,1.5,3.45
89,2022-03-12 05:30:00,2022-03-12 10:00:00,4.59,15.08
90,2022-03-12 11:45:00,2022-03-12 13:00:00,1.5,1.84
91,2022-03-12 19:00:00,2022-03-12 20:45:00,2.0,2.4
92,2022-03-13 00:15:00,2022-03-13 01:30:00,1.5,3.44
93,2022-03-13 05:30:00,2022-03-13 08:45:00,3.3,11.14
94,2022-03-13 11:45:00,2022-03-13 13:00:00,1.5,1.84
95,2022-03-13 19:00:00,2022-03-13 20:15:00,1.5,1.8
96,2022-03-14 00:00:00,2022-03-14 03:45:00,3.86,11.54
97,2022-03-14 07:00:00,2022-03-14 08:45:00,1.96,5.71
98,2022-03-14 11:45:00,2022-03-14 13:00:00,1.5,1.87
99,2022-03-14 19:00:00,2022-03-14 20:00:00,1.16,1.41
100,2022-03-15 00:15:00,2022-03-15 00:45:00,0.62,1.15
101,2022-03-15 06:45:00,2022-03-15 10:45:00,3.98,13.32
102,2022-03-15 11:45:00,2022-03-15 13:00:00,1.5,1.85
103,2022-03-15 19:00:00,2022-03-15 20:45:00,1.99,2.42
