cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 01:30:00,1.65,4.18
1,2021-01-01 02:00:00,2021-01-01 03:45:00,1.78,4.63
2,2021-01-01 05:00:00,2021-01-01 07:30:00,2.57,6.73
3,2021-01-01 08:15:00,2021-01-01 09:15:00,1.05,2.64
4,2021-01-01 10:45:00,2021-01-01 11:00:00,0.5,1.23
5,2021-01-01 12:30:00,2021-01-01 13:15:00,0.83,1.94
6,2021-01-01 14:15:00,2021-01-01 14:45:00,0.62,1.56
7,2021-01-01 15:45:00,2021-01-01 16:45:00,1.06,2.5
8,2021-01-01 17:30:00,2021-01-01 19:00:00,1.52,4.15
9,2021-01-01 19:45:00,2021-01-01 20:45:00,1.05,2.57
10,2021-01-01 21:30:00,2021-01-02 00:30:00,2.94,10.32
11,2021-01-02 01:15:00,2021-01-02 02:30:00,1.14,2.73
12,2021-01-02 03:15:00,2021-01-02 04:00:00,0.84,2.18
13,2021-01-02 04:45:00,2021-01-02 05:30:00,0.77,1.94
14,2021-01-02 06:15:00,2021-01-02 07:15:00,1.08,2.66
15,2021-01-02 08:15:00,2021-01-02 09:30:00,1.27,3.07
16,2021-01-02 10:00:00,2021-01-02 10:30:00,0.57,1.47
17,2021-01-02 11:30:00,2021-01-02 12:15:00,0.9,2.06
18,2021-01-02 13:15:00,2021-01-02 14:30:00,1.15,2.86
19,2021-01-02 15:15:00,2021-01-02 16:00:00,0.7,1.76
20,2021-01-02 17:00:00,2021-01-02 18:00:00,1.08,2.62
21,2021-01-02 18:45:00,2021-01-03 04:00:00,9.19,22.2
22,2021-01-03 04:30:00,2021-01-03 08:45:00,4.17,11.25
23,2021-01-03 09:45:00,2021-01-03 11:00:00,1.38,3.35
24,2021-01-03 12:00:00,2021-01-03 14:00:00,2.16,5.43
25,2021-01-03 15:00:00,2021-01-03 16:30:00,1.65,4.05
26,2021-01-03 17:30:00,2021-01-04 06:15:00,12.8,33.85
27,2021-01-04 07:00:00,2021-01-04 08:15:00,1.34,3.25
28,2021-01-04 09:15:00,2021-01-04 10:00:00,0.75,1.8
29,2021-01-04 10:45:00,2021-01-04 12:00:00,1.39,3.87
30,2021-01-04 13:15:00,2021-01-04 14:00:00,0.62,1.59
31,2021-01-04 14:30:00,2021-01-04 15:30:00,1.04,2.51
32,2021-01-04 16:30:00,2021-01-04 17:15:00,0.99,2.5
33,2021-01-04 18:00:00,2021-01-04 18:45:00,0.78,1.96
34,2021-01-04 19:30:00,2021-01-05 04:15:00,8.72,22.75
35,2021-01-05 04:45:00,2021-01-05 06:15:00,1.5,3.7
36,2021-01-05 07:00:00,2021-01-05 08:00:00,1.19,2.93
37,2021-01-05 08:45:00,2021-01-05 09:45:00,0.93,2.26
38,2021-01-05 10:30:00,2021-01-05 11:00:00,0.63,1.66
39,2021-01-05 11:30:00,2021-01-05 13:00:00,1.62,4.3
40,2021-01-05 14:00:00,2021-01-05 15:00:00,0.91,2.37
41,2021-01-05 15:30:00,2021-01-06 05:00:00,13.57,37.93
42,2021-01-06 06:15:00,2021-01-06 07:45:00,1.44,3.56
43,2021-01-06 09:00:00,2021-01-06 10:00:00,1.25,3.06
44,2021-01-06 11:00:00,2021-01-06 13:15:00,2.44,6.35
45,2021-01-06 14:15:00,2021-01-06 15:45:00,1.55,3.79
46,2021-01-06 16:45:00,2021-01-06 18:00:00,1.17,2.93
47,2021-01-06 18:45:00,2021-01-06 19:15:00,0.62,1.53
48,2021-01-06 20:15:00,2021-01-06 21:15:00,0.99,2.55
49,2021-01-06 21:45:00,2021-01-07 00:15:00,2.71,6.26
50,2021-01-07 01:15:00,2021-01-07 02:15:00,1.11,2.61
51,2021-01-07 02:45:00,2021-01-07 04:15:00,1.6,4.63
52,2021-01-07 04:45:00,2021-01-07 05:15:00,0.7,1.78
53,2021-01-07 06:00:00,2021-01-07 07:15:00,1.25,3.18
54,2021-01-07 08:00:00,2021-01-07 08:45:00,0.66,1.66
55,2021-01-07 09:30:00,2021-01-07 10:00:00,0.61,1.57
56,2021-01-07 11:00:00,2021-01-07 12:00:00,1.18,2.88
57,2021-01-07 13:00:00,2021-01-07 13:45:00,0.78,2.04
58,2021-01-07 14:30:00,2021-01-07 15:15:00,0.72,1.78
59,2021-01-07 15:45:00,2021-01-07 18:15:00,2.53,7.02
60,2021-01-07 19:00:00,2021-01-07 21:15:00,2.34,5.62
