cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:15:00,2021-01-01 00:45:00,0.39,2.54
1,2021-01-01 01:30:00,2021-01-01 01:45:00,0.36,2.3
2,2021-01-01 02:45:00,2021-01-01 03:15:00,0.38,2.48
3,2021-01-01 04:00:00,2021-01-01 04:15:00,0.36,2.33
4,2021-01-01 05:15:00,2021-01-01 05:45:00,0.38,2.47
5,2021-01-01 06:30:00,2021-01-01 07:00:00,0.43,2.71
6,2021-01-01 07:45:00,2021-01-01 08:15:00,0.41,2.61
7,2021-01-01 09:00:00,2021-01-01 09:30:00,0.44,2.76
8,2021-01-01 11:00:00,2021-01-01 12:30:00,1.66,8.15
9,2021-01-01 13:15:00,2021-01-01 13:45:00,0.36,2.08
10,2021-01-01 14:30:00,2021-01-01 15:30:00,0.97,4.58
11,2021-01-01 16:15:00,2021-01-01 16:15:00,0.12,0.79
12,2021-01-01 17:45:00,2021-01-01 18:00:00,0.49,2.81
13,2021-01-01 18:45:00,2021-01-01 19:00:00,0.28,1.53
14,2021-01-01 19:45:00,2021-01-01 21:00:00,1.12,5.18
15,2021-01-01 21:45:00,2021-01-01 22:00:00,0.43,1.58
16,2021-01-01 22:45:00,2021-01-01 23:45:00,0.93,4.38
17,2021-01-02 00:30:00,2021-01-02 00:45:00,0.41,1.89
18,2021-01-02 01:30:00,2021-01-02 02:30:00,0.96,4.42
19,2021-01-02 03:15:00,2021-01-02 03:30:00,0.29,1.61
20,2021-01-02 04:30:00,2021-01-02 05:15:00,0.84,4.05
21,2021-01-02 06:00:00,2021-01-02 06:15:00,0.33,2.13
22,2021-01-02 07:15:00,2021-01-02 08:15:00,1.01,4.79
23,2021-01-02 09:00:00,2021-01-02 09:15:00,0.29,1.81
24,2021-01-02 10:00:00,2021-01-02 10:45:00,0.78,4.0
25,2021-01-02 11:30:00,2021-01-02 11:45:00,0.38,2.16
26,2021-01-02 12:30:00,2021-01-02 13:30:00,0.92,4.42
27,2021-01-02 14:15:00,2021-01-02 14:30:00,0.39,2.26
28,2021-01-02 15:15:00,2021-01-02 16:15:00,0.9,4.27
29,2021-01-02 17:00:00,2021-01-02 17:15:00,0.37,1.93
30,2021-01-02 18:15:00,2021-01-02 19:00:00,0.82,4.22
31,2021-01-02 19:45:00,2021-01-02 20:00:00,0.33,1.98
32,2021-01-02 21:00:00,2021-01-02 21:45:00,0.91,4.46
33,2021-01-02 22:30:00,2021-01-02 23:00:00,0.29,1.86
34,2021-01-02 23:45:00,2021-01-03 00:30:00,0.86,4.03
35,2021-01-03 01:15:00,2021-01-03 01:45:00,0.3,1.91
36,2021-01-03 02:30:00,2021-01-03 03:30:00,0.96,4.5
37,2021-01-03 04:15:00,2021-01-03 04:30:00,0.4,1.63
38,2021-01-03 05:15:00,2021-01-03 05:45:00,0.56,2.94
39,2021-01-03 06:30:00,2021-01-03 07:30:00,0.87,4.27
40,2021-01-03 08:15:00,2021-01-03 08:30:00,0.45,2.11
41,2021-01-03 09:15:00,2021-01-03 10:30:00,1.13,5.41
42,2021-01-03 11:15:00,2021-01-03 11:30:00,0.31,1.83
43,2021-01-03 12:15:00,2021-01-03 12:45:00,0.54,3.17
44,2021-01-03 13:30:00,2021-01-03 14:30:00,0.93,4.69
45,2021-01-03 15:15:00,2021-01-03 15:30:00,0.48,1.98
46,2021-01-03 16:15:00,2021-01-03 16:45:00,0.57,3.01
47,2021-01-03 17:45:00,2021-01-03 18:00:00,0.49,2.2
48,2021-01-03 18:45:00,2021-01-03 19:15:00,0.53,2.68
49,2021-01-03 20:15:00,2021-01-03 20:30:00,0.49,2.35
50,2021-01-03 21:30:00,2021-01-03 22:30:00,1.07,5.29
51,2021-01-03 23:15:00,2021-01-03 23:30:00,0.37,1.72
52,2021-01-04 00:15:00,2021-01-04 00:45:00,0.52,2.66
53,2021-01-04 01:30:00,2021-01-04 02:00:00,0.55,2.98
54,2021-01-04 03:00:00,2021-01-04 03:15:00,0.45,2.29
55,2021-01-04 04:15:00,2021-01-04 04:30:00,0.45,2.5
56,2021-01-04 05:30:00,2021-01-04 05:45:00,0.44,2.46
57,2021-01-04 06:30:00,2021-01-04 07:15:00,0.6,3.32
58,2021-01-04 07:45:00,2021-01-04 08:15:00,0.53,2.88
59,2021-01-04 09:00:00,2021-01-04 09:45:00,0.55,3.06
60,2021-01-04 11:00:00,2021-01-04 11:15:00,0.45,2.91
61,2021-01-04 12:00:00,2021-01-04 12:15:00,0.35,1.81
62,2021-01-04 13:00:00,2021-01-04 13:15:00,0.35,1.9
63,2021-01-04 14:00:00,2021-01-04 16:00:00,1.93,8.94
64,2021-01-04 17:45:00,2021-01-04 18:15:00,0.65,3.82
65,2021-01-04 19:00:00,2021-01-04 19:15:00,0.33,1.68
66,2021-01-04 20:00:00,2021-01-04 21:30:00,1.48,6.8
67,2021-01-04 22:15:00,2021-01-04 22:30:00,0.36,1.72
68,2021-01-04 23:15:00,2021-01-05 00:30:00,1.31,6.11
69,2021-01-05 01:30:00,2021-01-05 01:45:00,0.27,1.74
70,2021-01-05 02:30:00,2021-01-05 03:45:00,1.21,5.92
71,2021-01-05 04:30:00,2021-01-05 04:45:00,0.29,1.73
