cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:15:00,2021-01-01 00:45:00,0.45,1.24
1,2021-01-01 02:00:00,2021-01-01 02:15:00,0.46,1.21
2,2021-01-01 03:30:00,2021-01-01 04:30:00,1.19,2.9
3,2021-01-01 05:15:00,2021-01-01 05:45:00,0.65,1.79
4,2021-01-01 06:30:00,2021-01-01 07:15:00,0.63,1.75
5,2021-01-01 08:00:00,2021-01-01 08:15:00,0.47,1.21
6,2021-01-01 09:30:00,2021-01-01 09:45:00,0.4,1.09
7,2021-01-01 11:00:00,2021-01-01 12:00:00,1.05,2.88
8,2021-01-01 13:15:00,2021-01-01 13:30:00,0.46,1.23
9,2021-01-01 14:30:00,2021-01-01 15:00:00,0.51,1.37
10,2021-01-01 16:00:00,2021-01-01 16:15:00,0.36,0.99
11,2021-01-01 17:45:00,2021-01-01 18:45:00,1.14,2.98
12,2021-01-01 19:45:00,2021-01-01 20:15:00,0.5,1.37
13,2021-01-01 21:15:00,2021-01-01 21:15:00,0.12,0.59
14,2021-01-01 22:00:00,2021-01-01 22:15:00,0.43,1.14
15,2021-01-01 23:30:00,2021-01-02 00:00:00,0.46,1.26
16,2021-01-02 01:00:00,2021-01-02 01:30:00,0.47,1.28
17,2021-01-02 02:30:00,2021-01-02 03:15:00,0.82,2.02
18,2021-01-02 04:30:00,2021-01-02 04:45:00,0.47,1.27
19,2021-01-02 05:45:00,2021-01-02 06:15:00,0.54,1.48
20,2021-01-02 07:15:00,2021-01-02 07:30:00,0.49,1.35
21,2021-01-02 08:30:00,2021-01-02 09:00:00,0.58,1.55
22,2021-01-02 10:00:00,2021-01-02 10:45:00,0.9,2.19
23,2021-01-02 11:45:00,2021-01-02 12:15:00,0.52,1.42
24,2021-01-02 13:15:00,2021-01-02 13:30:00,0.49,1.35
25,2021-01-02 14:30:00,2021-01-02 15:00:00,0.53,1.42
26,2021-01-02 16:00:00,2021-01-02 16:30:00,0.52,1.42
27,2021-01-02 17:30:00,2021-01-02 18:15:00,0.82,2.09
28,2021-01-02 19:15:00,2021-01-02 19:45:00,0.51,1.41
29,2021-01-02 20:45:00,2021-01-02 21:15:00,0.64,1.77
30,2021-01-02 22:30:00,2021-01-02 23:00:00,0.46,1.23
31,2021-01-03 00:15:00,2021-01-03 00:45:00,0.48,1.29
32,2021-01-03 01:45:00,2021-01-03 02:30:00,0.84,2.18
33,2021-01-03 03:30:00,2021-01-03 04:00:00,0.59,1.56
34,2021-01-03 05:00:00,2021-01-03 05:30:00,0.6,1.59
35,2021-01-03 06:15:00,2021-01-03 07:45:00,1.63,4.25
36,2021-01-03 08:30:00,2021-01-03 09:15:00,0.81,2.22
37,2021-01-03 09:45:00,2021-01-03 10:30:00,0.79,2.15
38,2021-01-03 11:45:00,2021-01-03 12:00:00,0.49,1.35
39,2021-01-03 13:15:00,2021-01-03 14:00:00,0.79,2.14
40,2021-01-03 15:00:00,2021-01-03 15:30:00,0.54,1.45
41,2021-01-03 16:30:00,2021-01-03 17:15:00,0.7,1.93
42,2021-01-03 17:45:00,2021-01-03 18:30:00,0.67,1.87
43,2021-01-03 19:15:00,2021-01-03 20:00:00,0.98,2.49
44,2021-01-03 21:00:00,2021-01-03 21:15:00,0.47,1.32
45,2021-01-03 22:15:00,2021-01-03 22:45:00,0.55,1.52
46,2021-01-03 23:30:00,2021-01-04 00:00:00,0.6,1.63
47,2021-01-04 00:45:00,2021-01-04 02:15:00,1.36,3.47
48,2021-01-04 03:00:00,2021-01-04 03:30:00,0.73,1.96
49,2021-01-04 04:15:00,2021-01-04 05:15:00,0.94,2.53
50,2021-01-04 05:45:00,2021-01-04 07:15:00,1.54,3.97
51,2021-01-04 08:00:00,2021-01-04 08:45:00,0.79,2.16
52,2021-01-04 09:30:00,2021-01-04 09:45:00,0.46,1.27
53,2021-01-04 11:00:00,2021-01-04 12:00:00,1.2,2.99
54,2021-01-04 13:15:00,2021-01-04 13:45:00,0.58,1.6
