cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-21 00:00:00,2021-01-21 00:45:00,0.92,4.01
1,2021-01-21 02:00:00,2021-01-21 03:00:00,0.87,3.81
2,2021-01-21 04:45:00,2021-01-21 06:15:00,1.44,6.41
3,2021-01-21 08:00:00,2021-01-21 09:00:00,0.98,4.42
4,2021-01-21 12:15:00,2021-01-21 13:00:00,0.73,3.34
5,2021-01-21 16:45:00,2021-01-21 17:30:00,0.84,3.85
6,2021-01-21 20:45:00,2021-01-21 21:15:00,0.71,3.25
7,2021-01-22 00:15:00,2021-01-22 01:00:00,0.76,3.39
8,2021-01-22 02:00:00,2021-01-22 02:45:00,0.56,2.59
9,2021-01-22 05:30:00,2021-01-22 06:15:00,0.78,3.61
10,2021-01-22 08:45:00,2021-01-22 09:45:00,0.88,4.01
11,2021-01-22 13:30:00,2021-01-22 14:15:00,0.74,3.42
12,2021-01-22 17:45:00,2021-01-22 18:45:00,0.92,4.14
13,2021-01-22 21:45:00,2021-01-22 22:30:00,0.87,3.77
14,2021-01-23 01:15:00,2021-01-23 02:30:00,1.25,5.49
15,2021-01-23 04:00:00,2021-01-23 05:00:00,1.11,4.8
16,2021-01-23 06:45:00,2021-01-23 07:45:00,1.06,4.74
17,2021-01-23 09:15:00,2021-01-23 10:00:00,0.97,4.41
18,2021-01-23 12:30:00,2021-01-23 13:15:00,0.84,3.81
19,2021-01-23 15:30:00,2021-01-23 16:30:00,0.93,4.22
20,2021-01-23 18:30:00,2021-01-23 19:30:00,0.94,4.31
21,2021-01-23 21:45:00,2021-01-23 22:30:00,0.66,2.92
22,2021-01-24 01:00:00,2021-01-24 01:45:00,0.86,3.69
23,2021-01-24 03:45:00,2021-01-24 04:45:00,0.94,4.17
24,2021-01-24 06:30:00,2021-01-24 07:45:00,1.32,5.72
25,2021-01-24 09:30:00,2021-01-24 10:15:00,0.92,4.08
26,2021-01-24 12:30:00,2021-01-24 13:15:00,0.76,3.48
27,2021-01-24 15:00:00,2021-01-24 16:45:00,1.72,7.64
28,2021-01-24 18:15:00,2021-01-24 19:30:00,1.26,5.58
29,2021-01-24 21:15:00,2021-01-24 22:00:00,0.79,3.38
30,2021-01-25 00:00:00,2021-01-25 01:00:00,0.98,4.23
31,2021-01-25 02:00:00,2021-01-25 03:00:00,0.88,3.89
32,2021-01-25 04:45:00,2021-01-25 05:30:00,0.87,3.89
33,2021-01-25 07:15:00,2021-01-25 08:15:00,1.07,4.7
34,2021-01-25 10:15:00,2021-01-25 11:15:00,1.12,4.94
35,2021-01-25 13:15:00,2021-01-25 14:15:00,1.05,4.55
36,2021-01-25 16:45:00,2021-01-25 17:45:00,1.04,4.7
37,2021-01-25 20:15:00,2021-01-25 21:00:00,0.76,3.36
38,2021-01-25 23:30:00,2021-01-26 00:30:00,1.1,4.67
39,2021-01-26 02:00:00,2021-01-26 03:15:00,1.06,4.63
40,2021-01-26 05:00:00,2021-01-26 06:00:00,1.18,5.15
41,2021-01-26 08:00:00,2021-01-26 09:00:00,1.18,5.25
