cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-09 22:45:00,215.0,329.75
1,2021-01-09 23:15:00,2021-01-14 07:15:00,104.25,221.17
2,2021-01-14 07:45:00,2021-01-18 07:00:00,95.27,240.83
3,2021-01-18 07:30:00,2021-02-19 11:45:00,772.35,1223.97
4,2021-02-19 15:00:00,2021-02-22 12:15:00,69.22,91.6
5,2021-02-22 16:00:00,2021-02-23 11:45:00,20.0,25.39
6,2021-02-23 16:00:00,2021-02-24 11:30:00,19.71,23.04
7,2021-02-24 16:15:00,2021-02-25 11:45:00,19.71,23.11
8,2021-02-25 16:15:00,2021-02-26 11:15:00,19.08,21.92
9,2021-02-26 17:00:00,2021-03-02 15:30:00,94.62,126.12
10,2021-03-02 17:00:00,2021-03-03 12:15:00,19.43,24.18
11,2021-03-03 14:45:00,2021-03-04 11:00:00,20.41,22.55
12,2021-03-04 15:45:00,2021-03-11 08:15:00,160.5,205.41
13,2021-03-11 15:15:00,2021-03-13 10:00:00,42.8,45.88
14,2021-03-13 14:15:00,2021-03-24 13:15:00,263.12,383.5
15,2021-03-24 16:30:00,2021-03-25 10:30:00,18.24,25.09
16,2021-03-25 17:00:00,2021-03-26 10:30:00,17.59,20.07
17,2021-03-26 17:00:00,2021-03-27 11:00:00,17.95,18.66
18,2021-03-27 13:45:00,2021-03-28 12:00:00,22.36,27.26
19,2021-03-28 16:30:00,2021-03-29 09:45:00,17.32,20.71
20,2021-03-29 17:15:00,2021-03-30 09:30:00,16.36,18.05
21,2021-03-30 18:15:00,2021-03-31 08:30:00,14.49,15.06
22,2021-03-31 19:15:00,2021-04-01 07:45:00,12.75,13.23
23,2021-04-01 21:15:00,2021-04-02 07:00:00,9.79,10.1
24,2021-04-02 19:45:00,2021-04-03 11:15:00,15.69,16.78
25,2021-04-03 14:00:00,2021-04-04 12:30:00,22.61,27.92
26,2021-04-04 16:30:00,2021-04-05 08:30:00,16.1,20.82
27,2021-04-05 16:00:00,2021-04-08 15:45:00,71.93,104.81
28,2021-04-08 17:00:00,2021-04-09 08:45:00,15.99,24.81
29,2021-04-09 17:45:00,2021-04-10 08:00:00,14.43,14.87
30,2021-04-10 18:15:00,2021-04-11 07:15:00,13.01,13.32
31,2021-04-11 16:30:00,2021-04-16 15:15:00,118.97,157.4
32,2021-04-16 16:45:00,2021-04-17 11:45:00,19.07,24.52
33,2021-04-17 14:30:00,2021-04-18 10:30:00,20.19,21.58
34,2021-04-18 13:45:00,2021-04-19 09:30:00,19.79,24.47
35,2021-04-19 15:45:00,2021-04-20 10:00:00,18.48,20.88
36,2021-04-20 17:30:00,2021-04-21 09:30:00,16.12,18.12
37,2021-04-21 18:00:00,2021-04-22 07:15:00,13.36,13.77
38,2021-04-22 18:00:00,2021-04-23 09:30:00,15.52,16.17
39,2021-04-23 18:15:00,2021-04-24 08:30:00,14.5,15.19
40,2021-04-24 19:15:00,2021-04-25 07:30:00,12.38,12.76
41,2021-04-25 19:15:00,2021-04-26 08:30:00,13.32,13.82
42,2021-04-26 18:30:00,2021-04-27 09:30:00,14.97,15.58
43,2021-04-27 18:15:00,2021-04-28 06:30:00,12.33,12.84
44,2021-04-28 18:45:00,2021-04-29 00:15:00,5.64,5.7
45,2021-04-29 02:30:00,2021-04-29 06:15:00,3.88,4.0
46,2021-04-29 17:00:00,2021-04-30 05:00:00,12.14,12.46
47,2021-04-30 12:15:00,2021-05-01 08:45:00,20.75,21.78
48,2021-05-01 11:00:00,2021-05-02 08:30:00,21.57,22.83
49,2021-05-02 11:45:00,2021-05-02 12:15:00,0.52,1.03
50,2021-05-02 13:45:00,2021-05-03 11:00:00,21.4,23.73
51,2021-05-03 17:45:00,2021-05-04 06:45:00,13.12,13.72
52,2021-05-04 18:00:00,2021-05-05 00:15:00,6.38,6.43
53,2021-05-05 02:15:00,2021-05-05 11:00:00,8.87,9.2
54,2021-05-05 15:15:00,2021-05-06 06:30:00,15.43,16.11
55,2021-05-06 09:45:00,2021-05-07 12:15:00,26.64,28.15
56,2021-05-07 17:30:00,2021-05-08 08:30:00,15.25,16.67
57,2021-05-08 19:00:00,2021-05-09 06:30:00,11.71,12.08
58,2021-05-11 00:15:00,2021-05-11 05:00:00,4.87,5.3
59,2021-05-11 11:15:00,2021-05-11 13:15:00,2.05,1.99
60,2021-05-11 16:15:00,2021-05-12 07:00:00,14.98,15.51
61,2021-05-12 18:00:00,2021-05-13 07:00:00,13.03,13.35
62,2021-05-13 09:45:00,2021-05-13 12:15:00,2.41,2.57
63,2021-05-13 17:45:00,2021-05-14 08:15:00,14.6,15.22
64,2021-05-14 15:30:00,2021-05-15 07:00:00,15.75,16.3
65,2021-05-15 14:00:00,2021-05-16 06:00:00,16.2,16.83
66,2021-05-16 14:15:00,2021-05-16 15:30:00,1.5,1.45
67,2021-05-16 18:00:00,2021-05-17 07:15:00,13.23,13.67
