cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 23:00:00,2021-01-22 23:00:00,0.12,0.62
1,2021-01-23 02:30:00,2021-01-23 03:30:00,0.8,7.95
2,2021-01-23 06:15:00,2021-01-23 08:45:00,2.5,16.41
3,2021-01-23 11:00:00,2021-01-23 12:00:00,0.91,9.65
4,2021-01-23 15:00:00,2021-01-23 16:30:00,1.39,11.27
5,2021-01-23 19:00:00,2021-01-23 20:30:00,1.39,11.33
6,2021-01-23 23:30:00,2021-01-24 00:15:00,0.74,7.31
7,2021-01-24 03:45:00,2021-01-24 04:30:00,0.79,8.04
8,2021-01-24 06:30:00,2021-01-24 09:30:00,2.82,18.1
9,2021-01-24 11:45:00,2021-01-24 12:45:00,0.95,9.42
10,2021-01-24 15:45:00,2021-01-24 17:30:00,1.63,11.29
11,2021-01-24 19:30:00,2021-01-24 20:45:00,1.11,10.28
12,2021-01-24 23:45:00,2021-01-25 00:30:00,0.85,8.8
13,2021-01-25 03:45:00,2021-01-25 04:30:00,0.78,8.28
14,2021-01-25 06:15:00,2021-01-25 07:30:00,1.16,10.99
15,2021-01-25 09:30:00,2021-01-25 09:45:00,0.3,2.97
16,2021-01-25 11:00:00,2021-01-25 12:45:00,1.74,12.13
17,2021-01-25 15:30:00,2021-01-25 15:45:00,0.42,4.29
18,2021-01-25 17:30:00,2021-01-25 19:30:00,2.0,13.92
19,2021-01-25 23:00:00,2021-01-26 00:00:00,0.81,8.2
20,2021-01-26 03:15:00,2021-01-26 04:00:00,0.84,8.9
21,2021-01-26 06:00:00,2021-01-26 06:45:00,0.85,9.12
22,2021-01-26 08:30:00,2021-01-26 09:45:00,1.11,10.47
23,2021-01-26 12:00:00,2021-01-26 13:00:00,1.01,10.16
24,2021-01-26 15:30:00,2021-01-26 15:45:00,0.45,4.73
25,2021-01-26 17:30:00,2021-01-26 18:30:00,0.88,9.34
26,2021-01-26 20:45:00,2021-01-26 21:15:00,0.62,6.62
27,2021-01-27 00:00:00,2021-01-27 01:00:00,0.93,9.61
28,2021-01-27 03:45:00,2021-01-27 04:30:00,0.83,8.6
29,2021-01-27 06:15:00,2021-01-27 07:30:00,1.24,11.6
30,2021-01-27 09:30:00,2021-01-27 09:45:00,0.44,4.53
31,2021-01-27 11:00:00,2021-01-27 13:00:00,2.11,14.69
32,2021-01-27 15:15:00,2021-01-27 15:45:00,0.65,6.9
33,2021-01-27 17:45:00,2021-01-27 19:00:00,1.16,10.89
34,2021-01-27 22:15:00,2021-01-27 23:00:00,0.83,8.16
35,2021-01-28 02:30:00,2021-01-28 03:15:00,0.81,7.96
36,2021-01-28 05:15:00,2021-01-28 06:30:00,1.21,11.34
37,2021-01-28 08:45:00,2021-01-28 09:45:00,0.96,10.3
38,2021-01-28 12:45:00,2021-01-28 14:15:00,1.56,9.26
39,2021-01-28 17:15:00,2021-01-28 19:30:00,2.27,12.62
40,2021-01-29 01:45:00,2021-01-29 02:15:00,0.64,5.8
41,2021-01-29 05:30:00,2021-01-29 06:15:00,0.95,9.47
42,2021-01-29 09:45:00,2021-01-29 09:45:00,0.12,1.13
43,2021-01-29 11:00:00,2021-01-29 13:00:00,2.15,11.64
44,2021-01-29 17:15:00,2021-01-29 19:45:00,2.74,15.12
45,2021-01-29 22:45:00,2021-01-29 23:15:00,0.49,4.57
46,2021-01-30 04:15:00,2021-01-30 05:00:00,0.68,6.3
47,2021-01-30 07:00:00,2021-01-30 09:30:00,2.55,14.62
48,2021-01-30 12:15:00,2021-01-30 14:30:00,2.23,12.57
49,2021-01-30 17:15:00,2021-01-30 19:30:00,2.12,11.93
50,2021-01-30 22:15:00,2021-01-30 23:00:00,0.57,5.51
51,2021-01-31 04:30:00,2021-01-31 05:15:00,0.66,6.21
52,2021-01-31 07:00:00,2021-01-31 09:00:00,2.07,11.78
