cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-12-08 23:30:00,2021-12-09 00:15:00,0.86,9.8
1,2021-12-09 01:45:00,2021-12-09 02:45:00,0.87,9.83
2,2021-12-09 04:15:00,2021-12-09 05:15:00,0.86,9.79
3,2021-12-09 06:30:00,2021-12-09 07:30:00,1.0,11.44
4,2021-12-09 08:45:00,2021-12-09 10:00:00,1.13,12.49
5,2021-12-09 11:00:00,2021-12-09 12:00:00,1.03,11.62
6,2021-12-09 13:15:00,2021-12-09 14:15:00,0.98,10.89
7,2021-12-09 15:30:00,2021-12-09 16:30:00,0.99,11.0
8,2021-12-09 18:15:00,2021-12-09 19:00:00,0.85,9.64
9,2021-12-09 20:00:00,2021-12-09 20:15:00,0.32,3.5
10,2021-12-09 20:45:00,2021-12-09 21:30:00,0.75,8.79
11,2021-12-09 23:00:00,2021-12-09 23:45:00,0.86,9.63
12,2021-12-10 01:15:00,2021-12-10 02:15:00,0.9,10.19
13,2021-12-10 03:45:00,2021-12-10 04:45:00,0.88,10.16
14,2021-12-10 06:00:00,2021-12-10 07:00:00,1.05,11.95
15,2021-12-10 08:15:00,2021-12-10 09:45:00,1.47,17.1
16,2021-12-10 11:00:00,2021-12-10 12:00:00,1.01,11.63
17,2021-12-10 13:15:00,2021-12-10 14:15:00,1.0,11.41
18,2021-12-10 15:30:00,2021-12-10 16:30:00,0.96,10.92
19,2021-12-10 18:15:00,2021-12-10 19:00:00,0.82,9.33
20,2021-12-10 20:30:00,2021-12-10 21:30:00,1.06,12.18
21,2021-12-10 23:15:00,2021-12-11 00:00:00,0.81,9.18
22,2021-12-11 01:45:00,2021-12-11 02:30:00,0.81,9.12
23,2021-12-11 04:15:00,2021-12-11 05:00:00,0.8,9.03
24,2021-12-11 06:30:00,2021-12-11 07:30:00,0.95,10.91
25,2021-12-11 08:45:00,2021-12-11 10:00:00,1.27,14.71
26,2021-12-11 11:15:00,2021-12-11 12:15:00,0.92,10.31
27,2021-12-11 13:45:00,2021-12-11 14:30:00,0.91,10.21
28,2021-12-11 16:00:00,2021-12-11 16:45:00,0.87,9.52
29,2021-12-11 18:30:00,2021-12-11 19:30:00,0.79,8.85
