cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:00:00,2021-01-20 00:00:00,1.13,9.39
1,2021-01-20 00:30:00,2021-01-20 00:45:00,0.4,2.3
2,2021-01-20 01:15:00,2021-01-20 02:30:00,1.25,9.35
3,2021-01-20 03:15:00,2021-01-20 03:30:00,0.38,2.3
4,2021-01-20 04:00:00,2021-01-20 05:30:00,1.51,10.69
5,2021-01-20 06:00:00,2021-01-20 07:30:00,1.58,7.17
6,2021-01-20 09:15:00,2021-01-20 10:00:00,0.76,3.92
7,2021-01-20 11:00:00,2021-01-20 11:30:00,0.57,2.92
8,2021-01-20 13:45:00,2021-01-20 14:15:00,0.7,3.66
9,2021-01-20 16:00:00,2021-01-20 16:30:00,0.52,2.69
10,2021-01-20 17:45:00,2021-01-20 19:15:00,1.63,9.3
11,2021-01-20 20:45:00,2021-01-20 22:00:00,1.5,9.63
12,2021-01-20 22:45:00,2021-01-21 00:00:00,1.3,7.83
13,2021-01-21 01:00:00,2021-01-21 01:15:00,0.29,1.7
14,2021-01-21 01:45:00,2021-01-21 02:30:00,0.85,4.92
15,2021-01-21 03:45:00,2021-01-21 03:45:00,0.12,1.44
16,2021-01-21 04:30:00,2021-01-21 05:30:00,0.89,5.23
17,2021-01-21 07:15:00,2021-01-21 08:00:00,0.78,4.07
18,2021-01-21 13:15:00,2021-01-21 14:15:00,0.87,4.51
19,2021-01-21 16:00:00,2021-01-21 16:30:00,0.34,1.82
20,2021-01-21 17:45:00,2021-01-21 18:45:00,1.06,5.42
21,2021-01-21 20:45:00,2021-01-21 21:45:00,1.18,5.49
22,2021-01-21 23:30:00,2021-01-22 00:15:00,0.75,3.9
23,2021-01-22 02:15:00,2021-01-22 03:00:00,0.81,5.91
24,2021-01-22 03:30:00,2021-01-22 03:45:00,0.3,1.51
25,2021-01-22 04:45:00,2021-01-22 05:45:00,1.03,6.29
26,2021-01-22 07:30:00,2021-01-22 08:15:00,0.73,3.82
27,2021-01-22 11:45:00,2021-01-22 12:30:00,0.74,3.85
28,2021-01-22 15:00:00,2021-01-22 15:45:00,0.82,4.25
29,2021-01-22 17:45:00,2021-01-22 18:30:00,0.93,4.8
30,2021-01-22 20:15:00,2021-01-22 21:00:00,0.83,4.32
31,2021-01-22 21:30:00,2021-01-22 21:45:00,0.33,0.94
32,2021-01-22 23:00:00,2021-01-23 00:30:00,1.52,7.11
33,2021-01-23 01:00:00,2021-01-23 02:15:00,1.13,8.3
34,2021-01-23 03:00:00,2021-01-23 03:15:00,0.32,1.96
35,2021-01-23 03:45:00,2021-01-23 05:00:00,1.18,8.51
36,2021-01-23 05:30:00,2021-01-23 07:45:00,2.2,9.91
37,2021-01-23 08:45:00,2021-01-23 09:30:00,0.85,4.45
38,2021-01-23 11:15:00,2021-01-23 12:00:00,0.78,4.08
39,2021-01-23 14:30:00,2021-01-23 15:15:00,0.91,4.73
40,2021-01-23 16:45:00,2021-01-23 18:15:00,1.61,6.87
