cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-08-10 10:45:00,2022-08-10 11:15:00,0.75,0.47
1,2022-08-10 21:00:00,2022-08-10 22:00:00,1.24,0.77
2,2022-08-11 10:30:00,2022-08-11 11:15:00,0.96,0.59
3,2022-08-12 01:45:00,2022-08-12 02:30:00,0.82,0.52
4,2022-08-12 15:00:00,2022-08-12 15:30:00,0.72,0.45
5,2022-08-13 01:00:00,2022-08-13 02:00:00,1.13,0.68
6,2022-08-13 13:00:00,2022-08-13 14:00:00,1.2,0.74
7,2022-08-14 00:30:00,2022-08-14 01:45:00,1.41,0.85
8,2022-08-14 12:30:00,2022-08-14 18:15:00,5.83,3.37
9,2022-08-15 02:30:00,2022-08-15 03:45:00,1.38,0.82
10,2022-08-15 09:30:00,2022-08-15 12:00:00,2.67,1.57
11,2022-08-15 20:00:00,2022-08-15 22:15:00,2.47,1.47
12,2022-08-16 08:45:00,2022-08-16 10:30:00,1.98,1.21
13,2022-08-16 13:30:00,2022-08-16 15:45:00,2.42,1.42
14,2022-08-16 20:00:00,2022-08-16 22:30:00,2.7,1.59
15,2022-08-17 07:00:00,2022-08-17 09:00:00,2.14,1.28
16,2022-08-17 19:00:00,2022-08-17 22:00:00,3.21,1.88
17,2022-08-18 07:00:00,2022-08-18 09:00:00,2.13,1.28
18,2022-08-18 15:00:00,2022-08-18 17:15:00,2.39,1.39
19,2022-08-19 04:00:00,2022-08-19 05:00:00,1.11,0.69
20,2022-08-19 09:15:00,2022-08-19 11:15:00,2.16,1.25
21,2022-08-19 17:00:00,2022-08-19 19:15:00,2.5,1.46
22,2022-08-20 07:45:00,2022-08-20 14:45:00,7.14,4.1
23,2022-08-21 03:15:00,2022-08-21 04:00:00,0.97,0.62
24,2022-08-21 10:45:00,2022-08-21 16:45:00,6.12,3.5
25,2022-08-21 23:45:00,2022-08-22 01:30:00,1.86,1.09
26,2022-08-22 07:15:00,2022-08-22 09:15:00,2.06,1.2
27,2022-08-22 19:15:00,2022-08-22 20:45:00,1.61,0.96
28,2022-08-23 04:15:00,2022-08-23 05:30:00,1.5,0.88
29,2022-08-23 11:15:00,2022-08-23 16:00:00,4.95,2.85
30,2022-08-23 22:00:00,2022-08-23 23:45:00,1.9,1.1
31,2022-08-24 06:45:00,2022-08-24 09:00:00,2.4,1.4
32,2022-08-24 13:15:00,2022-08-24 15:00:00,2.0,1.15
33,2022-08-24 18:00:00,2022-08-24 20:30:00,2.6,1.49
34,2022-08-25 07:30:00,2022-08-25 10:30:00,3.25,1.91
35,2022-08-25 20:45:00,2022-08-25 23:15:00,2.71,1.58
36,2022-08-26 09:00:00,2022-08-26 11:15:00,2.49,1.46
37,2022-08-26 18:45:00,2022-08-26 20:15:00,1.67,0.98
38,2022-08-27 08:15:00,2022-08-27 09:15:00,1.17,0.72
39,2022-08-27 10:45:00,2022-08-27 18:00:00,7.5,4.19
40,2022-08-28 04:30:00,2022-08-28 05:45:00,1.34,0.8
41,2022-08-28 12:15:00,2022-08-28 15:15:00,3.15,1.83
42,2022-08-29 00:00:00,2022-08-29 01:15:00,1.43,0.87
43,2022-08-29 08:00:00,2022-08-29 09:30:00,1.64,0.97
44,2022-08-29 15:30:00,2022-08-29 17:15:00,1.78,1.06
45,2022-08-29 22:00:00,2022-08-30 00:15:00,2.28,1.33
46,2022-08-30 08:15:00,2022-08-30 09:45:00,1.62,0.97
47,2022-08-30 15:15:00,2022-08-30 17:15:00,2.19,1.28
48,2022-08-31 04:00:00,2022-08-31 05:00:00,1.11,0.69
49,2022-08-31 10:15:00,2022-08-31 12:30:00,2.32,1.36
50,2022-08-31 19:30:00,2022-08-31 22:15:00,2.95,1.7
51,2022-09-01 06:15:00,2022-09-01 09:30:00,3.26,1.9
52,2022-09-01 21:15:00,2022-09-01 23:00:00,1.9,1.13
53,2022-09-02 07:45:00,2022-09-02 09:45:00,2.25,1.31
54,2022-09-02 18:30:00,2022-09-02 21:45:00,3.46,1.99
55,2022-09-03 09:15:00,2022-09-03 12:15:00,3.13,1.82
56,2022-09-03 22:15:00,2022-09-03 23:30:00,1.49,0.89
57,2022-09-04 08:15:00,2022-09-04 09:30:00,1.41,0.83
58,2022-09-04 16:30:00,2022-09-04 18:30:00,2.16,1.27
59,2022-09-05 05:45:00,2022-09-05 08:00:00,2.42,1.42
60,2022-09-05 17:00:00,2022-09-05 18:15:00,1.5,0.9
61,2022-09-06 00:15:00,2022-09-06 01:45:00,1.75,1.03
62,2022-09-06 08:15:00,2022-09-06 09:45:00,1.74,1.03
63,2022-09-06 17:30:00,2022-09-06 19:00:00,1.75,1.04
64,2022-09-06 23:00:00,2022-09-07 00:45:00,1.99,1.15
65,2022-09-07 07:30:00,2022-09-07 11:00:00,3.67,2.14
66,2022-09-07 14:30:00,2022-09-07 16:15:00,2.0,1.16
67,2022-09-07 21:00:00,2022-09-07 22:30:00,1.74,1.01
68,2022-09-08 08:00:00,2022-09-08 10:00:00,2.19,1.29
69,2022-09-08 21:30:00,2022-09-08 22:30:00,1.09,0.68
70,2022-09-09 08:15:00,2022-09-09 09:15:00,1.25,0.77
71,2022-09-09 17:30:00,2022-09-09 19:45:00,2.48,1.45
72,2022-09-10 04:00:00,2022-09-10 05:15:00,1.47,0.89
73,2022-09-10 11:30:00,2022-09-10 14:30:00,3.12,1.82
74,2022-09-10 21:30:00,2022-09-10 23:00:00,1.71,1.01
75,2022-09-11 10:00:00,2022-09-11 17:15:00,7.41,4.22
76,2022-09-12 05:30:00,2022-09-12 06:30:00,1.06,0.65
77,2022-09-12 11:30:00,2022-09-12 14:15:00,2.92,1.7
78,2022-09-13 00:00:00,2022-09-13 01:15:00,1.45,0.86
79,2022-09-13 08:30:00,2022-09-13 10:30:00,2.09,1.23
80,2022-09-13 18:30:00,2022-09-13 21:15:00,2.95,1.71
81,2022-09-14 06:45:00,2022-09-14 08:30:00,1.89,1.11
82,2022-09-14 16:00:00,2022-09-14 17:15:00,1.5,0.89
83,2022-09-14 22:30:00,2022-09-15 00:30:00,2.18,1.28
84,2022-09-15 09:15:00,2022-09-15 12:30:00,3.49,2.0
85,2022-09-15 21:30:00,2022-09-15 23:30:00,2.2,1.3
86,2022-09-16 11:00:00,2022-09-16 12:00:00,1.25,0.75
87,2022-09-16 19:00:00,2022-09-16 21:15:00,2.31,1.34
88,2022-09-17 08:45:00,2022-09-17 09:45:00,1.14,0.7
89,2022-09-17 11:45:00,2022-09-17 15:15:00,3.74,2.12
90,2022-09-17 23:30:00,2022-09-17 23:45:00,0.45,0.26
91,2022-09-18 01:00:00,2022-09-18 01:00:00,0.12,0.08
92,2022-09-18 09:15:00,2022-09-18 11:30:00,2.35,1.37
93,2022-09-18 15:45:00,2022-09-18 21:15:00,5.65,3.17
