cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:45:00,2021-01-01 01:00:00,0.37,0.68
1,2021-01-01 02:15:00,2021-01-01 03:30:00,1.39,3.56
2,2021-01-01 04:15:00,2021-01-01 05:00:00,0.98,2.53
3,2021-01-01 05:45:00,2021-01-01 06:30:00,0.9,2.32
4,2021-01-01 07:00:00,2021-01-01 07:45:00,0.81,2.09
5,2021-01-01 08:15:00,2021-01-01 09:00:00,0.78,2.02
6,2021-01-01 09:45:00,2021-01-01 10:15:00,0.74,1.94
7,2021-01-01 11:00:00,2021-01-01 11:30:00,0.72,1.86
8,2021-01-01 12:15:00,2021-01-01 12:45:00,0.66,1.73
9,2021-01-01 13:15:00,2021-01-01 14:00:00,0.69,1.79
10,2021-01-01 14:30:00,2021-01-01 15:15:00,0.7,1.82
11,2021-01-01 15:45:00,2021-01-01 16:15:00,0.68,1.76
12,2021-01-01 17:00:00,2021-01-01 17:30:00,0.69,1.81
13,2021-01-01 18:00:00,2021-01-01 18:30:00,0.41,1.06
14,2021-01-01 22:45:00,2021-01-01 23:00:00,0.28,0.69
15,2021-01-02 00:00:00,2021-01-02 00:15:00,0.43,0.7
16,2021-01-02 01:30:00,2021-01-02 01:30:00,0.12,0.61
17,2021-01-02 02:30:00,2021-01-02 03:45:00,1.35,3.45
18,2021-01-02 04:15:00,2021-01-02 05:30:00,1.08,2.78
19,2021-01-02 06:00:00,2021-01-02 06:45:00,0.88,2.26
20,2021-01-02 07:15:00,2021-01-02 08:15:00,0.91,2.36
21,2021-01-02 08:45:00,2021-01-02 09:30:00,0.84,2.18
22,2021-01-02 10:00:00,2021-01-02 10:45:00,0.83,2.14
23,2021-01-02 11:30:00,2021-01-02 12:15:00,0.81,2.1
24,2021-01-02 12:45:00,2021-01-02 13:30:00,0.8,2.08
25,2021-01-02 14:00:00,2021-01-02 14:45:00,0.81,2.1
26,2021-01-02 15:15:00,2021-01-02 16:00:00,0.73,1.9
27,2021-01-02 16:30:00,2021-01-02 17:15:00,0.79,2.04
28,2021-01-02 17:45:00,2021-01-02 18:30:00,0.68,1.76
29,2021-01-02 22:15:00,2021-01-02 22:30:00,0.47,0.67
30,2021-01-02 23:30:00,2021-01-02 23:45:00,0.42,0.65
31,2021-01-03 00:45:00,2021-01-03 01:00:00,0.35,0.67
32,2021-01-03 02:00:00,2021-01-03 02:15:00,0.29,0.7
33,2021-01-03 03:00:00,2021-01-03 04:00:00,1.2,3.08
34,2021-01-03 04:30:00,2021-01-03 05:30:00,0.95,2.43
35,2021-01-03 06:00:00,2021-01-03 06:45:00,0.85,2.2
36,2021-01-03 07:30:00,2021-01-03 08:15:00,0.92,2.37
37,2021-01-03 08:45:00,2021-01-03 09:30:00,0.82,2.12
38,2021-01-03 10:15:00,2021-01-03 11:00:00,0.85,2.19
39,2021-01-03 11:30:00,2021-01-03 12:15:00,0.79,2.05
40,2021-01-03 12:45:00,2021-01-03 13:30:00,0.7,1.81
41,2021-01-03 14:00:00,2021-01-03 14:45:00,0.8,2.08
42,2021-01-03 15:15:00,2021-01-03 16:00:00,0.71,1.83
43,2021-01-03 16:30:00,2021-01-03 17:15:00,0.73,1.89
44,2021-01-03 17:45:00,2021-01-03 18:30:00,0.74,1.93
45,2021-01-03 21:30:00,2021-01-03 21:45:00,0.28,0.7
46,2021-01-03 22:45:00,2021-01-03 23:00:00,0.46,0.7
47,2021-01-03 23:45:00,2021-01-04 00:00:00,0.41,0.71
48,2021-01-04 00:45:00,2021-01-04 01:00:00,0.28,0.7
