cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-03-05 11:30:00,2022-03-05 12:00:00,0.57,1.49
1,2022-03-05 14:15:00,2022-03-05 14:45:00,0.56,1.46
2,2022-03-05 16:45:00,2022-03-05 17:15:00,0.68,1.75
3,2022-03-05 18:30:00,2022-03-05 18:30:00,0.12,0.11
4,2022-03-06 01:45:00,2022-03-06 11:15:00,9.39,23.66
5,2022-03-06 12:15:00,2022-03-06 12:45:00,0.74,1.97
6,2022-03-06 13:45:00,2022-03-06 14:30:00,0.73,1.91
7,2022-03-06 15:15:00,2022-03-06 16:00:00,0.85,2.21
8,2022-03-06 17:00:00,2022-03-06 18:30:00,1.59,4.14
9,2022-03-07 01:45:00,2022-03-07 10:45:00,9.09,22.67
10,2022-03-07 12:00:00,2022-03-07 13:00:00,0.99,2.64
11,2022-03-07 13:45:00,2022-03-07 14:30:00,0.77,2.0
12,2022-03-07 15:45:00,2022-03-07 16:15:00,0.65,1.7
13,2022-03-07 17:15:00,2022-03-07 17:45:00,0.67,1.7
14,2022-03-08 01:30:00,2022-03-08 10:45:00,9.38,23.4
15,2022-03-08 12:00:00,2022-03-08 12:30:00,0.6,1.59
16,2022-03-08 13:15:00,2022-03-08 14:00:00,0.65,1.7
17,2022-03-08 15:00:00,2022-03-08 15:30:00,0.5,1.32
18,2022-03-08 16:45:00,2022-03-08 17:15:00,0.71,1.85
19,2022-03-09 01:00:00,2022-03-09 09:45:00,8.97,22.67
20,2022-03-09 10:45:00,2022-03-09 10:45:00,0.12,0.63
21,2022-03-09 12:00:00,2022-03-09 12:15:00,0.48,1.06
22,2022-03-09 14:15:00,2022-03-09 14:30:00,0.39,0.96
23,2022-03-09 16:00:00,2022-03-09 16:30:00,0.43,1.1
24,2022-03-09 17:30:00,2022-03-09 17:45:00,0.47,1.19
25,2022-03-10 01:45:00,2022-03-10 09:30:00,7.82,19.73
26,2022-03-10 10:30:00,2022-03-10 10:45:00,0.45,1.11
27,2022-03-10 12:30:00,2022-03-10 12:45:00,0.36,0.91
28,2022-03-10 17:15:00,2022-03-10 17:45:00,0.46,1.15
29,2022-03-11 01:45:00,2022-03-11 09:15:00,7.37,18.55
30,2022-03-11 09:45:00,2022-03-11 10:15:00,0.48,1.28
31,2022-03-11 12:00:00,2022-03-11 12:15:00,0.44,0.95
32,2022-03-11 17:30:00,2022-03-11 17:45:00,0.48,0.97
33,2022-03-12 01:45:00,2022-03-12 08:30:00,6.83,17.48
34,2022-03-12 09:15:00,2022-03-12 10:00:00,0.6,1.58
35,2022-03-12 10:45:00,2022-03-12 11:00:00,0.49,1.06
36,2022-03-12 12:30:00,2022-03-12 12:45:00,0.47,0.93
37,2022-03-12 15:00:00,2022-03-12 15:30:00,0.35,0.87
38,2022-03-12 17:30:00,2022-03-12 17:45:00,0.45,1.03
39,2022-03-13 01:45:00,2022-03-13 08:45:00,7.09,18.01
40,2022-03-13 09:45:00,2022-03-13 10:00:00,0.48,1.29
41,2022-03-13 11:30:00,2022-03-13 11:45:00,0.31,0.79
42,2022-03-13 18:30:00,2022-03-13 18:30:00,0.12,0.33
43,2022-03-14 01:45:00,2022-03-14 03:30:00,1.68,4.3
44,2022-03-14 04:00:00,2022-03-14 04:45:00,0.8,2.05
45,2022-03-14 05:15:00,2022-03-14 06:00:00,0.7,1.79
46,2022-03-14 06:30:00,2022-03-14 07:30:00,0.98,2.5
47,2022-03-14 08:15:00,2022-03-14 08:45:00,0.57,1.51
48,2022-03-14 09:30:00,2022-03-14 10:00:00,0.47,1.19
49,2022-03-14 12:30:00,2022-03-14 12:45:00,0.3,0.75
50,2022-03-14 17:15:00,2022-03-14 17:30:00,0.4,0.84
51,2022-03-15 01:45:00,2022-03-15 05:15:00,3.42,8.77
52,2022-03-15 05:45:00,2022-03-15 06:30:00,0.64,1.66
53,2022-03-15 07:00:00,2022-03-15 07:45:00,0.68,1.79
54,2022-03-15 08:15:00,2022-03-15 08:45:00,0.6,1.58
55,2022-03-15 09:45:00,2022-03-15 10:15:00,0.53,1.4
56,2022-03-15 12:00:00,2022-03-15 12:15:00,0.46,1.21
57,2022-03-15 13:15:00,2022-03-15 13:30:00,0.34,0.9
58,2022-03-15 15:00:00,2022-03-15 15:15:00,0.46,0.92
59,2022-03-15 16:15:00,2022-03-15 16:30:00,0.39,0.9
60,2022-03-15 17:45:00,2022-03-15 17:45:00,0.12,0.63
61,2022-03-16 01:45:00,2022-03-16 04:30:00,2.65,6.81
62,2022-03-16 05:00:00,2022-03-16 05:30:00,0.62,1.61
63,2022-03-16 06:15:00,2022-03-16 07:00:00,0.7,1.84
64,2022-03-16 07:30:00,2022-03-16 08:15:00,0.77,2.0
65,2022-03-16 09:00:00,2022-03-16 09:30:00,0.4,1.03
66,2022-03-16 10:30:00,2022-03-16 10:45:00,0.38,0.81
67,2022-03-16 16:30:00,2022-03-16 16:45:00,0.31,0.78
68,2022-03-17 01:45:00,2022-03-17 04:45:00,2.94,7.44
69,2022-03-17 05:15:00,2022-03-17 06:00:00,0.9,2.36
70,2022-03-17 06:45:00,2022-03-17 07:30:00,0.85,2.23
71,2022-03-17 08:00:00,2022-03-17 08:30:00,0.57,1.48
72,2022-03-17 09:15:00,2022-03-17 09:45:00,0.49,1.26
73,2022-03-17 10:45:00,2022-03-17 10:45:00,0.12,0.15
74,2022-03-17 12:00:00,2022-03-17 12:15:00,0.49,0.78
75,2022-03-17 17:30:00,2022-03-17 17:45:00,0.34,0.73
76,2022-03-18 01:45:00,2022-03-18 03:15:00,1.5,3.88
77,2022-03-18 03:45:00,2022-03-18 04:30:00,0.74,1.9
78,2022-03-18 05:15:00,2022-03-18 05:45:00,0.53,1.4
