cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 00:15:00,0.31,0.82
1,2021-01-01 01:00:00,2021-01-01 01:15:00,0.38,1.09
2,2021-01-01 02:15:00,2021-01-01 02:30:00,0.39,1.29
3,2021-01-01 03:30:00,2021-01-01 03:45:00,0.31,1.0
4,2021-01-01 04:45:00,2021-01-01 05:00:00,0.41,0.93
5,2021-01-01 05:30:00,2021-01-01 05:45:00,0.32,1.11
6,2021-01-01 06:45:00,2021-01-01 07:00:00,0.45,0.93
7,2021-01-01 08:00:00,2021-01-01 08:00:00,0.12,0.81
8,2021-01-01 09:00:00,2021-01-01 09:30:00,0.47,1.55
9,2021-01-01 11:15:00,2021-01-01 11:30:00,0.44,1.45
10,2021-01-01 12:30:00,2021-01-01 12:45:00,0.35,1.14
11,2021-01-01 14:00:00,2021-01-01 14:15:00,0.45,1.01
12,2021-01-01 15:15:00,2021-01-01 15:45:00,0.45,1.49
13,2021-01-01 18:15:00,2021-01-01 18:45:00,0.48,1.6
14,2021-01-01 19:15:00,2021-01-01 19:30:00,0.31,1.07
15,2021-01-01 20:30:00,2021-01-01 20:45:00,0.41,0.99
16,2021-01-01 21:30:00,2021-01-01 21:45:00,0.45,0.94
17,2021-01-01 22:15:00,2021-01-01 22:30:00,0.45,0.75
18,2021-01-01 23:00:00,2021-01-01 23:15:00,0.42,1.39
19,2021-01-02 00:15:00,2021-01-02 01:00:00,0.73,1.93
20,2021-01-02 01:30:00,2021-01-02 01:45:00,0.47,0.77
21,2021-01-02 02:15:00,2021-01-02 02:30:00,0.35,0.94
22,2021-01-02 03:30:00,2021-01-02 03:45:00,0.44,1.14
23,2021-01-02 04:45:00,2021-01-02 05:00:00,0.5,1.08
24,2021-01-02 06:00:00,2021-01-02 06:15:00,0.5,1.46
25,2021-01-02 07:15:00,2021-01-02 07:45:00,0.51,1.71
26,2021-01-02 08:45:00,2021-01-02 09:00:00,0.48,1.4
27,2021-01-02 10:00:00,2021-01-02 10:15:00,0.49,1.54
28,2021-01-02 11:15:00,2021-01-02 11:30:00,0.42,1.35
29,2021-01-02 12:45:00,2021-01-02 13:15:00,0.43,1.42
30,2021-01-02 14:15:00,2021-01-02 14:30:00,0.46,1.44
31,2021-01-02 15:30:00,2021-01-02 15:45:00,0.47,0.86
32,2021-01-02 16:45:00,2021-01-02 17:00:00,0.33,0.87
33,2021-01-02 17:45:00,2021-01-02 18:15:00,0.35,1.18
34,2021-01-02 19:00:00,2021-01-02 19:15:00,0.39,0.79
35,2021-01-02 20:15:00,2021-01-02 20:30:00,0.36,0.92
36,2021-01-02 21:15:00,2021-01-02 21:30:00,0.42,1.18
37,2021-01-02 22:15:00,2021-01-02 22:15:00,0.12,0.76
38,2021-01-02 23:15:00,2021-01-02 23:30:00,0.36,1.06
39,2021-01-03 00:15:00,2021-01-03 00:15:00,0.12,0.74
40,2021-01-03 01:00:00,2021-01-03 01:15:00,0.4,0.83
41,2021-01-03 02:00:00,2021-01-03 02:15:00,0.41,1.32
42,2021-01-03 03:30:00,2021-01-03 03:45:00,0.47,1.28
43,2021-01-03 04:45:00,2021-01-03 05:00:00,0.45,1.11
44,2021-01-03 06:00:00,2021-01-03 06:15:00,0.47,1.12
45,2021-01-03 07:00:00,2021-01-03 07:15:00,0.38,1.1
46,2021-01-03 08:15:00,2021-01-03 08:30:00,0.34,1.14
47,2021-01-03 09:30:00,2021-01-03 10:00:00,0.41,1.42
48,2021-01-03 11:00:00,2021-01-03 11:15:00,0.34,1.09
49,2021-01-03 12:15:00,2021-01-03 12:30:00,0.29,0.97
50,2021-01-03 13:30:00,2021-01-03 13:45:00,0.29,0.86
51,2021-01-03 14:45:00,2021-01-03 15:00:00,0.49,1.55
52,2021-01-03 16:00:00,2021-01-03 16:30:00,0.45,1.54
53,2021-01-03 17:15:00,2021-01-03 17:30:00,0.3,0.85
54,2021-01-03 19:15:00,2021-01-03 19:30:00,0.32,1.03
55,2021-01-03 20:15:00,2021-01-03 20:30:00,0.4,1.13
56,2021-01-03 21:00:00,2021-01-03 21:15:00,0.31,0.66
57,2021-01-03 22:15:00,2021-01-03 22:30:00,0.41,1.26
58,2021-01-03 23:30:00,2021-01-03 23:45:00,0.36,1.23
59,2021-01-04 00:30:00,2021-01-04 00:45:00,0.47,0.88
60,2021-01-04 01:30:00,2021-01-04 01:45:00,0.31,0.94
61,2021-01-04 02:15:00,2021-01-04 02:45:00,0.53,1.87
62,2021-01-04 04:00:00,2021-01-04 04:15:00,0.49,0.99
63,2021-01-04 04:45:00,2021-01-04 05:00:00,0.3,0.78
64,2021-01-04 05:45:00,2021-01-04 06:00:00,0.44,0.82
65,2021-01-04 06:30:00,2021-01-04 07:00:00,0.49,1.69
66,2021-01-04 08:00:00,2021-01-04 08:15:00,0.35,1.03
67,2021-01-04 08:45:00,2021-01-04 09:15:00,0.42,1.48
68,2021-01-04 11:00:00,2021-01-04 11:30:00,0.67,2.14
69,2021-01-04 12:30:00,2021-01-04 12:45:00,0.4,1.24
70,2021-01-04 13:45:00,2021-01-04 14:00:00,0.47,1.3
71,2021-01-04 14:45:00,2021-01-04 15:15:00,0.5,1.66
72,2021-01-04 16:00:00,2021-01-04 16:15:00,0.43,1.48
73,2021-01-04 18:15:00,2021-01-04 18:45:00,0.52,1.8
74,2021-01-04 19:15:00,2021-01-04 19:30:00,0.3,0.92
75,2021-01-04 20:15:00,2021-01-04 20:30:00,0.44,1.36
76,2021-01-04 21:15:00,2021-01-04 21:30:00,0.48,1.04
77,2021-01-04 22:15:00,2021-01-04 22:30:00,0.32,1.09
78,2021-01-04 23:30:00,2021-01-04 23:45:00,0.3,1.0
79,2021-01-05 00:45:00,2021-01-05 01:00:00,0.3,1.0
80,2021-01-05 01:45:00,2021-01-05 02:00:00,0.48,1.17
81,2021-01-05 03:00:00,2021-01-05 03:15:00,0.42,1.22
82,2021-01-05 04:15:00,2021-01-05 04:30:00,0.37,1.24
83,2021-01-05 05:15:00,2021-01-05 05:30:00,0.29,0.96
84,2021-01-05 06:30:00,2021-01-05 06:45:00,0.46,1.29
85,2021-01-05 07:45:00,2021-01-05 08:00:00,0.38,1.0
86,2021-01-05 08:30:00,2021-01-05 08:45:00,0.39,0.86
87,2021-01-05 09:15:00,2021-01-05 09:30:00,0.43,1.46
88,2021-01-05 11:00:00,2021-01-05 11:15:00,0.48,1.17
89,2021-01-05 12:00:00,2021-01-05 12:30:00,0.48,1.62
90,2021-01-05 13:30:00,2021-01-05 13:45:00,0.45,1.36
91,2021-01-05 14:45:00,2021-01-05 15:15:00,0.45,1.53
92,2021-01-05 16:15:00,2021-01-05 16:30:00,0.34,0.95
93,2021-01-05 18:15:00,2021-01-05 18:30:00,0.49,1.34
94,2021-01-05 19:15:00,2021-01-05 19:45:00,0.37,1.28
95,2021-01-05 20:45:00,2021-01-05 22:00:00,1.37,3.59
96,2021-01-05 23:15:00,2021-01-05 23:15:00,0.12,0.83
97,2021-01-06 00:00:00,2021-01-06 00:15:00,0.49,0.83
98,2021-01-06 01:00:00,2021-01-06 01:15:00,0.43,1.0
99,2021-01-06 02:00:00,2021-01-06 02:15:00,0.29,0.86
100,2021-01-06 02:45:00,2021-01-06 03:00:00,0.32,0.83
101,2021-01-06 03:45:00,2021-01-06 04:00:00,0.41,1.03
102,2021-01-06 04:30:00,2021-01-06 04:45:00,0.41,0.78
103,2021-01-06 05:30:00,2021-01-06 05:30:00,0.12,0.75
104,2021-01-06 06:15:00,2021-01-06 06:30:00,0.36,0.82
105,2021-01-06 07:00:00,2021-01-06 07:15:00,0.32,1.09
106,2021-01-06 08:15:00,2021-01-06 08:30:00,0.29,0.97
107,2021-01-06 09:30:00,2021-01-06 09:45:00,0.35,1.2
108,2021-01-06 11:00:00,2021-01-06 11:15:00,0.4,0.95
109,2021-01-06 11:45:00,2021-01-06 12:15:00,0.44,1.48
110,2021-01-06 12:45:00,2021-01-06 13:30:00,0.72,2.28
111,2021-01-06 14:00:00,2021-01-06 14:30:00,0.59,1.88
112,2021-01-06 15:15:00,2021-01-06 15:30:00,0.45,1.17
113,2021-01-06 16:15:00,2021-01-06 16:30:00,0.47,1.2
114,2021-01-06 18:15:00,2021-01-06 18:30:00,0.44,1.55
115,2021-01-06 19:45:00,2021-01-06 20:00:00,0.49,1.28
116,2021-01-06 21:00:00,2021-01-06 21:15:00,0.38,1.0
117,2021-01-06 22:00:00,2021-01-06 22:00:00,0.12,0.81
118,2021-01-06 22:45:00,2021-01-06 22:45:00,0.12,0.76
119,2021-01-06 23:30:00,2021-01-06 23:45:00,0.43,1.16
120,2021-01-07 00:45:00,2021-01-07 01:00:00,0.39,0.95
121,2021-01-07 01:30:00,2021-01-07 02:00:00,0.75,2.01
122,2021-01-07 02:45:00,2021-01-07 03:00:00,0.47,0.81
123,2021-01-07 03:45:00,2021-01-07 03:45:00,0.12,0.81
124,2021-01-07 04:30:00,2021-01-07 04:45:00,0.31,0.82
125,2021-01-07 05:15:00,2021-01-07 05:30:00,0.33,0.74
126,2021-01-07 06:00:00,2021-01-07 06:15:00,0.4,1.13
127,2021-01-07 07:15:00,2021-01-07 07:30:00,0.37,0.86
128,2021-01-07 08:00:00,2021-01-07 08:15:00,0.45,0.78
129,2021-01-07 08:45:00,2021-01-07 09:00:00,0.4,1.39
130,2021-01-07 11:00:00,2021-01-07 11:15:00,0.46,1.35
131,2021-01-07 13:00:00,2021-01-07 13:15:00,0.31,1.01
132,2021-01-07 14:30:00,2021-01-07 14:45:00,0.29,0.95
133,2021-01-07 15:30:00,2021-01-07 16:00:00,0.36,1.19
134,2021-01-07 16:30:00,2021-01-07 16:45:00,0.47,1.6
135,2021-01-07 18:15:00,2021-01-07 18:30:00,0.39,1.01
136,2021-01-07 19:30:00,2021-01-07 19:30:00,0.12,0.81
137,2021-01-07 20:30:00,2021-01-07 20:45:00,0.42,1.12
138,2021-01-07 21:45:00,2021-01-07 22:00:00,0.4,1.0
139,2021-01-07 22:30:00,2021-01-07 22:45:00,0.29,0.79
140,2021-01-07 23:30:00,2021-01-07 23:45:00,0.37,1.07
141,2021-01-08 00:15:00,2021-01-08 00:45:00,0.53,1.86
142,2021-01-08 01:30:00,2021-01-08 01:45:00,0.46,1.56
143,2021-01-08 02:30:00,2021-01-08 02:45:00,0.46,0.75
144,2021-01-08 03:15:00,2021-01-08 03:30:00,0.3,0.78
145,2021-01-08 04:15:00,2021-01-08 04:30:00,0.34,0.8
146,2021-01-08 05:00:00,2021-01-08 05:15:00,0.32,0.8
147,2021-01-08 06:00:00,2021-01-08 06:30:00,0.5,1.71
148,2021-01-08 07:30:00,2021-01-08 07:45:00,0.38,0.98
