cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-24 01:00:00,2021-01-24 01:30:00,0.66,2.68
1,2021-01-24 03:00:00,2021-01-24 11:15:00,8.27,26.71
2,2021-01-24 15:45:00,2021-01-24 19:45:00,4.18,12.83
3,2021-01-25 01:00:00,2021-01-25 02:00:00,1.1,4.48
4,2021-01-25 03:00:00,2021-01-25 09:45:00,6.88,21.16
5,2021-01-25 11:00:00,2021-01-25 15:00:00,3.91,13.07
6,2021-01-25 18:15:00,2021-01-25 19:45:00,1.46,4.35
7,2021-01-26 01:00:00,2021-01-26 09:45:00,8.97,29.9
8,2021-01-26 11:15:00,2021-01-26 16:45:00,5.69,17.86
9,2021-01-26 18:15:00,2021-01-26 19:45:00,1.4,4.3
10,2021-01-26 23:30:00,2021-01-27 09:45:00,10.38,37.49
11,2021-01-27 11:00:00,2021-01-27 16:45:00,5.78,18.57
12,2021-01-27 18:15:00,2021-01-27 19:45:00,1.46,4.71
13,2021-01-28 01:00:00,2021-01-28 09:30:00,8.75,29.91
14,2021-01-28 11:00:00,2021-01-28 12:30:00,1.34,4.83
15,2021-01-28 15:00:00,2021-01-28 16:30:00,1.56,5.68
16,2021-01-28 18:15:00,2021-01-28 19:45:00,1.37,4.96
17,2021-01-29 01:00:00,2021-01-29 02:15:00,1.3,5.3
18,2021-01-29 03:00:00,2021-01-29 07:30:00,4.54,15.2
19,2021-01-29 11:00:00,2021-01-29 14:00:00,2.86,9.65
20,2021-01-29 16:30:00,2021-01-29 16:45:00,0.44,1.52
21,2021-01-29 18:15:00,2021-01-29 19:45:00,1.47,4.58
22,2021-01-30 01:00:00,2021-01-30 02:15:00,1.3,5.32
23,2021-01-30 03:00:00,2021-01-30 09:15:00,6.38,20.61
24,2021-01-30 11:45:00,2021-01-30 15:15:00,3.41,11.31
25,2021-01-30 17:15:00,2021-01-30 19:45:00,2.57,7.96
26,2021-01-31 01:00:00,2021-01-31 09:30:00,8.58,29.35
27,2021-01-31 12:15:00,2021-01-31 13:15:00,0.88,3.06
28,2021-01-31 15:15:00,2021-01-31 18:30:00,3.45,11.32
29,2021-02-01 01:00:00,2021-02-01 09:45:00,8.9,32.44
30,2021-02-01 11:00:00,2021-02-01 12:00:00,0.84,2.98
31,2021-02-01 14:15:00,2021-02-01 16:45:00,2.44,8.26
32,2021-02-01 18:15:00,2021-02-01 19:45:00,1.45,4.71
33,2021-02-02 01:00:00,2021-02-02 02:00:00,1.17,4.76
34,2021-02-02 03:00:00,2021-02-02 08:00:00,5.03,16.42
35,2021-02-02 11:15:00,2021-02-02 13:00:00,1.85,6.53
36,2021-02-02 15:15:00,2021-02-02 16:45:00,1.72,5.52
37,2021-02-02 18:15:00,2021-02-02 19:45:00,1.46,5.14
38,2021-02-03 01:00:00,2021-02-03 07:45:00,6.79,24.35
39,2021-02-03 11:00:00,2021-02-03 12:30:00,1.52,5.42
40,2021-02-03 15:15:00,2021-02-03 16:45:00,1.67,5.45
41,2021-02-03 18:15:00,2021-02-03 19:45:00,1.36,4.84
42,2021-02-04 01:00:00,2021-02-04 08:45:00,7.91,28.57
43,2021-02-04 11:00:00,2021-02-04 12:00:00,0.83,2.92
44,2021-02-04 15:00:00,2021-02-04 16:45:00,1.94,6.64
45,2021-02-04 18:15:00,2021-02-04 19:45:00,1.42,4.96
46,2021-02-05 01:00:00,2021-02-05 02:00:00,1.25,5.04
47,2021-02-05 03:00:00,2021-02-05 09:15:00,6.33,20.21
48,2021-02-05 11:15:00,2021-02-05 11:45:00,0.67,2.41
49,2021-02-05 15:45:00,2021-02-05 16:45:00,1.15,4.03
50,2021-02-05 18:15:00,2021-02-05 19:45:00,1.43,4.66
51,2021-02-06 01:00:00,2021-02-06 02:00:00,1.22,4.93
52,2021-02-06 03:00:00,2021-02-06 08:00:00,5.13,16.56
53,2021-02-06 11:15:00,2021-02-06 12:45:00,1.53,5.39
54,2021-02-06 15:45:00,2021-02-06 18:00:00,2.33,7.71
55,2021-02-07 01:00:00,2021-02-07 02:00:00,1.04,4.2
56,2021-02-07 03:00:00,2021-02-07 07:30:00,4.44,14.56
57,2021-02-07 10:30:00,2021-02-07 12:30:00,2.21,7.37
58,2021-02-07 15:00:00,2021-02-07 18:15:00,3.31,10.86
59,2021-02-08 01:00:00,2021-02-08 09:45:00,9.0,29.05
60,2021-02-08 11:00:00,2021-02-08 12:15:00,1.15,4.01
61,2021-02-08 15:30:00,2021-02-08 16:45:00,1.31,3.96
62,2021-02-08 18:15:00,2021-02-08 19:45:00,1.53,4.54
63,2021-02-09 01:00:00,2021-02-09 09:45:00,9.0,29.83
64,2021-02-09 11:00:00,2021-02-09 16:45:00,5.78,18.57
65,2021-02-09 18:15:00,2021-02-09 19:45:00,1.46,4.54
66,2021-02-10 01:00:00,2021-02-10 09:45:00,8.95,30.16
67,2021-02-10 11:00:00,2021-02-10 12:15:00,1.28,4.53
68,2021-02-10 14:45:00,2021-02-10 16:45:00,2.24,7.45
69,2021-02-10 18:15:00,2021-02-10 19:45:00,1.46,4.4
70,2021-02-11 01:00:00,2021-02-11 09:45:00,9.0,31.55
71,2021-02-11 11:15:00,2021-02-11 16:45:00,5.75,17.29
72,2021-02-11 18:15:00,2021-02-11 19:45:00,1.46,4.61
73,2021-02-11 23:45:00,2021-02-12 09:45:00,10.08,33.12
74,2021-02-12 11:15:00,2021-02-12 16:45:00,5.67,17.96
75,2021-02-12 18:15:00,2021-02-12 19:45:00,1.46,4.65
76,2021-02-12 23:30:00,2021-02-13 19:45:00,20.27,71.88
77,2021-02-14 00:30:00,2021-02-14 19:45:00,19.41,65.7
78,2021-02-15 00:45:00,2021-02-15 09:45:00,9.11,34.41
79,2021-02-15 11:15:00,2021-02-15 14:45:00,3.6,11.95
80,2021-02-15 16:45:00,2021-02-15 16:45:00,0.12,0.29
81,2021-02-15 18:15:00,2021-02-15 19:45:00,1.52,4.57
82,2021-02-16 01:00:00,2021-02-16 02:00:00,1.24,5.06
83,2021-02-16 02:30:00,2021-02-16 09:15:00,6.85,22.0
84,2021-02-16 11:00:00,2021-02-16 12:00:00,0.89,3.18
85,2021-02-16 15:30:00,2021-02-16 17:00:00,1.53,4.91
