cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-02-05 23:00:00,2021-02-06 00:30:00,1.74,4.49
1,2021-02-06 01:15:00,2021-02-06 02:15:00,1.11,2.08
2,2021-02-06 02:45:00,2021-02-06 04:15:00,1.52,2.63
3,2021-02-06 05:00:00,2021-02-06 05:45:00,0.92,1.65
4,2021-02-06 06:30:00,2021-02-06 07:00:00,0.48,1.15
5,2021-02-06 07:45:00,2021-02-06 08:15:00,0.63,1.07
6,2021-02-06 09:15:00,2021-02-06 09:30:00,0.31,0.63
7,2021-02-06 12:45:00,2021-02-06 13:00:00,0.48,0.53
8,2021-02-06 14:45:00,2021-02-06 15:15:00,0.57,0.9
9,2021-02-06 16:15:00,2021-02-06 16:45:00,0.74,1.4
10,2021-02-06 17:30:00,2021-02-06 18:00:00,0.59,0.99
11,2021-02-06 21:30:00,2021-02-06 23:30:00,2.14,7.38
12,2021-02-07 00:15:00,2021-02-07 00:30:00,0.34,0.73
13,2021-02-07 01:00:00,2021-02-07 02:30:00,1.62,2.84
14,2021-02-07 03:15:00,2021-02-07 04:15:00,1.08,1.96
15,2021-02-07 04:45:00,2021-02-07 06:15:00,1.58,2.77
16,2021-02-07 07:00:00,2021-02-07 07:15:00,0.4,0.72
17,2021-02-07 08:00:00,2021-02-07 08:15:00,0.49,0.66
18,2021-02-07 10:00:00,2021-02-07 10:45:00,0.85,1.35
19,2021-02-07 12:15:00,2021-02-07 12:45:00,0.5,0.81
20,2021-02-07 13:30:00,2021-02-07 13:45:00,0.31,0.67
21,2021-02-07 14:15:00,2021-02-07 15:15:00,1.2,1.96
22,2021-02-07 16:00:00,2021-02-07 17:30:00,1.68,2.99
23,2021-02-07 18:15:00,2021-02-08 01:45:00,7.74,19.26
24,2021-02-08 02:15:00,2021-02-08 05:30:00,3.33,5.79
25,2021-02-08 06:00:00,2021-02-08 09:00:00,3.03,5.29
