cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-05 21:15:00,2021-01-13 22:45:00,193.75,1283.61
1,2021-01-17 23:00:00,2021-01-21 11:45:00,84.87,536.5
2,2021-01-21 13:45:00,2021-01-22 11:00:00,21.43,90.88
3,2021-01-22 11:45:00,2021-01-28 13:45:00,146.05,914.96
4,2021-01-28 16:00:00,2021-01-28 17:15:00,1.28,5.1
5,2021-01-28 17:45:00,2021-01-28 20:15:00,2.53,11.59
6,2021-01-28 21:30:00,2021-01-28 23:30:00,2.08,8.29
7,2021-01-29 00:30:00,2021-01-29 02:45:00,2.13,8.44
8,2021-01-29 03:30:00,2021-01-29 07:00:00,3.65,14.36
9,2021-01-29 08:00:00,2021-01-29 13:30:00,5.53,20.83
10,2021-01-29 15:00:00,2021-02-01 10:45:00,67.86,285.59
11,2021-02-01 11:15:00,2021-02-01 21:00:00,9.7,42.96
12,2021-02-01 21:45:00,2021-02-02 05:45:00,7.91,31.53
13,2021-02-02 06:45:00,2021-02-02 09:30:00,2.76,11.28
14,2021-02-02 10:15:00,2021-02-02 10:45:00,0.45,1.93
15,2021-02-02 11:45:00,2021-02-02 13:00:00,1.32,5.26
16,2021-02-02 14:15:00,2021-02-02 15:45:00,1.51,5.63
17,2021-02-02 16:45:00,2021-02-02 19:15:00,2.61,9.36
18,2021-02-02 19:45:00,2021-02-02 21:00:00,1.44,5.41
19,2021-02-02 22:15:00,2021-02-02 23:30:00,1.47,5.78
20,2021-02-03 00:45:00,2021-02-03 01:45:00,1.01,3.93
21,2021-02-03 02:45:00,2021-02-03 10:45:00,8.08,32.19
22,2021-02-03 13:00:00,2021-02-03 20:30:00,7.49,29.64
23,2021-02-03 21:45:00,2021-02-04 12:00:00,14.24,63.71
24,2021-02-04 13:45:00,2021-02-04 15:30:00,1.78,7.44
25,2021-02-04 16:30:00,2021-02-05 11:15:00,18.85,87.41
26,2021-02-05 16:00:00,2021-02-16 12:30:00,260.4,1536.93
27,2021-02-16 14:15:00,2021-02-16 14:45:00,0.36,1.68
28,2021-02-16 16:15:00,2021-02-17 10:15:00,17.85,73.76
29,2021-02-17 11:45:00,2021-02-17 12:45:00,1.0,3.82
30,2021-02-17 15:30:00,2021-02-17 15:45:00,0.43,1.34
31,2021-02-17 16:30:00,2021-02-18 11:15:00,18.74,111.7
32,2021-02-18 12:45:00,2021-02-18 13:45:00,1.14,4.49
33,2021-02-18 15:15:00,2021-02-19 09:30:00,18.42,75.58
34,2021-02-19 10:15:00,2021-02-19 10:45:00,0.45,2.42
35,2021-02-19 11:30:00,2021-02-19 12:00:00,0.59,2.09
36,2021-02-19 16:45:00,2021-02-20 11:30:00,18.81,99.48
37,2021-02-20 17:15:00,2021-02-21 11:30:00,18.28,103.21
38,2021-02-21 17:15:00,2021-02-22 11:15:00,18.04,101.09
39,2021-02-22 17:30:00,2021-02-23 11:15:00,17.85,91.1
40,2021-02-23 17:45:00,2021-02-24 11:00:00,17.22,81.71
41,2021-02-24 17:45:00,2021-02-24 19:15:00,1.4,7.62
42,2021-02-24 20:00:00,2021-02-25 10:45:00,14.7,68.17
43,2021-02-25 17:45:00,2021-02-25 19:15:00,1.44,8.57
44,2021-02-25 19:45:00,2021-02-26 11:15:00,15.54,68.15
45,2021-02-26 17:45:00,2021-02-26 19:15:00,1.48,7.51
46,2021-02-26 19:45:00,2021-02-26 20:30:00,0.81,2.89
47,2021-02-26 21:15:00,2021-02-27 16:00:00,18.79,73.92
48,2021-02-27 16:30:00,2021-02-28 13:45:00,21.22,116.11
49,2021-02-28 16:45:00,2021-03-01 13:00:00,20.22,117.32
50,2021-03-01 16:45:00,2021-03-02 11:45:00,19.05,108.96
51,2021-03-02 17:30:00,2021-03-03 12:30:00,18.89,95.78
52,2021-03-03 15:00:00,2021-03-03 17:00:00,2.14,8.3
53,2021-03-03 17:45:00,2021-03-04 09:30:00,15.77,66.43
54,2021-03-04 10:15:00,2021-03-04 10:45:00,0.54,2.63
55,2021-03-04 15:15:00,2021-03-04 16:00:00,0.92,3.29
56,2021-03-04 17:00:00,2021-03-06 16:00:00,47.02,237.44
57,2021-03-06 17:00:00,2021-03-07 13:45:00,20.86,122.32
58,2021-03-07 16:15:00,2021-03-08 12:15:00,20.06,101.45
59,2021-03-08 16:30:00,2021-03-09 13:00:00,20.56,115.46
60,2021-03-09 16:15:00,2021-03-10 12:00:00,19.62,100.19
61,2021-03-10 16:45:00,2021-03-11 03:15:00,10.59,45.85
62,2021-03-11 04:45:00,2021-03-11 05:45:00,1.02,4.05
63,2021-03-11 07:00:00,2021-03-11 07:45:00,0.62,2.16
64,2021-03-11 10:15:00,2021-03-11 10:45:00,0.37,1.7
65,2021-03-11 14:30:00,2021-03-11 15:00:00,0.53,1.86
66,2021-03-11 16:00:00,2021-03-12 09:30:00,17.51,70.76
67,2021-03-12 10:15:00,2021-03-12 11:45:00,1.55,6.06
68,2021-03-12 13:00:00,2021-03-12 13:45:00,0.85,2.94
69,2021-03-12 15:30:00,2021-03-12 15:45:00,0.49,1.79
70,2021-03-12 17:00:00,2021-03-12 22:45:00,5.91,26.61
71,2021-03-12 23:45:00,2021-03-13 07:45:00,8.19,31.85
72,2021-03-13 09:15:00,2021-03-13 09:45:00,0.54,1.86
73,2021-03-13 10:15:00,2021-03-13 10:45:00,0.38,1.73
74,2021-03-13 14:00:00,2021-03-13 14:45:00,0.83,2.95
75,2021-03-13 15:15:00,2021-03-17 15:45:00,96.53,551.3
76,2021-03-17 16:45:00,2021-03-19 13:15:00,44.54,271.1
77,2021-03-19 15:30:00,2021-03-20 16:15:00,24.8,152.69
78,2021-03-20 17:00:00,2021-03-23 11:15:00,66.41,365.26
79,2021-03-23 15:45:00,2021-03-24 10:00:00,18.34,99.82
80,2021-03-24 10:45:00,2021-03-24 11:15:00,0.45,2.04
81,2021-03-24 17:45:00,2021-03-25 09:15:00,15.42,77.34
82,2021-03-25 10:45:00,2021-03-25 11:15:00,0.51,2.27
83,2021-03-25 17:45:00,2021-03-25 20:00:00,2.18,9.33
84,2021-03-25 20:45:00,2021-03-26 08:45:00,11.99,47.44
85,2021-03-26 10:45:00,2021-03-26 11:15:00,0.48,2.09
86,2021-03-26 17:45:00,2021-03-26 20:00:00,2.2,8.62
87,2021-03-26 21:00:00,2021-03-26 22:15:00,1.14,4.41
88,2021-03-26 23:00:00,2021-03-27 00:00:00,0.94,3.81
89,2021-03-27 00:45:00,2021-03-27 09:30:00,8.62,34.29
90,2021-03-27 10:45:00,2021-03-27 11:15:00,0.45,1.92
91,2021-03-27 12:15:00,2021-03-27 13:15:00,0.94,3.72
92,2021-03-27 17:15:00,2021-03-28 10:15:00,17.08,85.9
93,2021-03-28 17:45:00,2021-03-28 19:45:00,1.9,9.3
94,2021-03-28 20:30:00,2021-03-29 08:30:00,12.03,50.85
95,2021-03-29 09:45:00,2021-03-29 10:00:00,0.31,1.48
96,2021-03-29 17:45:00,2021-03-29 19:15:00,1.52,4.77
97,2021-03-29 20:00:00,2021-03-29 21:30:00,1.67,6.18
98,2021-03-29 22:15:00,2021-03-30 08:00:00,9.93,38.49
99,2021-03-30 09:45:00,2021-03-30 10:00:00,0.31,1.46
100,2021-03-30 17:45:00,2021-03-30 19:00:00,1.29,4.05
101,2021-03-30 21:30:00,2021-03-30 22:30:00,0.97,3.97
102,2021-03-30 23:30:00,2021-03-31 07:15:00,7.67,30.25
103,2021-03-31 13:45:00,2021-03-31 14:00:00,0.34,1.23
104,2021-03-31 17:45:00,2021-03-31 18:45:00,0.98,3.06
105,2021-03-31 23:45:00,2021-04-01 01:15:00,1.51,5.71
106,2021-04-01 02:15:00,2021-04-01 06:30:00,4.19,16.5
107,2021-04-01 13:45:00,2021-04-01 14:00:00,0.34,1.25
108,2021-04-01 17:45:00,2021-04-01 18:45:00,1.0,3.12
109,2021-04-02 00:45:00,2021-04-02 01:15:00,0.6,2.07
110,2021-04-02 02:15:00,2021-04-02 03:15:00,1.03,4.24
111,2021-04-02 04:15:00,2021-04-02 06:30:00,2.12,8.33
112,2021-04-02 09:45:00,2021-04-02 10:00:00,0.32,1.5
113,2021-04-02 17:45:00,2021-04-02 19:30:00,1.67,5.21
114,2021-04-02 20:00:00,2021-04-02 21:30:00,1.63,5.92
115,2021-04-02 22:15:00,2021-04-03 10:15:00,12.11,47.58
116,2021-04-03 11:30:00,2021-04-03 12:45:00,1.23,4.77
117,2021-04-03 17:30:00,2021-04-04 10:15:00,16.74,86.26
118,2021-04-04 17:45:00,2021-04-05 08:15:00,14.43,72.15
119,2021-04-05 09:45:00,2021-04-05 10:15:00,0.52,2.29
120,2021-04-05 17:00:00,2021-04-06 15:15:00,22.36,124.36
121,2021-04-06 15:45:00,2021-04-08 10:45:00,43.12,249.16
122,2021-04-08 17:45:00,2021-04-09 08:45:00,14.97,79.98
123,2021-04-09 17:45:00,2021-04-09 19:00:00,1.3,4.08
124,2021-04-09 20:45:00,2021-04-09 22:00:00,1.2,4.5
125,2021-04-09 23:15:00,2021-04-10 00:15:00,0.94,3.51
126,2021-04-10 01:30:00,2021-04-10 02:30:00,0.97,3.67
127,2021-04-10 03:15:00,2021-04-10 04:15:00,1.08,3.84
128,2021-04-10 05:15:00,2021-04-10 07:30:00,2.38,9.21
129,2021-04-10 17:45:00,2021-04-10 19:15:00,1.41,4.45
130,2021-04-10 20:15:00,2021-04-10 20:45:00,0.62,2.17
131,2021-04-10 21:45:00,2021-04-10 22:45:00,1.05,4.15
132,2021-04-10 23:45:00,2021-04-11 01:00:00,1.19,4.55
133,2021-04-11 02:15:00,2021-04-11 03:15:00,1.08,4.37
134,2021-04-11 04:00:00,2021-04-11 06:30:00,2.58,9.95
135,2021-04-11 09:45:00,2021-04-11 10:00:00,0.33,1.45
136,2021-04-11 17:15:00,2021-04-11 22:45:00,5.51,22.68
137,2021-04-11 23:30:00,2021-04-12 16:30:00,16.82,86.12
138,2021-04-12 17:30:00,2021-04-12 20:15:00,2.71,15.56
139,2021-04-12 21:15:00,2021-04-13 14:30:00,17.35,99.65
140,2021-04-13 16:45:00,2021-04-14 12:45:00,20.01,108.72
141,2021-04-14 16:15:00,2021-04-15 13:30:00,21.29,114.51
142,2021-04-15 15:15:00,2021-04-15 16:00:00,0.79,3.13
143,2021-04-15 17:30:00,2021-04-16 11:45:00,18.24,100.89
144,2021-04-16 17:15:00,2021-04-17 10:45:00,17.54,91.9
145,2021-04-17 16:00:00,2021-04-18 10:15:00,18.36,77.26
146,2021-04-18 11:15:00,2021-04-18 12:30:00,1.3,4.99
147,2021-04-18 14:45:00,2021-04-18 15:15:00,0.39,2.02
148,2021-04-18 16:30:00,2021-04-19 09:15:00,16.71,79.7
149,2021-04-19 09:45:00,2021-04-19 10:00:00,0.35,1.32
150,2021-04-19 15:15:00,2021-04-19 15:45:00,0.53,1.89
151,2021-04-19 17:15:00,2021-04-20 08:30:00,15.24,60.59
152,2021-04-20 09:45:00,2021-04-20 10:00:00,0.33,1.5
153,2021-04-20 17:45:00,2021-04-20 20:15:00,2.57,9.69
154,2021-04-20 21:00:00,2021-04-21 07:45:00,10.77,42.21
155,2021-04-21 09:45:00,2021-04-21 10:00:00,0.33,1.5
156,2021-04-21 17:45:00,2021-04-21 19:00:00,1.32,4.16
157,2021-04-21 19:45:00,2021-04-21 20:15:00,0.57,1.97
158,2021-04-21 21:15:00,2021-04-21 22:30:00,1.33,5.07
159,2021-04-21 23:15:00,2021-04-22 02:00:00,2.71,10.46
160,2021-04-22 03:00:00,2021-04-22 06:30:00,3.6,14.56
161,2021-04-22 09:45:00,2021-04-22 10:00:00,0.33,1.56
