cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-05-29 23:30:00,2021-05-29 23:30:00,0.12,0.14
1,2021-05-30 00:45:00,2021-05-30 00:45:00,0.12,0.17
2,2021-05-30 02:00:00,2021-05-30 02:00:00,0.12,0.17
3,2021-05-30 03:30:00,2021-05-30 03:30:00,0.12,0.16
4,2021-05-30 05:00:00,2021-05-30 05:00:00,0.12,0.17
5,2021-05-30 07:00:00,2021-05-30 09:00:00,2.2,3.75
6,2021-05-30 10:15:00,2021-05-30 10:15:00,0.12,0.17
7,2021-05-30 11:45:00,2021-05-30 11:45:00,0.12,0.17
8,2021-05-30 13:15:00,2021-05-30 13:15:00,0.12,0.17
9,2021-05-30 14:15:00,2021-05-30 15:15:00,1.1,1.46
10,2021-05-30 16:30:00,2021-05-30 16:30:00,0.12,0.17
11,2021-05-30 17:30:00,2021-05-30 17:30:00,0.12,0.17
12,2021-05-30 18:45:00,2021-05-30 18:45:00,0.12,0.18
13,2021-05-30 20:00:00,2021-05-30 20:00:00,0.12,0.17
14,2021-05-30 21:30:00,2021-05-30 21:30:00,0.12,0.17
15,2021-05-30 22:45:00,2021-05-30 22:45:00,0.12,0.18
16,2021-05-31 00:15:00,2021-05-31 00:15:00,0.12,0.18
17,2021-05-31 01:45:00,2021-05-31 01:45:00,0.12,0.18
18,2021-05-31 02:45:00,2021-05-31 04:45:00,2.17,4.34
19,2021-05-31 06:15:00,2021-05-31 06:15:00,0.12,0.18
20,2021-05-31 06:45:00,2021-05-31 06:45:00,0.12,0.19
21,2021-05-31 07:30:00,2021-05-31 07:30:00,0.12,0.18
22,2021-05-31 08:15:00,2021-05-31 08:15:00,0.12,0.18
23,2021-05-31 11:00:00,2021-05-31 11:00:00,0.12,0.28
24,2021-05-31 11:30:00,2021-05-31 11:30:00,0.12,0.18
25,2021-05-31 12:30:00,2021-05-31 12:30:00,0.12,0.2
26,2021-05-31 13:15:00,2021-05-31 13:15:00,0.12,0.18
27,2021-05-31 14:15:00,2021-05-31 14:15:00,0.12,0.11
28,2021-05-31 15:00:00,2021-05-31 15:00:00,0.12,0.2
29,2021-05-31 15:45:00,2021-05-31 15:45:00,0.12,0.18
30,2021-05-31 16:30:00,2021-05-31 16:30:00,0.12,0.18
31,2021-05-31 17:30:00,2021-05-31 17:30:00,0.12,0.18
32,2021-05-31 18:30:00,2021-05-31 18:30:00,0.12,0.18
33,2021-05-31 19:45:00,2021-05-31 19:45:00,0.12,0.18
34,2021-05-31 21:15:00,2021-05-31 21:15:00,0.12,0.17
35,2021-05-31 22:30:00,2021-05-31 22:30:00,0.12,0.18
36,2021-06-01 00:00:00,2021-06-01 00:00:00,0.12,0.18
37,2021-06-01 00:30:00,2021-06-01 02:45:00,2.38,4.73
38,2021-06-01 03:15:00,2021-06-01 03:15:00,0.12,0.18
39,2021-06-01 04:45:00,2021-06-01 04:45:00,0.12,0.18
40,2021-06-01 05:30:00,2021-06-01 05:30:00,0.12,0.17
41,2021-06-01 06:00:00,2021-06-01 06:00:00,0.12,0.19
42,2021-06-01 06:30:00,2021-06-01 06:30:00,0.12,0.18
43,2021-06-01 07:30:00,2021-06-01 07:30:00,0.12,0.14
44,2021-06-01 08:15:00,2021-06-01 08:15:00,0.12,0.17
45,2021-06-01 11:00:00,2021-06-01 11:00:00,0.12,0.25
46,2021-06-01 11:45:00,2021-06-01 11:45:00,0.12,0.17
47,2021-06-01 12:45:00,2021-06-01 12:45:00,0.12,0.18
48,2021-06-01 13:30:00,2021-06-01 13:30:00,0.12,0.17
49,2021-06-01 14:45:00,2021-06-01 14:45:00,0.12,0.17
50,2021-06-01 16:00:00,2021-06-01 16:00:00,0.12,0.17
51,2021-06-01 17:15:00,2021-06-01 17:15:00,0.12,0.16
52,2021-06-01 18:15:00,2021-06-01 18:15:00,0.12,0.19
53,2021-06-01 19:00:00,2021-06-01 19:00:00,0.12,0.17
54,2021-06-01 20:00:00,2021-06-01 20:00:00,0.12,0.17
55,2021-06-01 21:00:00,2021-06-01 21:00:00,0.12,0.17
56,2021-06-01 22:00:00,2021-06-01 22:00:00,0.12,0.16
57,2021-06-01 23:15:00,2021-06-01 23:15:00,0.12,0.17
58,2021-06-02 00:30:00,2021-06-02 00:30:00,0.12,0.17
59,2021-06-02 01:45:00,2021-06-02 01:45:00,0.12,0.17
60,2021-06-02 03:15:00,2021-06-02 03:15:00,0.12,0.16
61,2021-06-02 04:45:00,2021-06-02 04:45:00,0.12,0.16
62,2021-06-02 06:15:00,2021-06-02 06:15:00,0.12,0.1
63,2021-06-02 06:45:00,2021-06-02 06:45:00,0.12,0.2
64,2021-06-02 07:15:00,2021-06-02 07:15:00,0.12,0.16
65,2021-06-02 07:45:00,2021-06-02 08:30:00,0.78,1.34
66,2021-06-02 11:00:00,2021-06-02 11:15:00,0.37,0.51
67,2021-06-02 12:00:00,2021-06-02 12:15:00,0.45,0.31
68,2021-06-02 12:45:00,2021-06-02 12:45:00,0.12,0.17
69,2021-06-02 13:30:00,2021-06-02 13:30:00,0.12,0.17
70,2021-06-02 14:00:00,2021-06-02 14:00:00,0.12,0.17
71,2021-06-02 15:00:00,2021-06-02 15:00:00,0.12,0.16
72,2021-06-02 16:00:00,2021-06-02 16:00:00,0.12,0.16
73,2021-06-02 17:00:00,2021-06-02 17:00:00,0.12,0.16
74,2021-06-02 18:15:00,2021-06-02 18:15:00,0.12,0.16
75,2021-06-02 19:30:00,2021-06-02 19:30:00,0.12,0.16
76,2021-06-02 21:00:00,2021-06-02 21:00:00,0.12,0.17
77,2021-06-02 22:30:00,2021-06-02 22:30:00,0.12,0.16
78,2021-06-03 00:00:00,2021-06-03 00:00:00,0.12,0.16
79,2021-06-03 01:45:00,2021-06-03 01:45:00,0.12,0.17
80,2021-06-03 03:15:00,2021-06-03 03:15:00,0.12,0.12
81,2021-06-03 05:00:00,2021-06-03 05:00:00,0.12,0.17
82,2021-06-03 06:00:00,2021-06-03 06:00:00,0.12,0.17
83,2021-06-03 07:00:00,2021-06-03 07:00:00,0.12,0.16
84,2021-06-03 08:15:00,2021-06-03 08:15:00,0.12,0.17
85,2021-06-03 11:00:00,2021-06-03 11:00:00,0.12,0.22
86,2021-06-03 12:00:00,2021-06-03 12:00:00,0.12,0.17
87,2021-06-03 13:15:00,2021-06-03 13:15:00,0.12,0.17
88,2021-06-03 14:30:00,2021-06-03 14:30:00,0.12,0.17
89,2021-06-03 16:00:00,2021-06-03 16:00:00,0.12,0.17
90,2021-06-03 17:30:00,2021-06-03 17:30:00,0.12,0.17
91,2021-06-03 19:00:00,2021-06-03 19:00:00,0.12,0.17
92,2021-06-03 19:30:00,2021-06-03 19:30:00,0.12,0.17
