cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-08-18 01:00:00,2021-08-18 01:15:00,0.46,0.4
1,2021-08-18 04:00:00,2021-08-18 04:30:00,0.72,1.28
2,2021-08-18 05:00:00,2021-08-18 05:15:00,0.36,0.37
3,2021-08-18 06:15:00,2021-08-18 06:15:00,0.12,0.38
4,2021-08-18 18:45:00,2021-08-18 18:45:00,0.12,0.27
5,2021-08-19 00:00:00,2021-08-19 00:45:00,0.65,1.66
6,2021-08-19 04:00:00,2021-08-19 04:00:00,0.12,0.38
7,2021-08-19 04:45:00,2021-08-19 05:00:00,0.49,0.29
8,2021-08-19 06:00:00,2021-08-19 06:00:00,0.12,0.26
9,2021-08-19 19:45:00,2021-08-19 19:45:00,0.12,0.22
10,2021-08-20 00:15:00,2021-08-20 01:00:00,0.71,1.8
11,2021-08-20 04:00:00,2021-08-20 04:00:00,0.12,0.36
12,2021-08-20 04:45:00,2021-08-20 04:45:00,0.12,0.26
13,2021-08-20 05:45:00,2021-08-20 06:00:00,0.38,0.31
14,2021-08-21 05:00:00,2021-08-21 05:30:00,0.58,1.04
15,2021-08-21 06:15:00,2021-08-21 06:15:00,0.12,0.22
16,2021-08-21 12:45:00,2021-08-21 13:45:00,1.16,2.97
17,2021-08-22 19:15:00,2021-08-22 20:45:00,1.47,3.46
18,2021-08-23 04:15:00,2021-08-23 04:30:00,0.31,0.57
19,2021-08-23 05:00:00,2021-08-23 05:00:00,0.12,0.24
20,2021-08-23 18:00:00,2021-08-23 19:30:00,1.52,2.98
21,2021-08-24 04:00:00,2021-08-24 04:30:00,0.67,1.21
22,2021-08-24 05:00:00,2021-08-24 05:00:00,0.12,0.32
23,2021-08-24 05:45:00,2021-08-24 05:45:00,0.12,0.32
24,2021-08-24 06:30:00,2021-08-24 06:45:00,0.45,0.34
25,2021-08-24 18:30:00,2021-08-24 19:30:00,1.09,2.73
26,2021-08-25 04:00:00,2021-08-25 04:45:00,0.81,1.46
27,2021-08-25 05:15:00,2021-08-25 05:15:00,0.12,0.36
28,2021-08-25 06:00:00,2021-08-25 06:15:00,0.33,0.34
29,2021-08-25 17:45:00,2021-08-25 18:00:00,0.38,0.3
30,2021-08-25 23:45:00,2021-08-26 00:00:00,0.34,0.38
31,2021-08-26 03:30:00,2021-08-26 05:00:00,1.67,2.32
32,2021-08-26 06:00:00,2021-08-26 06:15:00,0.29,0.57
