cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-04-06 01:00:00,2022-04-06 07:45:00,6.95,15.07
1,2022-04-06 10:15:00,2022-04-06 10:30:00,0.47,0.36
2,2022-04-06 12:00:00,2022-04-06 12:45:00,0.79,3.46
3,2022-04-06 17:00:00,2022-04-06 17:45:00,0.83,3.38
4,2022-04-06 19:15:00,2022-04-06 21:45:00,2.61,6.48
5,2022-04-07 00:15:00,2022-04-07 00:30:00,0.45,0.36
6,2022-04-07 01:00:00,2022-04-07 01:15:00,0.45,0.36
7,2022-04-07 01:45:00,2022-04-07 05:30:00,3.83,4.04
8,2022-04-07 06:00:00,2022-04-07 07:45:00,1.87,7.63
9,2022-04-07 12:00:00,2022-04-07 12:45:00,0.85,3.83
10,2022-04-07 15:45:00,2022-04-07 15:45:00,0.12,0.28
11,2022-04-07 16:30:00,2022-04-07 16:30:00,0.12,0.3
12,2022-04-07 17:00:00,2022-04-07 17:45:00,0.9,4.37
13,2022-04-07 19:15:00,2022-04-07 21:45:00,2.64,4.72
14,2022-04-07 23:00:00,2022-04-08 01:30:00,2.75,2.27
15,2022-04-08 02:00:00,2022-04-08 07:45:00,5.93,12.8
16,2022-04-08 09:45:00,2022-04-08 09:45:00,0.12,0.28
17,2022-04-08 10:45:00,2022-04-08 10:45:00,0.12,0.28
18,2022-04-08 12:00:00,2022-04-08 17:45:00,5.86,10.3
19,2022-04-08 19:15:00,2022-04-08 22:45:00,3.69,4.96
20,2022-04-09 01:00:00,2022-04-09 01:30:00,0.44,1.03
21,2022-04-09 02:15:00,2022-04-09 23:00:00,20.83,45.36
22,2022-04-09 23:30:00,2022-04-10 22:00:00,22.57,45.33
23,2022-04-10 22:30:00,2022-04-11 08:00:00,9.62,21.73
24,2022-04-11 08:45:00,2022-04-11 09:00:00,0.43,0.66
25,2022-04-11 09:30:00,2022-04-11 09:45:00,0.43,0.49
26,2022-04-11 10:30:00,2022-04-11 10:30:00,0.12,0.34
27,2022-04-11 12:00:00,2022-04-11 12:45:00,0.81,4.22
28,2022-04-11 17:00:00,2022-04-11 17:45:00,0.85,3.51
29,2022-04-11 19:15:00,2022-04-11 21:45:00,2.71,4.24
30,2022-04-11 22:45:00,2022-04-12 07:45:00,9.09,19.31
31,2022-04-12 12:00:00,2022-04-12 12:45:00,0.76,2.97
32,2022-04-12 17:30:00,2022-04-12 17:45:00,0.34,0.57
33,2022-04-12 19:15:00,2022-04-12 21:45:00,2.66,3.96
34,2022-04-13 00:45:00,2022-04-13 01:00:00,0.4,0.35
35,2022-04-13 01:45:00,2022-04-13 02:00:00,0.48,0.36
36,2022-04-13 02:30:00,2022-04-13 02:30:00,0.12,0.3
37,2022-04-13 03:00:00,2022-04-13 03:00:00,0.12,0.31
38,2022-04-13 03:30:00,2022-04-13 07:45:00,4.43,10.89
39,2022-04-13 12:00:00,2022-04-13 12:45:00,0.81,1.49
40,2022-04-13 19:45:00,2022-04-13 21:45:00,2.09,3.18
41,2022-04-14 01:30:00,2022-04-14 01:30:00,0.12,0.26
42,2022-04-14 02:15:00,2022-04-14 02:15:00,0.12,0.3
43,2022-04-14 02:45:00,2022-04-14 04:00:00,1.5,1.46
44,2022-04-14 04:45:00,2022-04-14 07:45:00,3.24,8.39
45,2022-04-14 12:00:00,2022-04-14 12:45:00,0.95,1.09
46,2022-04-14 19:30:00,2022-04-14 21:45:00,2.36,2.22
47,2022-04-15 04:15:00,2022-04-15 04:15:00,0.12,0.23
