cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-06-26 00:00:00,2021-06-26 00:00:00,0.12,0.24
1,2021-06-26 01:30:00,2021-06-26 01:30:00,0.12,0.22
2,2021-06-26 03:30:00,2021-06-26 03:30:00,0.12,0.31
3,2021-06-26 23:15:00,2021-06-26 23:15:00,0.12,0.32
4,2021-06-27 01:30:00,2021-06-27 01:45:00,0.39,0.34
5,2021-06-29 02:15:00,2021-06-29 02:30:00,0.37,0.28
6,2021-06-29 11:30:00,2021-06-29 11:30:00,0.12,0.26
7,2021-06-29 20:45:00,2021-06-29 20:45:00,0.12,0.26
8,2021-06-29 22:15:00,2021-06-29 22:15:00,0.12,0.25
9,2021-06-29 23:30:00,2021-06-29 23:30:00,0.12,0.32
10,2021-06-30 01:45:00,2021-06-30 01:45:00,0.12,0.28
11,2021-06-30 03:30:00,2021-06-30 03:30:00,0.12,0.27
12,2021-06-30 16:30:00,2021-06-30 16:30:00,0.12,0.24
13,2021-06-30 17:45:00,2021-06-30 18:00:00,0.35,0.27
14,2021-06-30 18:45:00,2021-06-30 18:45:00,0.12,0.26
15,2021-06-30 20:00:00,2021-06-30 20:15:00,0.41,0.34
16,2021-06-30 22:00:00,2021-06-30 22:00:00,0.12,0.32
17,2021-07-01 00:00:00,2021-07-01 00:00:00,0.12,0.32
18,2021-07-01 02:15:00,2021-07-01 02:30:00,0.44,0.34
19,2021-07-01 04:45:00,2021-07-01 04:45:00,0.12,0.21
20,2021-07-01 07:30:00,2021-07-01 07:30:00,0.12,0.22
21,2021-07-01 19:30:00,2021-07-01 19:45:00,0.44,0.28
22,2021-07-01 20:45:00,2021-07-01 20:45:00,0.12,0.24
23,2021-07-01 21:45:00,2021-07-01 21:45:00,0.12,0.26
24,2021-07-01 22:45:00,2021-07-01 22:45:00,0.12,0.32
25,2021-07-02 00:30:00,2021-07-02 00:30:00,0.12,0.25
26,2021-07-02 02:15:00,2021-07-02 02:30:00,0.36,0.27
27,2021-07-02 04:15:00,2021-07-02 04:30:00,0.31,0.34
28,2021-07-02 20:00:00,2021-07-02 20:15:00,0.42,0.34
29,2021-07-02 22:15:00,2021-07-02 22:15:00,0.12,0.28
30,2021-07-02 23:45:00,2021-07-02 23:45:00,0.12,0.25
31,2021-07-03 01:00:00,2021-07-03 01:00:00,0.12,0.26
32,2021-07-03 02:00:00,2021-07-03 02:00:00,0.12,0.26
33,2021-07-03 03:30:00,2021-07-03 03:30:00,0.12,0.24
34,2021-07-04 00:15:00,2021-07-04 00:30:00,0.36,0.24
35,2021-07-04 03:30:00,2021-07-04 03:45:00,0.39,0.34
36,2021-07-04 15:45:00,2021-07-04 15:45:00,0.12,0.25
37,2021-07-04 20:15:00,2021-07-04 20:15:00,0.12,0.24
38,2021-07-04 21:45:00,2021-07-04 21:45:00,0.12,0.32
39,2021-07-04 23:15:00,2021-07-04 23:30:00,0.37,0.34
40,2021-07-05 02:15:00,2021-07-05 02:30:00,0.38,0.28
41,2021-07-05 04:30:00,2021-07-05 04:30:00,0.12,0.25
42,2021-07-05 20:30:00,2021-07-05 20:30:00,0.12,0.24
43,2021-07-05 22:30:00,2021-07-05 22:45:00,0.43,0.34
44,2021-07-06 00:30:00,2021-07-06 00:30:00,0.12,0.26
45,2021-07-06 01:45:00,2021-07-06 01:45:00,0.12,0.26
46,2021-07-06 03:30:00,2021-07-06 03:45:00,0.43,0.27
47,2021-07-06 18:45:00,2021-07-06 18:45:00,0.12,0.24
48,2021-07-06 20:15:00,2021-07-06 20:30:00,0.33,0.29
49,2021-07-06 22:00:00,2021-07-06 22:00:00,0.12,0.3
50,2021-07-07 01:00:00,2021-07-07 01:15:00,0.45,0.26
51,2021-07-07 03:45:00,2021-07-07 03:45:00,0.12,0.24
52,2021-07-07 06:00:00,2021-07-07 06:15:00,0.33,0.34
53,2021-07-07 10:00:00,2021-07-07 10:15:00,0.37,0.24
54,2021-07-07 20:00:00,2021-07-07 20:00:00,0.12,0.24
55,2021-07-07 22:30:00,2021-07-07 22:30:00,0.12,0.23
56,2021-07-08 02:15:00,2021-07-08 02:15:00,0.12,0.33
57,2021-07-08 11:00:00,2021-07-08 11:00:00,0.12,0.24
58,2021-07-08 17:00:00,2021-07-08 17:15:00,0.41,0.25
59,2021-07-08 18:45:00,2021-07-08 18:45:00,0.12,0.28
60,2021-07-08 20:15:00,2021-07-08 20:15:00,0.12,0.32
61,2021-07-08 21:45:00,2021-07-08 21:45:00,0.12,0.33
62,2021-07-09 00:00:00,2021-07-09 00:00:00,0.12,0.24
63,2021-07-09 02:15:00,2021-07-09 02:15:00,0.12,0.26
64,2021-07-09 04:15:00,2021-07-09 04:30:00,0.45,0.27
65,2021-07-09 19:45:00,2021-07-09 20:00:00,0.48,0.29
66,2021-07-09 21:15:00,2021-07-09 21:15:00,0.12,0.27
67,2021-07-09 23:00:00,2021-07-09 23:15:00,0.34,0.29
