cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-01-10 00:00:00,2022-01-10 02:15:00,2.5,18.1
1,2022-01-10 02:45:00,2022-01-10 10:45:00,8.19,48.2
2,2022-01-10 12:00:00,2022-01-10 17:45:00,5.91,38.5
3,2022-01-10 19:15:00,2022-01-11 10:45:00,15.61,110.08
4,2022-01-11 12:00:00,2022-01-11 17:45:00,5.9,36.77
5,2022-01-11 19:15:00,2022-01-12 10:45:00,15.63,126.57
6,2022-01-12 12:00:00,2022-01-12 14:00:00,2.07,20.3
7,2022-01-12 14:30:00,2022-01-12 17:45:00,3.41,26.45
8,2022-01-12 19:15:00,2022-01-13 10:45:00,15.61,142.8
9,2022-01-13 12:00:00,2022-01-13 17:45:00,5.89,46.56
10,2022-01-13 19:15:00,2022-01-14 10:45:00,15.63,139.44
11,2022-01-14 12:00:00,2022-01-14 17:45:00,5.88,37.99
12,2022-01-14 19:15:00,2022-01-15 13:00:00,17.86,143.59
13,2022-01-15 13:30:00,2022-01-15 14:30:00,0.89,5.08
14,2022-01-15 15:00:00,2022-01-16 13:45:00,22.85,165.16
15,2022-01-16 14:15:00,2022-01-17 10:45:00,20.52,133.01
16,2022-01-17 12:00:00,2022-01-17 13:15:00,1.3,9.19
17,2022-01-17 13:45:00,2022-01-17 17:45:00,4.08,22.25
18,2022-01-17 19:15:00,2022-01-18 10:45:00,15.63,118.21
19,2022-01-18 12:00:00,2022-01-18 13:15:00,1.36,11.62
20,2022-01-18 13:45:00,2022-01-18 17:45:00,4.05,24.06
21,2022-01-18 19:15:00,2022-01-19 10:45:00,15.6,131.78
22,2022-01-19 12:00:00,2022-01-19 13:15:00,1.28,12.58
23,2022-01-19 14:00:00,2022-01-19 17:45:00,3.98,24.86
24,2022-01-19 19:15:00,2022-01-20 10:45:00,15.63,107.53
25,2022-01-20 12:00:00,2022-01-20 17:45:00,5.88,43.41
26,2022-01-20 19:15:00,2022-01-21 10:45:00,15.63,111.16
27,2022-01-21 12:00:00,2022-01-21 17:45:00,5.79,41.65
28,2022-01-21 19:15:00,2022-01-23 14:00:00,42.82,305.63
29,2022-01-23 14:30:00,2022-01-24 10:45:00,20.36,162.26
30,2022-01-24 12:00:00,2022-01-24 13:30:00,1.47,13.9
31,2022-01-24 14:00:00,2022-01-24 17:45:00,3.97,25.24
32,2022-01-24 19:15:00,2022-01-25 10:45:00,15.62,133.43
33,2022-01-25 12:00:00,2022-01-25 13:15:00,1.35,10.73
34,2022-01-25 13:45:00,2022-01-25 14:00:00,0.48,1.44
35,2022-01-25 14:45:00,2022-01-25 17:45:00,3.08,18.6
36,2022-01-25 19:15:00,2022-01-26 10:45:00,15.63,121.2
37,2022-01-26 12:00:00,2022-01-26 13:15:00,1.28,11.9
38,2022-01-26 14:15:00,2022-01-26 14:45:00,0.53,2.86
39,2022-01-26 15:15:00,2022-01-26 17:45:00,2.57,17.04
40,2022-01-26 19:15:00,2022-01-27 10:45:00,15.63,127.43
41,2022-01-27 12:00:00,2022-01-27 17:45:00,5.88,38.77
42,2022-01-27 19:15:00,2022-01-28 10:45:00,15.64,116.21
43,2022-01-28 12:00:00,2022-01-28 13:30:00,1.53,10.99
44,2022-01-28 14:00:00,2022-01-28 17:45:00,3.79,19.65
45,2022-01-28 19:15:00,2022-01-29 14:00:00,18.9,127.84
46,2022-01-29 14:45:00,2022-01-30 10:45:00,20.23,110.38
47,2022-01-30 11:15:00,2022-01-31 10:45:00,23.71,135.18
48,2022-01-31 12:00:00,2022-01-31 17:45:00,5.89,43.02
49,2022-01-31 19:15:00,2022-02-01 10:45:00,15.63,118.08
50,2022-02-01 12:00:00,2022-02-01 17:45:00,5.89,44.23
51,2022-02-01 19:15:00,2022-02-02 10:45:00,15.63,104.76
52,2022-02-02 12:00:00,2022-02-02 17:45:00,5.89,40.35
53,2022-02-02 19:15:00,2022-02-03 10:45:00,15.62,90.35
54,2022-02-03 12:00:00,2022-02-03 17:45:00,5.81,28.24
55,2022-02-03 19:15:00,2022-02-04 10:45:00,15.66,93.78
56,2022-02-04 12:00:00,2022-02-04 17:45:00,5.77,25.18
57,2022-02-04 19:15:00,2022-02-05 11:30:00,16.41,94.72
58,2022-02-05 12:00:00,2022-02-05 13:15:00,1.3,5.47
59,2022-02-05 13:45:00,2022-02-05 15:00:00,1.28,7.36
60,2022-02-05 15:30:00,2022-02-07 10:45:00,43.28,259.92
61,2022-02-07 12:00:00,2022-02-07 17:45:00,5.9,37.88
62,2022-02-07 19:15:00,2022-02-08 10:45:00,15.63,106.35
63,2022-02-08 12:00:00,2022-02-08 13:15:00,1.26,9.46
64,2022-02-08 14:15:00,2022-02-08 14:30:00,0.31,1.52
65,2022-02-08 15:15:00,2022-02-08 15:45:00,0.61,3.07
66,2022-02-08 16:30:00,2022-02-08 17:45:00,1.41,7.5
67,2022-02-08 19:15:00,2022-02-09 02:15:00,6.91,53.21
68,2022-02-09 02:45:00,2022-02-09 10:45:00,8.11,56.87
69,2022-02-09 12:00:00,2022-02-09 12:30:00,0.63,5.58
70,2022-02-09 13:00:00,2022-02-09 13:15:00,0.35,1.98
71,2022-02-09 15:15:00,2022-02-09 16:00:00,0.63,3.13
72,2022-02-09 16:45:00,2022-02-09 17:45:00,1.13,5.83
73,2022-02-09 19:15:00,2022-02-10 10:45:00,15.63,100.55
74,2022-02-10 12:00:00,2022-02-10 12:45:00,0.79,4.16
75,2022-02-10 13:15:00,2022-02-10 13:30:00,0.36,1.23
76,2022-02-10 14:00:00,2022-02-10 14:15:00,0.28,1.3
77,2022-02-10 15:00:00,2022-02-10 15:30:00,0.46,2.36
78,2022-02-10 16:30:00,2022-02-10 17:45:00,1.5,6.83
79,2022-02-10 19:15:00,2022-02-11 10:45:00,15.68,84.57
80,2022-02-11 12:00:00,2022-02-11 16:00:00,4.05,16.07
81,2022-02-11 16:30:00,2022-02-11 17:45:00,1.3,7.27
82,2022-02-11 19:15:00,2022-02-12 12:45:00,17.44,129.28
83,2022-02-12 13:15:00,2022-02-12 14:30:00,1.38,5.93
84,2022-02-12 15:00:00,2022-02-13 12:45:00,21.87,145.8
85,2022-02-13 13:45:00,2022-02-13 14:45:00,0.93,5.06
86,2022-02-13 15:30:00,2022-02-13 16:30:00,1.06,5.5
87,2022-02-13 17:00:00,2022-02-14 10:45:00,17.81,123.6
88,2022-02-14 12:00:00,2022-02-14 17:45:00,5.93,30.61
89,2022-02-14 19:15:00,2022-02-15 10:45:00,15.64,93.8
90,2022-02-15 12:00:00,2022-02-15 14:30:00,2.63,18.04
91,2022-02-15 15:00:00,2022-02-15 17:45:00,3.0,17.84
92,2022-02-15 19:15:00,2022-02-16 10:45:00,15.63,97.76
93,2022-02-16 12:00:00,2022-02-16 13:30:00,1.41,12.76
94,2022-02-16 14:00:00,2022-02-16 17:30:00,3.69,19.62
95,2022-02-16 19:15:00,2022-02-16 20:30:00,1.42,7.79
96,2022-02-16 21:00:00,2022-02-17 02:00:00,5.23,28.32
97,2022-02-17 02:30:00,2022-02-17 03:45:00,1.46,5.44
98,2022-02-17 04:15:00,2022-02-17 05:15:00,0.98,4.91
99,2022-02-17 05:45:00,2022-02-17 06:30:00,0.8,4.51
100,2022-02-17 07:00:00,2022-02-17 07:45:00,0.86,4.76
101,2022-02-17 08:15:00,2022-02-17 09:15:00,1.03,5.4
102,2022-02-17 09:45:00,2022-02-17 10:45:00,0.96,4.82
103,2022-02-17 12:00:00,2022-02-17 15:00:00,3.06,13.47
104,2022-02-17 15:30:00,2022-02-17 16:15:00,1.0,5.01
105,2022-02-17 16:45:00,2022-02-17 17:45:00,1.22,7.03
106,2022-02-17 19:15:00,2022-02-18 10:45:00,15.45,68.82
107,2022-02-18 12:00:00,2022-02-18 13:00:00,1.03,5.7
108,2022-02-18 13:30:00,2022-02-18 13:30:00,0.12,0.8
109,2022-02-18 15:30:00,2022-02-18 15:45:00,0.41,2.06
110,2022-02-18 16:30:00,2022-02-18 17:30:00,0.93,4.96
111,2022-02-18 19:15:00,2022-02-20 03:30:00,32.44,162.62
112,2022-02-20 04:00:00,2022-02-20 06:30:00,2.74,13.8
113,2022-02-20 07:00:00,2022-02-20 09:45:00,2.88,17.54
114,2022-02-20 10:15:00,2022-02-20 12:00:00,1.81,7.98
115,2022-02-20 12:45:00,2022-02-20 12:45:00,0.12,1.16
116,2022-02-20 13:15:00,2022-02-21 03:15:00,14.11,62.4
117,2022-02-21 03:45:00,2022-02-21 06:45:00,3.19,13.62
118,2022-02-21 07:15:00,2022-02-21 10:45:00,3.6,22.47
119,2022-02-21 12:00:00,2022-02-21 17:45:00,5.89,36.14
120,2022-02-21 19:15:00,2022-02-22 10:45:00,15.63,91.63
121,2022-02-22 12:00:00,2022-02-22 16:00:00,4.15,18.78
122,2022-02-22 16:30:00,2022-02-22 17:45:00,1.43,8.42
123,2022-02-22 19:15:00,2022-02-23 07:45:00,12.67,69.02
124,2022-02-23 08:15:00,2022-02-23 10:45:00,2.59,11.06
125,2022-02-23 12:00:00,2022-02-23 13:30:00,1.53,6.55
126,2022-02-23 14:45:00,2022-02-23 15:00:00,0.45,1.81
127,2022-02-23 16:00:00,2022-02-23 16:30:00,0.49,2.55
