cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-07-12 04:30:00,2022-07-12 04:30:00,0.12,0.16
1,2022-07-12 05:15:00,2022-07-12 06:00:00,1.0,0.41
2,2022-07-12 06:30:00,2022-07-12 07:30:00,1.18,1.35
3,2022-07-12 09:00:00,2022-07-12 09:00:00,0.12,0.11
4,2022-07-12 13:00:00,2022-07-12 13:00:00,0.12,0.1
5,2022-07-12 17:00:00,2022-07-12 17:15:00,0.35,0.62
6,2022-07-12 20:45:00,2022-07-12 21:00:00,0.36,0.53
7,2022-07-12 22:15:00,2022-07-12 22:15:00,0.12,0.1
8,2022-07-12 22:45:00,2022-07-12 22:45:00,0.12,0.12
9,2022-07-13 02:15:00,2022-07-13 02:15:00,0.12,0.14
10,2022-07-13 04:15:00,2022-07-13 04:15:00,0.12,0.1
11,2022-07-13 05:00:00,2022-07-13 05:15:00,0.46,0.21
12,2022-07-13 05:45:00,2022-07-13 06:00:00,0.5,0.19
13,2022-07-13 06:45:00,2022-07-13 07:15:00,0.48,0.82
14,2022-07-13 08:15:00,2022-07-13 08:15:00,0.12,0.09
15,2022-07-13 10:30:00,2022-07-13 10:30:00,0.12,0.11
16,2022-07-13 15:30:00,2022-07-13 15:45:00,0.44,0.21
17,2022-07-13 18:00:00,2022-07-13 18:15:00,0.39,0.49
18,2022-07-13 19:00:00,2022-07-13 19:15:00,0.43,0.23
19,2022-07-13 20:30:00,2022-07-13 20:30:00,0.12,0.13
20,2022-07-13 21:15:00,2022-07-13 22:00:00,0.7,1.18
21,2022-07-14 01:45:00,2022-07-14 02:00:00,0.48,0.2
22,2022-07-14 05:45:00,2022-07-14 06:00:00,0.46,0.2
23,2022-07-14 06:45:00,2022-07-14 07:00:00,0.34,0.5
24,2022-07-14 08:30:00,2022-07-14 08:30:00,0.12,0.1
25,2022-07-14 14:15:00,2022-07-14 14:15:00,0.12,0.09
26,2022-07-14 14:45:00,2022-07-14 14:45:00,0.12,0.12
27,2022-07-14 16:45:00,2022-07-14 17:00:00,0.38,0.47
28,2022-07-14 18:30:00,2022-07-14 18:30:00,0.12,0.09
29,2022-07-14 19:00:00,2022-07-14 19:00:00,0.12,0.12
30,2022-07-14 21:45:00,2022-07-14 22:15:00,0.68,0.7
31,2022-07-15 02:45:00,2022-07-15 02:45:00,0.12,0.11
32,2022-07-15 06:45:00,2022-07-15 07:15:00,0.5,0.87
33,2022-07-15 09:45:00,2022-07-15 09:45:00,0.12,0.12
34,2022-07-15 14:30:00,2022-07-15 14:45:00,0.35,0.3
35,2022-07-15 20:30:00,2022-07-15 20:45:00,0.33,0.56
36,2022-07-15 21:45:00,2022-07-15 22:15:00,0.5,0.78
37,2022-07-15 23:30:00,2022-07-15 23:30:00,0.12,0.11
38,2022-07-16 00:15:00,2022-07-16 01:45:00,1.67,5.06
