cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-04-27 23:45:00,2021-04-28 00:45:00,1.23,0.99
1,2021-04-28 02:30:00,2021-04-28 02:45:00,0.49,0.66
2,2021-04-28 23:45:00,2021-04-29 01:00:00,1.35,1.66
3,2021-04-29 19:15:00,2021-04-29 19:45:00,0.5,0.66
4,2021-04-29 23:45:00,2021-04-30 01:15:00,1.68,1.73
5,2021-04-30 14:00:00,2021-04-30 14:30:00,0.54,0.71
6,2021-04-30 17:45:00,2021-04-30 18:15:00,0.55,0.75
7,2021-04-30 21:30:00,2021-04-30 22:00:00,0.56,0.8
8,2021-04-30 23:45:00,2021-05-01 01:15:00,1.66,1.84
9,2021-05-01 04:15:00,2021-05-01 04:45:00,0.58,0.83
10,2021-05-01 10:15:00,2021-05-01 10:45:00,0.55,0.74
11,2021-05-01 14:30:00,2021-05-01 15:00:00,0.55,0.78
12,2021-05-01 17:30:00,2021-05-01 18:00:00,0.59,0.83
13,2021-05-01 20:30:00,2021-05-01 21:00:00,0.62,0.9
14,2021-05-01 23:30:00,2021-05-02 01:00:00,1.51,1.96
15,2021-05-02 02:15:00,2021-05-02 02:45:00,0.6,0.88
16,2021-05-02 05:15:00,2021-05-02 05:45:00,0.62,0.9
17,2021-05-02 08:30:00,2021-05-02 09:00:00,0.48,0.7
18,2021-05-02 12:15:00,2021-05-02 12:45:00,0.58,0.84
19,2021-05-02 17:00:00,2021-05-02 17:30:00,0.61,0.88
20,2021-05-02 19:45:00,2021-05-02 20:15:00,0.6,0.89
21,2021-05-02 22:30:00,2021-05-02 23:00:00,0.61,0.9
22,2021-05-02 23:45:00,2021-05-03 01:30:00,1.78,2.14
23,2021-05-03 03:00:00,2021-05-03 03:45:00,0.75,1.17
24,2021-05-03 05:45:00,2021-05-03 06:15:00,0.59,0.92
25,2021-05-03 23:45:00,2021-05-04 01:15:00,1.72,1.21
26,2021-05-04 23:45:00,2021-05-05 01:00:00,1.37,0.99
27,2021-05-05 19:00:00,2021-05-05 19:30:00,0.74,1.2
28,2021-05-05 20:00:00,2021-05-05 21:30:00,1.64,3.09
29,2021-05-05 22:30:00,2021-05-06 01:15:00,2.96,4.81
30,2021-05-06 01:45:00,2021-05-06 02:30:00,0.99,1.94
31,2021-05-06 03:30:00,2021-05-06 05:00:00,1.48,2.85
32,2021-05-06 06:15:00,2021-05-06 07:15:00,0.91,1.69
33,2021-05-06 08:30:00,2021-05-06 08:45:00,0.45,0.79
34,2021-05-06 10:00:00,2021-05-06 11:15:00,1.46,2.65
35,2021-05-06 12:30:00,2021-05-06 13:30:00,1.14,2.1
36,2021-05-06 14:45:00,2021-05-06 14:45:00,0.12,0.3
37,2021-05-06 16:15:00,2021-05-06 17:45:00,1.7,3.07
38,2021-05-06 19:00:00,2021-05-06 20:15:00,1.35,2.53
39,2021-05-06 21:30:00,2021-05-06 22:45:00,1.28,2.43
40,2021-05-06 23:45:00,2021-05-07 01:15:00,1.47,3.74
41,2021-05-07 02:15:00,2021-05-07 03:30:00,1.31,2.54
42,2021-05-07 04:45:00,2021-05-07 05:45:00,1.06,2.06
43,2021-05-07 07:00:00,2021-05-07 08:15:00,1.21,2.28
44,2021-05-07 10:00:00,2021-05-07 10:45:00,0.96,1.76
45,2021-05-07 12:30:00,2021-05-07 13:00:00,0.72,1.27
46,2021-05-07 14:45:00,2021-05-07 14:45:00,0.12,0.13
47,2021-05-07 16:15:00,2021-05-07 16:45:00,0.69,1.14
48,2021-05-07 17:30:00,2021-05-07 19:00:00,1.47,2.67
49,2021-05-07 20:00:00,2021-05-07 21:15:00,1.36,2.63
50,2021-05-07 22:30:00,2021-05-08 02:30:00,3.95,6.78
51,2021-05-08 03:30:00,2021-05-08 04:45:00,1.49,3.05
52,2021-05-08 06:00:00,2021-05-08 07:00:00,1.04,2.03
53,2021-05-08 23:45:00,2021-05-09 00:45:00,1.22,0.89
54,2021-05-09 23:45:00,2021-05-10 00:45:00,1.19,0.88
55,2021-05-10 23:45:00,2021-05-11 00:45:00,1.17,0.87
56,2021-05-11 23:45:00,2021-05-12 00:45:00,1.22,0.89
57,2021-05-12 23:45:00,2021-05-13 00:45:00,1.22,0.89
58,2021-05-13 23:45:00,2021-05-14 00:45:00,1.22,0.88
59,2021-05-14 23:45:00,2021-05-15 00:45:00,1.22,0.89
60,2021-05-15 23:45:00,2021-05-16 00:45:00,1.22,0.88
61,2021-05-16 23:45:00,2021-05-17 00:45:00,1.22,0.89
62,2021-05-17 05:30:00,2021-05-17 08:45:00,3.48,5.47
63,2021-05-17 10:15:00,2021-05-17 11:00:00,0.88,1.54
