cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:00:00,2021-01-20 13:00:00,14.18,35.77
1,2021-01-20 13:45:00,2021-01-21 02:15:00,12.35,31.56
2,2021-01-21 03:15:00,2021-01-21 04:15:00,0.97,2.51
3,2021-01-21 05:00:00,2021-01-21 06:00:00,1.0,2.57
4,2021-01-21 06:45:00,2021-01-21 08:15:00,1.64,4.14
5,2021-01-21 09:15:00,2021-01-21 10:15:00,0.85,2.15
6,2021-01-21 11:30:00,2021-01-21 12:00:00,0.42,1.09
7,2021-01-21 13:15:00,2021-01-21 13:45:00,0.61,1.56
8,2021-01-21 14:45:00,2021-01-21 15:30:00,0.97,2.42
9,2021-01-21 16:15:00,2021-01-21 18:45:00,2.62,6.79
10,2021-01-21 19:30:00,2021-01-21 20:15:00,0.8,1.9
11,2021-01-21 21:15:00,2021-01-21 22:00:00,0.86,2.2
12,2021-01-21 22:45:00,2021-01-21 23:30:00,0.87,2.19
13,2021-01-22 00:30:00,2021-01-22 01:15:00,0.79,2.03
14,2021-01-22 01:45:00,2021-01-22 03:00:00,1.28,3.38
15,2021-01-22 03:30:00,2021-01-22 05:15:00,1.63,4.03
16,2021-01-22 06:00:00,2021-01-22 07:00:00,1.1,2.85
17,2021-01-22 07:30:00,2021-01-22 09:15:00,1.84,4.55
18,2021-01-22 10:00:00,2021-01-22 11:00:00,0.97,2.44
19,2021-01-22 12:00:00,2021-01-22 13:00:00,0.88,2.15
20,2021-01-22 14:00:00,2021-01-22 14:45:00,0.89,2.19
21,2021-01-22 15:30:00,2021-01-22 17:45:00,2.27,5.8
22,2021-01-22 18:15:00,2021-01-22 19:15:00,1.09,2.82
23,2021-01-22 20:00:00,2021-01-22 21:30:00,1.64,4.26
24,2021-01-22 22:15:00,2021-01-23 10:00:00,11.7,29.82
25,2021-01-23 10:45:00,2021-01-23 12:15:00,1.51,3.8
26,2021-01-23 13:00:00,2021-01-23 15:30:00,2.64,6.95
27,2021-01-23 16:00:00,2021-01-23 21:30:00,5.56,14.27
28,2021-01-23 22:30:00,2021-01-23 23:45:00,1.46,3.76
29,2021-01-24 00:30:00,2021-01-24 10:00:00,9.57,24.4
30,2021-01-24 10:45:00,2021-01-24 12:30:00,1.89,5.0
31,2021-01-24 13:15:00,2021-01-25 11:45:00,22.47,57.67
32,2021-01-25 12:45:00,2021-01-26 13:30:00,25.0,63.32
33,2021-01-26 14:30:00,2021-01-27 16:00:00,25.54,64.8
34,2021-01-27 16:30:00,2021-01-27 19:00:00,2.42,6.24
35,2021-01-27 19:45:00,2021-01-27 20:45:00,1.13,3.04
36,2021-01-27 21:30:00,2021-01-27 22:45:00,1.26,3.32
37,2021-01-27 23:15:00,2021-01-28 01:45:00,2.44,6.18
38,2021-01-28 02:30:00,2021-01-28 03:30:00,1.09,2.93
39,2021-01-28 04:15:00,2021-01-28 05:30:00,1.25,3.36
40,2021-01-28 06:00:00,2021-01-28 07:15:00,1.31,3.3
41,2021-01-28 08:00:00,2021-01-28 09:45:00,1.89,4.62
42,2021-01-28 10:45:00,2021-01-28 12:00:00,1.18,2.91
43,2021-01-28 13:00:00,2021-01-28 14:00:00,1.15,2.68
44,2021-01-28 15:15:00,2021-01-28 15:30:00,0.5,1.08
45,2021-01-28 16:30:00,2021-01-28 16:45:00,0.45,1.12
46,2021-01-28 17:30:00,2021-01-28 18:15:00,0.84,2.08
47,2021-01-28 19:15:00,2021-01-28 20:00:00,0.97,2.41
48,2021-01-28 21:00:00,2021-01-28 21:30:00,0.44,1.16
