cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:30:00,2021-01-01 01:30:00,0.96,5.69
1,2021-01-01 03:30:00,2021-01-01 04:00:00,0.49,2.74
2,2021-01-01 05:30:00,2021-01-01 05:45:00,0.47,2.2
3,2021-01-01 07:15:00,2021-01-01 07:30:00,0.49,2.49
4,2021-01-01 08:15:00,2021-01-01 09:45:00,1.71,5.32
5,2021-01-01 10:45:00,2021-01-01 13:30:00,2.57,11.05
6,2021-01-01 14:45:00,2021-01-01 15:00:00,0.42,2.51
7,2021-01-01 16:15:00,2021-01-01 16:45:00,0.45,2.52
8,2021-01-01 17:30:00,2021-01-01 19:00:00,1.61,4.88
9,2021-01-01 20:15:00,2021-01-01 20:45:00,0.41,2.42
10,2021-01-01 21:45:00,2021-01-01 22:45:00,1.25,5.47
11,2021-01-02 01:00:00,2021-01-02 01:30:00,0.61,3.79
12,2021-01-02 04:15:00,2021-01-02 05:15:00,1.13,4.09
13,2021-01-02 07:15:00,2021-01-02 07:30:00,0.46,2.34
14,2021-01-02 08:00:00,2021-01-02 11:30:00,3.64,10.11
15,2021-01-02 12:15:00,2021-01-02 12:15:00,0.12,0.1
16,2021-01-02 12:45:00,2021-01-02 13:15:00,0.36,2.17
17,2021-01-02 14:00:00,2021-01-02 14:30:00,0.4,2.35
18,2021-01-02 15:30:00,2021-01-02 16:00:00,0.62,3.08
19,2021-01-02 17:00:00,2021-01-02 17:30:00,0.43,2.49
20,2021-01-02 18:30:00,2021-01-02 19:00:00,0.42,2.41
21,2021-01-02 20:15:00,2021-01-02 21:15:00,1.11,4.13
22,2021-01-02 21:45:00,2021-01-02 22:15:00,0.5,3.4
23,2021-01-03 00:00:00,2021-01-03 01:15:00,1.47,6.82
24,2021-01-03 03:15:00,2021-01-03 03:45:00,0.48,2.71
25,2021-01-03 05:00:00,2021-01-03 05:30:00,0.45,2.54
26,2021-01-03 06:45:00,2021-01-03 07:15:00,0.48,2.68
27,2021-01-03 07:45:00,2021-01-03 08:00:00,0.31,1.62
28,2021-01-03 09:15:00,2021-01-03 09:45:00,0.56,3.39
29,2021-01-03 10:15:00,2021-01-03 11:45:00,1.54,5.91
30,2021-01-03 13:00:00,2021-01-03 13:15:00,0.43,2.3
31,2021-01-03 14:45:00,2021-01-03 15:15:00,0.4,2.44
32,2021-01-03 16:45:00,2021-01-03 17:00:00,0.49,2.31
33,2021-01-03 17:30:00,2021-01-03 17:30:00,0.12,0.95
34,2021-01-03 19:30:00,2021-01-03 20:15:00,0.82,4.26
35,2021-01-03 21:30:00,2021-01-03 22:45:00,1.17,7.1
36,2021-01-04 00:00:00,2021-01-04 01:00:00,1.18,6.57
37,2021-01-04 02:30:00,2021-01-04 03:00:00,0.56,3.03
38,2021-01-04 04:30:00,2021-01-04 05:00:00,0.56,3.12
39,2021-01-04 06:15:00,2021-01-04 07:00:00,0.73,3.78
40,2021-01-04 08:00:00,2021-01-04 08:30:00,0.49,2.74
41,2021-01-04 09:30:00,2021-01-04 11:45:00,2.28,7.62
42,2021-01-04 12:15:00,2021-01-04 12:30:00,0.42,1.98
43,2021-01-04 13:30:00,2021-01-04 14:00:00,0.49,2.84
44,2021-01-04 15:00:00,2021-01-04 15:30:00,0.48,2.86
45,2021-01-04 16:30:00,2021-01-04 16:45:00,0.45,2.66
46,2021-01-04 18:15:00,2021-01-04 18:45:00,0.75,3.7
47,2021-01-04 20:00:00,2021-01-04 20:15:00,0.49,2.44
48,2021-01-04 21:45:00,2021-01-04 22:45:00,1.01,6.26
49,2021-01-05 00:15:00,2021-01-05 01:15:00,1.1,6.1
50,2021-01-05 03:00:00,2021-01-05 03:30:00,0.56,3.01
51,2021-01-05 04:45:00,2021-01-05 05:15:00,0.46,2.64
52,2021-01-05 06:15:00,2021-01-05 07:00:00,0.76,3.89
53,2021-01-05 08:00:00,2021-01-05 09:00:00,0.94,3.18
54,2021-01-05 09:30:00,2021-01-05 11:30:00,2.09,6.56
55,2021-01-05 12:30:00,2021-01-05 13:00:00,0.49,2.7
56,2021-01-05 13:30:00,2021-01-05 13:45:00,0.49,2.21
57,2021-01-05 14:45:00,2021-01-05 15:15:00,0.51,2.92
58,2021-01-05 16:15:00,2021-01-05 16:30:00,0.44,2.58
59,2021-01-05 17:15:00,2021-01-05 17:45:00,0.74,0.32
60,2021-01-05 18:15:00,2021-01-05 18:45:00,0.55,3.22
61,2021-01-05 19:30:00,2021-01-05 20:45:00,1.18,4.61
62,2021-01-05 21:45:00,2021-01-05 22:30:00,0.89,5.63
63,2021-01-06 00:00:00,2021-01-06 00:45:00,0.86,5.27
64,2021-01-06 01:15:00,2021-01-06 01:30:00,0.46,3.11
65,2021-01-06 03:15:00,2021-01-06 03:45:00,0.47,2.77
66,2021-01-06 04:45:00,2021-01-06 05:00:00,0.47,2.48
67,2021-01-06 06:00:00,2021-01-06 06:30:00,0.5,2.82
68,2021-01-06 07:30:00,2021-01-06 08:15:00,0.72,3.74
69,2021-01-06 09:30:00,2021-01-06 10:00:00,0.45,2.69
70,2021-01-06 11:00:00,2021-01-06 11:30:00,0.69,4.19
71,2021-01-06 12:45:00,2021-01-06 14:00:00,1.29,5.18
72,2021-01-06 15:00:00,2021-01-06 15:30:00,0.57,3.24
73,2021-01-06 16:30:00,2021-01-06 16:45:00,0.32,1.79
74,2021-01-06 18:15:00,2021-01-06 18:45:00,0.58,3.38
75,2021-01-06 19:15:00,2021-01-06 19:30:00,0.37,2.07
76,2021-01-06 20:45:00,2021-01-06 21:15:00,0.49,2.93
77,2021-01-06 21:45:00,2021-01-06 22:15:00,0.64,4.2
78,2021-01-06 23:45:00,2021-01-07 00:15:00,0.53,3.0
79,2021-01-07 00:45:00,2021-01-07 01:15:00,0.57,3.7
80,2021-01-07 03:15:00,2021-01-07 03:45:00,0.48,2.82
81,2021-01-07 05:00:00,2021-01-07 05:30:00,0.44,2.54
82,2021-01-07 06:45:00,2021-01-07 09:30:00,2.82,8.78
83,2021-01-07 11:00:00,2021-01-07 11:30:00,0.7,4.28
84,2021-01-07 13:15:00,2021-01-07 13:45:00,0.44,2.52
85,2021-01-07 15:00:00,2021-01-07 16:15:00,1.27,4.7
86,2021-01-07 18:15:00,2021-01-07 18:30:00,0.47,2.55
87,2021-01-07 20:00:00,2021-01-07 20:15:00,0.43,2.31
88,2021-01-07 21:45:00,2021-01-07 22:30:00,0.94,5.77
89,2021-01-08 00:15:00,2021-01-08 01:30:00,1.11,6.27
90,2021-01-08 03:30:00,2021-01-08 04:00:00,0.52,3.01
91,2021-01-08 05:00:00,2021-01-08 05:30:00,0.43,2.47
92,2021-01-08 06:45:00,2021-01-08 08:15:00,1.74,4.98
93,2021-01-08 08:45:00,2021-01-08 09:15:00,0.46,2.65
94,2021-01-08 11:00:00,2021-01-08 11:30:00,0.7,4.27
95,2021-01-08 13:00:00,2021-01-08 13:15:00,0.48,2.44
96,2021-01-08 14:15:00,2021-01-08 15:30:00,1.28,4.74
97,2021-01-08 16:30:00,2021-01-08 16:45:00,0.49,2.36
98,2021-01-08 18:15:00,2021-01-08 18:30:00,0.48,2.35
99,2021-01-08 19:15:00,2021-01-08 19:30:00,0.31,2.81
100,2021-01-08 20:15:00,2021-01-08 20:30:00,0.31,2.64
101,2021-01-08 21:15:00,2021-01-08 22:15:00,1.09,9.04
102,2021-01-08 23:15:00,2021-01-09 00:15:00,1.18,9.02
103,2021-01-09 01:30:00,2021-01-09 01:30:00,0.12,3.18
104,2021-01-09 02:30:00,2021-01-09 02:45:00,0.39,3.25
105,2021-01-09 03:30:00,2021-01-09 03:45:00,0.33,3.41
106,2021-01-09 04:30:00,2021-01-09 04:45:00,0.42,2.95
107,2021-01-09 05:15:00,2021-01-09 05:30:00,0.3,2.58
108,2021-01-09 06:15:00,2021-01-09 06:15:00,0.12,2.6
109,2021-01-09 07:00:00,2021-01-09 07:15:00,0.3,2.76
110,2021-01-09 07:45:00,2021-01-09 15:00:00,7.23,29.76
111,2021-01-09 15:45:00,2021-01-09 16:15:00,0.43,2.49
112,2021-01-09 17:00:00,2021-01-09 17:15:00,0.31,4.33
113,2021-01-09 18:15:00,2021-01-09 19:00:00,1.0,5.14
114,2021-01-09 19:45:00,2021-01-09 20:00:00,0.35,2.86
115,2021-01-09 20:45:00,2021-01-09 20:45:00,0.12,2.92
116,2021-01-09 21:45:00,2021-01-09 22:15:00,0.52,7.67
117,2021-01-09 23:15:00,2021-01-09 23:30:00,0.48,6.5
118,2021-01-10 00:45:00,2021-01-10 01:15:00,0.48,7.03
119,2021-01-10 02:15:00,2021-01-10 02:30:00,0.32,3.55
120,2021-01-10 03:15:00,2021-01-10 03:30:00,0.29,3.91
121,2021-01-10 04:30:00,2021-01-10 05:00:00,0.62,5.1
122,2021-01-10 05:30:00,2021-01-10 05:45:00,0.29,3.08
123,2021-01-10 06:30:00,2021-01-10 06:30:00,0.12,2.94
124,2021-01-10 07:15:00,2021-01-10 07:30:00,0.42,3.15
125,2021-01-10 08:00:00,2021-01-10 09:45:00,1.85,10.7
126,2021-01-10 10:15:00,2021-01-10 10:30:00,0.33,3.23
127,2021-01-10 11:00:00,2021-01-10 11:15:00,0.49,6.15
128,2021-01-10 12:15:00,2021-01-10 12:15:00,0.12,2.99
129,2021-01-10 13:00:00,2021-01-10 13:15:00,0.26,3.24
130,2021-01-10 14:00:00,2021-01-10 14:15:00,0.27,3.26
131,2021-01-10 15:00:00,2021-01-10 15:15:00,0.34,3.25
132,2021-01-10 16:00:00,2021-01-10 16:15:00,0.44,3.36
133,2021-01-10 17:00:00,2021-01-10 17:15:00,0.35,4.84
134,2021-01-10 18:15:00,2021-01-10 18:15:00,0.12,2.53
135,2021-01-10 19:00:00,2021-01-10 19:15:00,0.48,2.92
136,2021-01-10 20:00:00,2021-01-10 20:15:00,0.32,2.68
137,2021-01-10 21:30:00,2021-01-10 22:00:00,0.53,7.64
138,2021-01-10 23:30:00,2021-01-11 00:00:00,0.47,6.86
139,2021-01-11 01:15:00,2021-01-11 01:30:00,0.32,4.54
140,2021-01-11 03:00:00,2021-01-11 03:15:00,0.43,3.94
141,2021-01-11 04:15:00,2021-01-11 04:45:00,0.53,5.09
142,2021-01-11 05:45:00,2021-01-11 06:45:00,1.05,6.26
143,2021-01-11 07:15:00,2021-01-11 07:30:00,0.36,3.29
144,2021-01-11 08:15:00,2021-01-11 08:30:00,0.31,3.02
145,2021-01-11 09:00:00,2021-01-11 09:15:00,0.34,2.97
146,2021-01-11 10:30:00,2021-01-11 11:30:00,1.14,8.55
147,2021-01-11 12:00:00,2021-01-11 12:15:00,0.29,2.32
148,2021-01-11 13:00:00,2021-01-11 13:00:00,0.12,2.98
149,2021-01-11 13:45:00,2021-01-11 14:00:00,0.3,3.12
150,2021-01-11 14:30:00,2021-01-11 14:45:00,0.28,2.88
151,2021-01-11 15:30:00,2021-01-11 15:45:00,0.3,3.31
152,2021-01-11 16:15:00,2021-01-11 17:00:00,0.98,3.47
153,2021-01-11 18:15:00,2021-01-11 20:45:00,2.75,17.83
154,2021-01-11 21:15:00,2021-01-11 22:00:00,0.73,10.23
155,2021-01-11 22:45:00,2021-01-11 23:15:00,0.59,8.42
156,2021-01-12 00:15:00,2021-01-12 00:30:00,0.31,3.86
157,2021-01-12 01:00:00,2021-01-12 01:30:00,0.56,8.21
158,2021-01-12 02:30:00,2021-01-12 02:45:00,0.38,4.42
159,2021-01-12 03:30:00,2021-01-12 04:00:00,0.38,5.02
160,2021-01-12 04:30:00,2021-01-12 04:45:00,0.34,3.84
161,2021-01-12 05:30:00,2021-01-12 06:45:00,1.17,7.9
162,2021-01-12 07:15:00,2021-01-12 08:45:00,1.64,7.5
163,2021-01-12 09:45:00,2021-01-12 10:00:00,0.27,1.38
164,2021-01-12 11:00:00,2021-01-12 11:30:00,0.69,4.31
165,2021-01-12 13:00:00,2021-01-12 13:15:00,0.4,2.12
166,2021-01-12 15:00:00,2021-01-12 15:45:00,0.7,3.66
167,2021-01-12 18:15:00,2021-01-12 19:00:00,0.83,3.06
168,2021-01-12 19:45:00,2021-01-12 22:00:00,2.47,7.0
169,2021-01-13 01:15:00,2021-01-13 01:30:00,0.43,2.76
170,2021-01-13 05:15:00,2021-01-13 05:30:00,0.46,2.44
171,2021-01-13 06:00:00,2021-01-13 06:00:00,0.12,0.1
172,2021-01-13 08:15:00,2021-01-13 08:45:00,0.56,3.18
173,2021-01-13 09:45:00,2021-01-13 10:00:00,0.38,0.35
174,2021-01-13 11:00:00,2021-01-13 11:30:00,0.75,3.83
175,2021-01-13 12:00:00,2021-01-13 12:30:00,0.74,0.31
176,2021-01-13 13:15:00,2021-01-13 15:00:00,1.82,6.66
177,2021-01-13 16:00:00,2021-01-13 16:45:00,0.72,3.83
178,2021-01-13 18:15:00,2021-01-13 18:30:00,0.44,2.16
179,2021-01-13 21:00:00,2021-01-13 22:15:00,1.21,5.55
180,2021-01-17 23:00:00,2021-01-17 23:00:00,0.12,1.28
181,2021-01-18 00:45:00,2021-01-18 01:30:00,0.66,4.16
182,2021-01-18 03:30:00,2021-01-18 04:00:00,0.43,2.45
183,2021-01-18 05:30:00,2021-01-18 06:30:00,0.81,4.41
184,2021-01-18 07:45:00,2021-01-18 08:15:00,0.49,2.97
185,2021-01-18 09:15:00,2021-01-18 09:45:00,0.45,2.66
186,2021-01-18 11:00:00,2021-01-18 12:00:00,1.19,4.88
187,2021-01-18 13:45:00,2021-01-18 14:30:00,0.6,3.45
188,2021-01-18 15:30:00,2021-01-18 16:00:00,0.44,2.66
189,2021-01-18 17:00:00,2021-01-18 18:45:00,1.97,4.36
190,2021-01-18 20:00:00,2021-01-18 20:45:00,0.62,3.24
191,2021-01-18 21:45:00,2021-01-18 22:15:00,0.63,4.1
192,2021-01-19 00:45:00,2021-01-19 01:30:00,0.57,6.64
193,2021-01-19 04:00:00,2021-01-19 04:30:00,0.34,4.53
194,2021-01-19 05:30:00,2021-01-19 05:45:00,0.4,2.77
195,2021-01-19 06:30:00,2021-01-19 08:15:00,1.75,8.89
196,2021-01-19 09:00:00,2021-01-19 09:15:00,0.46,2.27
197,2021-01-19 11:00:00,2021-01-19 11:30:00,0.69,4.42
198,2021-01-19 13:30:00,2021-01-19 13:45:00,0.48,2.56
199,2021-01-19 15:15:00,2021-01-19 16:00:00,0.63,3.34
200,2021-01-19 18:15:00,2021-01-19 18:30:00,0.5,2.42
201,2021-01-19 20:15:00,2021-01-19 20:30:00,0.44,2.15
202,2021-01-19 21:45:00,2021-01-19 22:00:00,0.41,2.3
203,2021-01-19 22:30:00,2021-01-19 23:00:00,0.47,3.25
204,2021-01-20 01:00:00,2021-01-20 01:30:00,0.59,3.59
205,2021-01-20 04:00:00,2021-01-20 04:30:00,0.53,2.96
206,2021-01-20 05:30:00,2021-01-20 06:15:00,0.56,2.43
207,2021-01-20 06:45:00,2021-01-20 07:30:00,0.76,3.98
208,2021-01-20 08:15:00,2021-01-20 08:45:00,0.41,2.38
209,2021-01-20 09:30:00,2021-01-20 10:00:00,0.38,2.19
210,2021-01-20 11:00:00,2021-01-20 11:30:00,0.69,4.25
211,2021-01-20 13:00:00,2021-01-20 13:30:00,0.69,3.29
212,2021-01-20 15:00:00,2021-01-20 15:15:00,0.48,2.52
213,2021-01-20 16:15:00,2021-01-20 16:45:00,0.48,2.68
214,2021-01-20 18:00:00,2021-01-20 19:30:00,1.41,5.88
215,2021-01-20 20:45:00,2021-01-20 21:00:00,0.46,2.48
216,2021-01-20 21:45:00,2021-01-20 22:15:00,0.55,3.67
217,2021-01-21 00:30:00,2021-01-21 01:30:00,1.17,5.05
218,2021-01-21 04:15:00,2021-01-21 04:45:00,0.54,2.7
219,2021-01-21 06:45:00,2021-01-21 07:15:00,0.54,3.04
220,2021-01-21 09:15:00,2021-01-21 09:45:00,0.47,2.88
221,2021-01-21 11:00:00,2021-01-21 11:30:00,0.7,4.1
222,2021-01-21 15:00:00,2021-01-21 15:30:00,0.48,2.61
223,2021-01-21 18:15:00,2021-01-21 19:00:00,0.74,3.02
224,2021-01-21 21:45:00,2021-01-21 22:30:00,0.85,4.93
225,2021-01-22 01:15:00,2021-01-22 01:45:00,0.36,2.13
226,2021-01-22 04:15:00,2021-01-22 04:45:00,0.43,2.64
227,2021-01-22 06:45:00,2021-01-22 07:15:00,0.46,2.69
228,2021-01-22 08:15:00,2021-01-22 09:30:00,1.3,3.39
229,2021-01-22 10:30:00,2021-01-22 10:30:00,0.12,0.1
230,2021-01-22 11:00:00,2021-01-22 11:30:00,0.69,4.43
231,2021-01-22 12:45:00,2021-01-22 13:30:00,0.63,3.5
232,2021-01-22 15:00:00,2021-01-22 15:45:00,0.8,4.11
233,2021-01-22 17:00:00,2021-01-22 19:00:00,2.19,5.74
234,2021-01-22 20:45:00,2021-01-22 22:00:00,1.38,6.3
235,2021-01-23 00:15:00,2021-01-23 00:45:00,0.64,4.08
236,2021-01-23 03:15:00,2021-01-23 03:45:00,0.52,2.88
237,2021-01-23 05:15:00,2021-01-23 06:00:00,0.64,3.36
238,2021-01-23 07:45:00,2021-01-23 08:15:00,0.45,2.73
239,2021-01-23 09:00:00,2021-01-23 10:45:00,1.84,5.94
240,2021-01-23 11:15:00,2021-01-23 11:30:00,0.41,2.58
241,2021-01-23 13:00:00,2021-01-23 13:45:00,0.69,3.56
242,2021-01-23 14:30:00,2021-01-23 15:00:00,0.54,3.07
243,2021-01-23 16:15:00,2021-01-23 17:15:00,1.25,5.2
244,2021-01-23 19:00:00,2021-01-23 19:30:00,0.42,2.39
245,2021-01-23 21:45:00,2021-01-23 23:00:00,1.46,6.72
246,2021-01-24 01:15:00,2021-01-24 01:45:00,0.38,2.21
247,2021-01-24 04:00:00,2021-01-24 04:30:00,0.49,2.92
248,2021-01-24 05:45:00,2021-01-24 06:15:00,0.4,2.41
249,2021-01-24 07:15:00,2021-01-24 11:30:00,4.46,15.84
250,2021-01-24 12:45:00,2021-01-24 14:00:00,1.34,5.59
251,2021-01-24 14:30:00,2021-01-24 15:30:00,1.11,3.14
252,2021-01-24 16:15:00,2021-01-24 16:45:00,0.46,2.66
253,2021-01-24 17:15:00,2021-01-24 17:30:00,0.31,1.75
254,2021-01-24 18:30:00,2021-01-24 18:45:00,0.46,2.44
255,2021-01-24 19:45:00,2021-01-24 21:00:00,1.08,4.09
256,2021-01-24 21:45:00,2021-01-24 22:15:00,0.63,4.12
257,2021-01-25 00:30:00,2021-01-25 01:15:00,0.79,4.78
258,2021-01-25 04:00:00,2021-01-25 04:30:00,0.6,3.52
259,2021-01-25 05:00:00,2021-01-25 06:15:00,1.31,3.78
260,2021-01-25 07:30:00,2021-01-25 08:00:00,0.41,2.51
261,2021-01-25 09:30:00,2021-01-25 09:45:00,0.47,2.33
262,2021-01-25 11:00:00,2021-01-25 11:45:00,1.0,3.36
