cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-05-07 01:15:00,2022-05-07 02:00:00,0.65,1.89
1,2022-05-07 02:45:00,2022-05-07 03:15:00,0.63,1.82
2,2022-05-07 04:15:00,2022-05-07 04:45:00,0.57,1.69
3,2022-05-07 05:30:00,2022-05-07 06:15:00,0.59,1.7
4,2022-05-07 07:00:00,2022-05-07 07:30:00,0.59,1.69
5,2022-05-07 08:30:00,2022-05-07 09:00:00,0.56,1.66
6,2022-05-07 09:45:00,2022-05-07 10:15:00,0.56,1.62
7,2022-05-07 11:15:00,2022-05-07 11:45:00,0.54,1.61
8,2022-05-08 10:15:00,2022-05-08 10:15:00,0.12,0.26
9,2022-05-09 00:30:00,2022-05-09 00:30:00,0.12,0.22
10,2022-05-09 12:00:00,2022-05-09 12:00:00,0.12,0.22
11,2022-09-17 22:30:00,2022-09-17 22:45:00,0.38,0.6
12,2022-09-17 23:30:00,2022-09-17 23:45:00,0.44,1.01
13,2022-09-18 00:30:00,2022-09-18 01:00:00,0.43,1.25
14,2022-09-18 01:45:00,2022-09-18 02:15:00,0.49,1.43
15,2022-09-18 03:00:00,2022-09-18 03:30:00,0.51,1.46
16,2022-09-18 04:15:00,2022-09-18 04:45:00,0.52,1.49
17,2022-09-18 05:30:00,2022-09-18 06:00:00,0.53,1.49
18,2022-09-18 07:00:00,2022-09-18 07:15:00,0.48,1.43
19,2022-09-18 08:15:00,2022-09-18 08:45:00,0.5,1.49
20,2022-09-18 09:30:00,2022-09-18 10:00:00,0.5,1.5
21,2022-09-18 10:45:00,2022-09-18 11:00:00,0.4,1.12
22,2022-09-18 11:45:00,2022-09-18 12:00:00,0.35,0.71
23,2022-09-18 13:15:00,2022-09-18 13:15:00,0.12,0.38
24,2022-09-18 14:00:00,2022-09-18 14:00:00,0.12,0.34
25,2022-09-18 15:00:00,2022-09-18 15:15:00,0.48,0.33
26,2022-09-18 15:45:00,2022-09-18 15:45:00,0.12,0.38
27,2022-09-18 16:30:00,2022-09-18 16:30:00,0.12,0.61
28,2022-09-18 17:30:00,2022-09-18 17:45:00,0.4,0.89
29,2022-09-18 18:30:00,2022-09-18 19:00:00,0.34,0.98
30,2022-09-18 19:45:00,2022-09-18 20:00:00,0.49,1.05
31,2022-09-18 20:45:00,2022-09-18 21:00:00,0.43,1.23
32,2022-09-18 21:45:00,2022-09-18 22:15:00,0.43,1.27
33,2022-09-18 23:00:00,2022-09-18 23:30:00,0.44,1.31
34,2022-09-19 00:15:00,2022-09-19 00:45:00,0.45,1.32
35,2022-09-19 01:30:00,2022-09-19 02:00:00,0.46,1.31
36,2022-09-19 03:00:00,2022-09-19 03:15:00,0.47,1.28
37,2022-09-19 04:15:00,2022-09-19 04:30:00,0.43,1.29
38,2022-09-19 05:30:00,2022-09-19 06:00:00,0.45,1.31
39,2022-09-19 06:45:00,2022-09-19 07:15:00,0.46,1.31
40,2022-09-19 08:00:00,2022-09-19 08:30:00,0.46,1.3
41,2022-09-19 09:30:00,2022-09-19 09:45:00,0.48,1.3
42,2022-09-19 10:45:00,2022-09-19 10:45:00,0.12,0.58
43,2022-09-19 12:00:00,2022-09-19 12:15:00,0.37,0.91
44,2022-09-19 13:30:00,2022-09-19 13:30:00,0.12,0.23
45,2022-09-19 17:15:00,2022-09-19 17:15:00,0.12,0.19
46,2022-09-19 18:45:00,2022-09-19 18:45:00,0.12,0.65
47,2022-09-19 20:00:00,2022-09-19 20:00:00,0.12,0.69
48,2022-09-19 21:15:00,2022-09-19 21:30:00,0.29,0.84
49,2022-09-19 22:15:00,2022-09-19 22:30:00,0.3,0.88
50,2022-09-19 23:30:00,2022-09-19 23:45:00,0.33,0.94
51,2022-09-20 00:45:00,2022-09-20 01:15:00,0.36,1.03
52,2022-09-20 02:15:00,2022-09-20 02:30:00,0.45,1.04
53,2022-09-20 03:30:00,2022-09-20 03:45:00,0.34,1.01
54,2022-09-20 05:00:00,2022-09-20 05:15:00,0.43,1.09
55,2022-09-20 06:15:00,2022-09-20 06:45:00,0.39,1.13
56,2022-09-20 07:45:00,2022-09-20 08:00:00,0.49,1.12
57,2022-09-20 09:00:00,2022-09-20 09:30:00,0.4,1.14
58,2022-09-20 10:30:00,2022-09-20 10:45:00,0.46,0.99
59,2022-09-20 12:00:00,2022-09-20 12:15:00,0.29,0.72
60,2022-09-20 13:30:00,2022-09-20 13:30:00,0.12,0.65
61,2022-09-20 14:45:00,2022-09-20 15:00:00,0.37,0.72
62,2022-09-20 16:15:00,2022-09-20 16:15:00,0.12,0.68
63,2022-09-20 18:45:00,2022-09-20 19:15:00,0.64,1.85
64,2022-09-20 20:15:00,2022-09-20 20:30:00,0.45,1.26
65,2022-09-20 21:30:00,2022-09-20 21:45:00,0.49,1.29
66,2022-09-20 22:45:00,2022-09-20 23:15:00,0.41,1.21
67,2022-09-21 00:00:00,2022-09-21 00:30:00,0.43,1.22
68,2022-09-21 01:30:00,2022-09-21 01:45:00,0.49,1.21
69,2022-09-21 02:45:00,2022-09-21 03:15:00,0.4,1.19
70,2022-09-21 04:00:00,2022-09-21 04:30:00,0.42,1.22
71,2022-09-21 05:30:00,2022-09-21 05:45:00,0.43,1.2
72,2022-09-21 06:45:00,2022-09-21 07:00:00,0.42,1.21
73,2022-09-21 08:00:00,2022-09-21 08:30:00,0.43,1.24
74,2022-09-21 09:30:00,2022-09-21 09:45:00,0.44,1.23
75,2022-09-21 10:45:00,2022-09-21 10:45:00,0.12,0.51
76,2022-09-21 12:00:00,2022-09-21 12:00:00,0.12,0.55
