cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-08-06 21:00:00,2022-08-06 21:15:00,0.34,1.14
1,2022-08-07 09:00:00,2022-08-07 09:15:00,0.43,1.16
2,2022-08-07 18:45:00,2022-08-07 18:45:00,0.12,1.07
3,2022-08-08 00:30:00,2022-08-08 00:45:00,0.32,1.27
4,2022-08-08 03:30:00,2022-08-08 03:45:00,0.39,2.2
5,2022-08-16 07:45:00,2022-08-16 08:00:00,0.28,1.06
6,2022-08-18 12:45:00,2022-08-18 13:00:00,0.45,0.84
7,2022-08-18 20:15:00,2022-08-18 20:30:00,0.45,1.32
8,2022-08-19 00:30:00,2022-08-19 00:45:00,0.32,1.26
9,2022-08-19 06:45:00,2022-08-19 07:00:00,0.38,1.17
10,2022-08-19 12:30:00,2022-08-19 12:45:00,0.38,1.31
11,2022-08-19 18:00:00,2022-08-19 18:15:00,0.3,1.47
12,2022-08-20 00:30:00,2022-08-20 00:45:00,0.41,1.6
13,2022-08-20 02:30:00,2022-08-20 03:00:00,0.32,2.25
14,2022-08-20 09:45:00,2022-08-20 10:00:00,0.43,1.27
15,2022-08-20 17:15:00,2022-08-20 17:30:00,0.37,1.08
16,2022-08-21 00:30:00,2022-08-21 00:45:00,0.4,1.52
17,2022-08-21 02:00:00,2022-08-21 02:30:00,0.33,2.25
18,2022-08-21 09:15:00,2022-08-21 09:30:00,0.43,1.04
19,2022-08-22 00:30:00,2022-08-22 00:30:00,0.12,0.95
20,2022-08-22 05:15:00,2022-08-22 05:30:00,0.45,2.02
21,2022-08-25 08:15:00,2022-08-25 08:30:00,0.46,1.13
22,2022-08-28 06:15:00,2022-08-28 06:30:00,0.3,1.12
23,2022-08-29 04:30:00,2022-08-29 05:00:00,0.52,3.04
24,2022-08-31 14:45:00,2022-08-31 15:00:00,0.4,1.0
25,2022-08-31 20:00:00,2022-08-31 20:15:00,0.34,1.43
26,2022-09-01 00:30:00,2022-09-01 00:45:00,0.37,1.45
27,2022-09-01 05:15:00,2022-09-01 05:30:00,0.49,2.43
28,2022-09-01 10:15:00,2022-09-01 10:30:00,0.42,1.39
29,2022-09-02 00:30:00,2022-09-02 00:45:00,0.34,1.31
30,2022-09-02 03:00:00,2022-09-02 03:15:00,0.34,2.11
31,2022-09-02 09:45:00,2022-09-02 10:00:00,0.48,0.91
32,2022-09-03 00:30:00,2022-09-03 00:45:00,0.31,1.23
33,2022-09-03 04:45:00,2022-09-03 05:00:00,0.38,2.21
34,2022-09-03 23:30:00,2022-09-03 23:45:00,0.39,1.37
35,2022-09-04 00:30:00,2022-09-04 00:45:00,0.34,1.32
36,2022-09-04 08:15:00,2022-09-04 08:30:00,0.42,1.23
37,2022-09-05 00:30:00,2022-09-05 00:30:00,0.12,0.53
38,2022-09-05 08:00:00,2022-09-05 08:15:00,0.35,1.08
