cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-12-24 06:45:00,2021-12-24 09:45:00,3.11,10.17
1,2021-12-24 11:00:00,2021-12-24 16:45:00,5.88,18.36
2,2021-12-24 18:15:00,2021-12-24 19:45:00,1.62,8.17
3,2021-12-24 20:15:00,2021-12-24 21:00:00,0.93,1.52
4,2021-12-24 21:45:00,2021-12-25 02:00:00,4.35,14.21
5,2021-12-25 02:30:00,2021-12-25 18:45:00,16.49,48.18
6,2021-12-25 19:15:00,2021-12-25 22:15:00,3.25,8.35
7,2021-12-25 22:45:00,2021-12-25 22:45:00,0.12,0.21
8,2021-12-25 23:15:00,2021-12-26 02:15:00,3.18,10.84
9,2021-12-26 02:45:00,2021-12-26 03:00:00,0.5,0.8
10,2021-12-26 03:30:00,2021-12-26 14:00:00,10.69,30.05
11,2021-12-26 14:30:00,2021-12-26 17:30:00,3.25,9.76
12,2021-12-26 18:00:00,2021-12-26 20:30:00,2.75,7.58
13,2021-12-26 21:00:00,2021-12-26 21:00:00,0.12,0.42
14,2021-12-26 21:45:00,2021-12-26 23:00:00,1.24,4.5
15,2021-12-26 23:30:00,2021-12-27 01:30:00,1.99,10.05
16,2021-12-27 02:00:00,2021-12-27 02:15:00,0.5,0.8
17,2021-12-27 02:45:00,2021-12-27 04:00:00,1.46,2.08
18,2021-12-27 04:30:00,2021-12-27 09:45:00,5.45,21.99
19,2021-12-27 11:00:00,2021-12-27 13:15:00,2.25,10.81
20,2021-12-27 13:45:00,2021-12-27 16:45:00,3.17,8.35
21,2021-12-27 18:15:00,2021-12-27 21:00:00,2.89,10.63
22,2021-12-27 21:45:00,2021-12-27 23:00:00,1.29,4.3
23,2021-12-27 23:30:00,2021-12-28 03:15:00,3.79,12.28
24,2021-12-28 03:45:00,2021-12-28 04:00:00,0.49,0.92
25,2021-12-28 04:30:00,2021-12-28 09:45:00,5.47,17.52
26,2021-12-28 11:00:00,2021-12-28 16:45:00,5.88,19.53
27,2021-12-28 18:15:00,2021-12-28 20:30:00,2.35,11.11
28,2021-12-28 21:00:00,2021-12-28 21:00:00,0.12,0.21
29,2021-12-28 22:15:00,2021-12-28 23:15:00,1.06,3.89
30,2021-12-28 23:45:00,2021-12-29 01:45:00,2.2,9.83
31,2021-12-29 02:15:00,2021-12-29 02:30:00,0.49,0.67
32,2021-12-29 03:00:00,2021-12-29 09:45:00,6.99,25.72
33,2021-12-29 11:00:00,2021-12-29 16:45:00,5.86,28.7
34,2021-12-29 18:15:00,2021-12-29 21:00:00,2.7,11.24
35,2021-12-29 23:45:00,2021-12-30 01:45:00,2.15,13.19
36,2021-12-30 02:15:00,2021-12-30 02:15:00,0.12,0.19
37,2021-12-30 03:00:00,2021-12-30 03:00:00,0.12,0.2
38,2021-12-30 03:30:00,2021-12-30 03:45:00,0.48,0.45
39,2021-12-30 04:15:00,2021-12-30 09:30:00,5.35,14.39
40,2021-12-30 11:00:00,2021-12-30 14:15:00,3.24,13.17
41,2021-12-30 14:45:00,2021-12-30 15:15:00,0.7,0.97
42,2021-12-30 15:45:00,2021-12-30 16:00:00,0.48,0.89
43,2021-12-30 16:30:00,2021-12-30 16:45:00,0.44,0.97
44,2021-12-30 18:15:00,2021-12-30 21:00:00,2.89,11.39
45,2021-12-30 22:45:00,2021-12-30 22:45:00,0.12,0.42
46,2021-12-30 23:15:00,2021-12-31 01:45:00,2.75,10.22
47,2021-12-31 02:15:00,2021-12-31 09:45:00,7.68,27.11
48,2021-12-31 11:00:00,2021-12-31 14:00:00,3.01,12.38
49,2021-12-31 14:30:00,2021-12-31 14:45:00,0.46,0.59
50,2021-12-31 15:15:00,2021-12-31 16:30:00,1.49,1.9
51,2021-12-31 18:15:00,2021-12-31 20:15:00,2.1,10.02
52,2021-12-31 20:45:00,2021-12-31 21:00:00,0.48,0.54
53,2021-12-31 22:30:00,2022-01-01 02:00:00,2.46,12.86
54,2022-01-01 02:30:00,2022-01-01 02:45:00,0.49,0.62
55,2022-01-01 03:15:00,2022-01-01 04:30:00,1.48,1.77
56,2022-01-01 05:00:00,2022-01-01 09:45:00,4.9,12.89
57,2022-01-01 10:15:00,2022-01-01 11:00:00,1.0,2.07
58,2022-01-01 11:30:00,2022-01-01 11:45:00,0.48,1.05
59,2022-01-01 12:15:00,2022-01-01 13:00:00,1.0,1.45
60,2022-01-01 13:30:00,2022-01-01 13:45:00,0.5,0.83
61,2022-01-01 14:15:00,2022-01-01 14:15:00,0.12,0.39
62,2022-01-01 14:45:00,2022-01-01 15:00:00,0.49,0.72
63,2022-01-01 15:30:00,2022-01-01 16:30:00,1.21,1.42
64,2022-01-01 17:00:00,2022-01-01 17:15:00,0.5,0.85
65,2022-01-01 17:45:00,2022-01-01 22:00:00,4.35,6.49
66,2022-01-01 23:15:00,2022-01-01 23:15:00,0.12,0.43
67,2022-01-01 23:45:00,2022-01-01 23:45:00,0.12,0.31
68,2022-01-02 00:15:00,2022-01-02 02:45:00,2.7,10.55
69,2022-01-02 03:15:00,2022-01-02 03:30:00,0.5,0.66
70,2022-01-02 04:00:00,2022-01-02 04:15:00,0.5,0.71
71,2022-01-02 04:45:00,2022-01-02 11:00:00,6.48,19.22
72,2022-01-02 11:30:00,2022-01-02 11:45:00,0.49,0.82
73,2022-01-02 12:15:00,2022-01-02 14:30:00,2.32,6.01
74,2022-01-02 15:00:00,2022-01-02 15:15:00,0.47,0.49
75,2022-01-02 15:45:00,2022-01-02 16:00:00,0.46,0.49
76,2022-01-02 16:30:00,2022-01-02 16:45:00,0.5,0.65
77,2022-01-02 17:15:00,2022-01-02 17:30:00,0.5,0.67
78,2022-01-02 18:00:00,2022-01-02 18:15:00,0.49,0.79
79,2022-01-02 18:45:00,2022-01-02 19:45:00,1.2,1.52
80,2022-01-02 20:15:00,2022-01-02 20:30:00,0.48,0.67
81,2022-01-02 21:00:00,2022-01-02 21:15:00,0.49,0.63
82,2022-01-02 21:45:00,2022-01-02 22:00:00,0.38,0.5
83,2022-01-03 00:45:00,2022-01-03 02:00:00,1.37,8.23
84,2022-01-03 02:30:00,2022-01-03 02:45:00,0.49,0.5
85,2022-01-03 03:15:00,2022-01-03 03:15:00,0.12,0.26
86,2022-01-03 03:45:00,2022-01-03 03:45:00,0.12,0.26
87,2022-01-03 04:15:00,2022-01-03 04:30:00,0.43,0.44
88,2022-01-03 05:00:00,2022-01-03 08:00:00,3.25,5.03
89,2022-01-03 08:30:00,2022-01-03 10:45:00,2.5,4.34
90,2022-01-03 12:00:00,2022-01-03 15:00:00,3.13,11.49
91,2022-01-03 15:30:00,2022-01-03 17:45:00,2.35,3.22
92,2022-01-03 19:15:00,2022-01-03 22:00:00,2.89,11.59
93,2022-01-03 23:45:00,2022-01-04 02:00:00,2.37,9.81
94,2022-01-04 02:30:00,2022-01-04 02:45:00,0.5,0.58
95,2022-01-04 03:15:00,2022-01-04 03:30:00,0.49,0.61
96,2022-01-04 04:00:00,2022-01-04 04:15:00,0.5,0.62
97,2022-01-04 04:45:00,2022-01-04 05:00:00,0.5,0.63
98,2022-01-04 05:30:00,2022-01-04 06:30:00,1.16,2.49
99,2022-01-04 07:00:00,2022-01-04 08:30:00,1.75,3.44
100,2022-01-04 09:00:00,2022-01-04 10:45:00,1.83,2.63
101,2022-01-04 12:00:00,2022-01-04 14:45:00,2.88,9.64
102,2022-01-04 15:15:00,2022-01-04 15:15:00,0.12,0.2
103,2022-01-04 15:45:00,2022-01-04 15:45:00,0.12,0.23
104,2022-01-04 16:15:00,2022-01-04 17:30:00,1.48,1.54
105,2022-01-04 19:15:00,2022-01-04 22:00:00,2.78,11.17
106,2022-01-04 23:45:00,2022-01-04 23:45:00,0.12,0.26
107,2022-01-05 00:15:00,2022-01-05 02:15:00,2.06,10.01
108,2022-01-05 02:45:00,2022-01-05 03:15:00,0.68,1.03
109,2022-01-05 03:45:00,2022-01-05 04:00:00,0.49,0.81
110,2022-01-05 04:30:00,2022-01-05 10:45:00,6.49,22.06
111,2022-01-05 12:00:00,2022-01-05 17:45:00,5.73,24.49
112,2022-01-05 19:15:00,2022-01-06 00:00:00,4.89,13.67
113,2022-01-06 00:30:00,2022-01-06 10:45:00,10.1,34.89
114,2022-01-06 12:00:00,2022-01-06 12:45:00,0.79,5.67
115,2022-01-06 13:15:00,2022-01-06 17:45:00,4.74,14.09
116,2022-01-06 19:15:00,2022-01-06 22:00:00,2.89,10.71
117,2022-01-06 22:30:00,2022-01-06 23:30:00,1.25,3.75
118,2022-01-07 00:00:00,2022-01-07 10:45:00,10.99,46.11
119,2022-01-07 12:00:00,2022-01-07 17:45:00,5.67,18.72
120,2022-01-07 19:15:00,2022-01-07 20:00:00,0.82,5.54
121,2022-01-07 20:30:00,2022-01-08 03:15:00,7.0,22.05
122,2022-01-08 03:45:00,2022-01-08 04:00:00,0.49,1.14
123,2022-01-08 04:30:00,2022-01-08 04:45:00,0.48,1.11
124,2022-01-08 05:15:00,2022-01-08 13:00:00,8.0,25.0
125,2022-01-08 13:30:00,2022-01-08 22:00:00,8.75,22.3
126,2022-01-08 22:30:00,2022-01-08 23:30:00,1.0,4.12
127,2022-01-09 00:00:00,2022-01-09 00:15:00,0.47,0.56
128,2022-01-09 00:45:00,2022-01-09 02:00:00,1.35,9.24
129,2022-01-09 02:30:00,2022-01-09 02:45:00,0.47,0.75
130,2022-01-09 03:15:00,2022-01-09 04:30:00,1.47,2.16
131,2022-01-09 05:00:00,2022-01-09 22:00:00,17.19,54.32
132,2022-01-09 22:30:00,2022-01-10 03:00:00,4.54,16.06
133,2022-01-10 03:30:00,2022-01-10 03:45:00,0.48,1.06
134,2022-01-10 04:15:00,2022-01-10 10:45:00,6.75,23.1
135,2022-01-10 12:00:00,2022-01-10 17:45:00,5.88,21.02
136,2022-01-10 19:15:00,2022-01-10 22:00:00,2.89,10.65
137,2022-01-10 22:30:00,2022-01-11 02:00:00,3.47,14.81
138,2022-01-11 02:30:00,2022-01-11 04:45:00,2.5,4.61
139,2022-01-11 05:15:00,2022-01-11 10:45:00,5.64,23.03
140,2022-01-11 12:00:00,2022-01-11 17:45:00,5.66,18.5
141,2022-01-11 19:15:00,2022-01-11 23:00:00,3.83,13.16
142,2022-01-11 23:30:00,2022-01-12 02:45:00,3.45,13.76
143,2022-01-12 03:15:00,2022-01-12 10:45:00,7.75,29.97
144,2022-01-12 12:00:00,2022-01-12 17:45:00,5.88,25.23
145,2022-01-12 19:15:00,2022-01-12 22:00:00,2.89,11.83
146,2022-01-12 22:30:00,2022-01-12 22:30:00,0.12,1.13
147,2022-01-12 23:00:00,2022-01-13 10:45:00,12.0,46.34
148,2022-01-13 12:00:00,2022-01-13 17:45:00,5.88,22.14
149,2022-01-13 19:15:00,2022-01-13 23:00:00,3.82,14.05
150,2022-01-13 23:30:00,2022-01-14 10:45:00,11.3,41.15
151,2022-01-14 12:00:00,2022-01-14 14:15:00,2.38,11.82
152,2022-01-14 14:45:00,2022-01-14 17:45:00,3.2,8.9
153,2022-01-14 19:15:00,2022-01-14 22:00:00,2.73,9.65
154,2022-01-14 22:45:00,2022-01-14 23:15:00,0.52,2.47
155,2022-01-14 23:45:00,2022-01-15 00:00:00,0.49,0.67
156,2022-01-15 00:30:00,2022-01-15 11:45:00,11.29,41.64
157,2022-01-15 12:15:00,2022-01-15 13:30:00,1.5,5.62
158,2022-01-15 14:00:00,2022-01-15 21:45:00,8.0,19.02
159,2022-01-15 22:15:00,2022-01-15 23:30:00,1.25,4.06
