cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:00:00,2021-01-19 23:00:00,0.12,0.97
1,2021-01-19 23:45:00,2021-01-20 00:45:00,1.12,3.95
2,2021-01-20 01:15:00,2021-01-20 01:45:00,0.58,4.05
3,2021-01-20 02:15:00,2021-01-20 09:45:00,7.68,33.85
4,2021-01-20 11:00:00,2021-01-20 11:30:00,0.6,4.1
5,2021-01-20 12:00:00,2021-01-20 13:15:00,1.42,4.62
6,2021-01-20 13:45:00,2021-01-20 14:15:00,0.41,2.82
7,2021-01-20 14:45:00,2021-01-20 15:15:00,0.57,3.89
8,2021-01-20 15:45:00,2021-01-20 16:45:00,0.9,4.74
9,2021-01-20 18:15:00,2021-01-20 23:00:00,4.76,29.55
10,2021-01-20 23:45:00,2021-01-21 00:15:00,0.48,2.72
11,2021-01-21 01:15:00,2021-01-21 01:30:00,0.29,1.52
12,2021-01-21 02:45:00,2021-01-21 03:00:00,0.32,0.75
13,2021-01-21 04:30:00,2021-01-21 05:30:00,1.11,5.54
14,2021-01-21 06:00:00,2021-01-21 08:30:00,2.61,11.56
15,2021-01-21 09:15:00,2021-01-21 09:45:00,0.42,2.74
16,2021-01-21 11:15:00,2021-01-21 11:30:00,0.45,2.51
17,2021-01-21 12:45:00,2021-01-21 13:00:00,0.44,0.77
18,2021-01-21 13:30:00,2021-01-21 14:00:00,0.54,2.74
19,2021-01-21 14:45:00,2021-01-21 15:15:00,0.55,3.07
20,2021-01-21 15:45:00,2021-01-21 16:15:00,0.66,3.37
21,2021-01-21 16:45:00,2021-01-21 16:45:00,0.12,1.01
22,2021-01-21 18:15:00,2021-01-21 18:45:00,0.52,3.6
23,2021-01-21 19:30:00,2021-01-21 20:00:00,0.46,2.51
24,2021-01-21 20:45:00,2021-01-21 23:45:00,2.95,15.11
25,2021-01-22 00:45:00,2021-01-22 03:00:00,2.23,8.13
26,2021-01-22 03:30:00,2021-01-22 04:00:00,0.39,2.68
27,2021-01-22 04:30:00,2021-01-22 04:30:00,0.12,0.8
28,2021-01-22 05:00:00,2021-01-22 07:30:00,2.53,12.46
29,2021-01-22 08:00:00,2021-01-22 10:00:00,1.97,7.96
30,2021-01-22 11:00:00,2021-01-22 11:30:00,0.45,3.07
31,2021-01-22 12:00:00,2021-01-22 12:30:00,0.52,2.78
32,2021-01-22 13:30:00,2021-01-22 14:00:00,0.53,2.58
33,2021-01-22 14:45:00,2021-01-22 15:30:00,0.73,3.65
