cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-09-19 07:30:00,2022-09-19 08:30:00,1.05,2.99
1,2022-09-19 09:00:00,2022-09-19 10:30:00,1.75,2.08
2,2022-09-19 12:00:00,2022-09-19 12:00:00,0.12,0.6
3,2022-09-19 12:45:00,2022-09-19 13:15:00,0.36,1.03
4,2022-09-19 15:30:00,2022-09-19 15:45:00,0.49,0.75
5,2022-09-19 18:45:00,2022-09-19 19:00:00,0.34,0.93
6,2022-09-19 19:45:00,2022-09-19 20:00:00,0.44,0.54
7,2022-09-19 20:45:00,2022-09-19 21:00:00,0.42,0.57
8,2022-09-19 21:45:00,2022-09-19 22:00:00,0.42,0.68
9,2022-09-20 05:45:00,2022-09-20 07:00:00,1.4,4.31
10,2022-09-20 07:30:00,2022-09-20 08:00:00,0.64,2.01
11,2022-09-20 08:45:00,2022-09-20 09:15:00,0.55,1.72
12,2022-09-20 18:45:00,2022-09-20 19:00:00,0.44,1.23
13,2022-09-20 20:30:00,2022-09-20 20:45:00,0.45,1.0
14,2022-09-20 21:45:00,2022-09-20 22:15:00,0.35,1.02
15,2022-09-21 05:45:00,2022-09-21 06:45:00,1.03,3.15
16,2022-09-21 07:15:00,2022-09-21 07:45:00,0.48,1.5
17,2022-09-21 08:30:00,2022-09-21 09:00:00,0.49,1.54
18,2022-09-21 10:00:00,2022-09-21 10:30:00,0.39,1.18
19,2022-09-21 18:45:00,2022-09-21 19:15:00,0.32,0.95
20,2022-09-21 20:15:00,2022-09-21 20:45:00,0.34,1.02
21,2022-09-21 22:00:00,2022-09-21 22:15:00,0.33,0.61
