cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-23 01:30:00,2021-01-23 01:45:00,0.38,1.4
1,2021-01-23 03:45:00,2021-01-23 05:30:00,1.82,9.57
2,2021-01-23 07:15:00,2021-01-23 10:15:00,2.91,14.45
3,2021-01-23 12:15:00,2021-01-23 14:15:00,2.02,10.7
4,2021-01-23 17:00:00,2021-01-23 19:15:00,2.21,11.76
5,2021-01-24 00:30:00,2021-01-24 02:30:00,2.04,10.7
6,2021-01-24 04:45:00,2021-01-24 06:45:00,2.14,11.56
7,2021-01-24 08:45:00,2021-01-24 10:45:00,2.09,11.27
8,2021-01-24 15:30:00,2021-01-24 18:30:00,3.11,16.7
9,2021-01-24 22:30:00,2021-01-25 01:00:00,2.68,14.96
10,2021-01-25 03:45:00,2021-01-25 04:45:00,0.97,4.87
11,2021-01-25 05:45:00,2021-01-25 08:15:00,2.38,12.77
12,2021-01-25 11:00:00,2021-01-25 13:45:00,2.91,15.32
13,2021-01-25 16:00:00,2021-01-25 16:45:00,0.91,4.58
14,2021-01-25 18:15:00,2021-01-25 20:15:00,2.09,11.1
15,2021-01-26 00:30:00,2021-01-26 02:30:00,2.15,11.28
16,2021-01-26 04:30:00,2021-01-26 05:00:00,0.64,3.27
17,2021-01-26 05:45:00,2021-01-26 08:45:00,2.87,15.33
18,2021-01-26 11:00:00,2021-01-26 13:15:00,2.25,12.1
19,2021-01-26 16:00:00,2021-01-26 16:45:00,0.91,4.4
20,2021-01-26 18:15:00,2021-01-26 20:30:00,2.4,12.5
21,2021-01-26 23:45:00,2021-01-27 02:30:00,2.75,14.25
22,2021-01-27 04:00:00,2021-01-27 07:15:00,3.22,17.42
23,2021-01-27 09:00:00,2021-01-27 09:45:00,1.0,5.06
24,2021-01-27 11:00:00,2021-01-27 13:15:00,2.4,12.95
25,2021-01-27 15:30:00,2021-01-27 16:45:00,1.47,7.86
26,2021-01-27 18:15:00,2021-01-27 20:00:00,1.77,9.6
27,2021-01-28 01:45:00,2021-01-28 03:30:00,1.76,9.36
28,2021-01-28 05:30:00,2021-01-28 07:45:00,2.21,11.9
29,2021-01-28 11:00:00,2021-01-28 12:45:00,1.81,9.87
30,2021-01-28 16:15:00,2021-01-28 16:45:00,0.54,2.75
31,2021-01-28 18:15:00,2021-01-28 19:30:00,1.44,7.97
32,2021-01-29 02:45:00,2021-01-29 04:45:00,1.99,10.71
33,2021-01-29 07:00:00,2021-01-29 08:30:00,1.47,8.11
34,2021-01-29 11:30:00,2021-01-29 13:00:00,1.58,8.65
35,2021-01-29 16:00:00,2021-01-29 16:45:00,0.96,5.02
36,2021-01-29 18:15:00,2021-01-29 19:30:00,1.32,7.39
37,2021-01-30 01:45:00,2021-01-30 03:30:00,1.71,9.18
38,2021-01-30 05:30:00,2021-01-30 07:30:00,2.11,11.57
39,2021-01-30 10:00:00,2021-01-30 11:45:00,1.76,9.71
40,2021-01-30 14:15:00,2021-01-30 15:45:00,1.61,8.8
41,2021-01-30 18:15:00,2021-01-30 20:00:00,1.8,9.52
42,2021-01-31 01:45:00,2021-01-31 03:45:00,1.84,9.82
43,2021-01-31 05:30:00,2021-01-31 07:30:00,1.89,10.37
44,2021-01-31 09:45:00,2021-01-31 11:15:00,1.61,8.78
45,2021-01-31 15:15:00,2021-01-31 17:30:00,2.12,11.56
46,2021-01-31 21:15:00,2021-01-31 23:15:00,2.07,12.06
47,2021-02-01 03:45:00,2021-02-01 06:00:00,2.28,12.23
48,2021-02-01 08:15:00,2021-02-01 09:45:00,1.68,8.88
49,2021-02-01 11:00:00,2021-02-01 11:45:00,0.88,5.1
50,2021-02-01 14:30:00,2021-02-01 16:00:00,1.48,8.09
51,2021-02-01 18:45:00,2021-02-01 20:00:00,1.4,7.63
52,2021-02-02 02:15:00,2021-02-02 04:00:00,1.65,8.95
53,2021-02-02 06:00:00,2021-02-02 07:45:00,1.88,10.26
54,2021-02-02 11:00:00,2021-02-02 12:30:00,1.67,9.26
55,2021-02-02 16:00:00,2021-02-02 16:45:00,0.94,4.84
56,2021-02-02 18:15:00,2021-02-02 19:30:00,1.34,7.48
57,2021-02-03 02:30:00,2021-02-03 04:15:00,1.96,10.57
58,2021-02-03 05:45:00,2021-02-03 07:15:00,1.4,7.86
59,2021-02-03 09:45:00,2021-02-03 09:45:00,0.12,0.31
60,2021-02-03 11:00:00,2021-02-03 12:45:00,1.71,9.43
61,2021-02-03 15:45:00,2021-02-03 16:45:00,1.18,6.32
62,2021-02-03 18:15:00,2021-02-03 19:15:00,1.03,5.97
63,2021-02-04 01:30:00,2021-02-04 03:00:00,1.59,8.58
64,2021-02-04 05:15:00,2021-02-04 07:45:00,2.36,12.69
65,2021-02-04 11:00:00,2021-02-04 12:30:00,1.66,9.25
66,2021-02-04 16:00:00,2021-02-04 16:45:00,0.84,4.18
67,2021-02-04 18:15:00,2021-02-04 19:45:00,1.6,8.73
68,2021-02-05 01:30:00,2021-02-05 01:45:00,0.41,1.39
69,2021-02-05 03:45:00,2021-02-05 05:30:00,1.84,9.57
70,2021-02-05 07:45:00,2021-02-05 08:00:00,0.43,1.92
71,2021-02-05 08:45:00,2021-02-05 09:45:00,1.09,5.63
72,2021-02-05 11:00:00,2021-02-05 12:00:00,1.02,5.95
73,2021-02-05 18:15:00,2021-02-05 20:00:00,1.72,9.16
74,2021-02-06 01:45:00,2021-02-06 04:00:00,2.12,11.17
75,2021-02-06 05:45:00,2021-02-06 07:45:00,1.96,10.58
76,2021-02-06 10:00:00,2021-02-06 11:45:00,1.71,9.38
77,2021-02-06 15:00:00,2021-02-06 16:15:00,1.43,7.86
78,2021-02-06 18:45:00,2021-02-06 19:45:00,1.21,6.77
79,2021-02-07 03:45:00,2021-02-07 06:00:00,2.27,11.99
80,2021-02-07 08:15:00,2021-02-07 10:15:00,1.89,10.43
81,2021-02-07 12:45:00,2021-02-07 14:15:00,1.56,8.52
82,2021-02-07 16:15:00,2021-02-07 18:15:00,2.04,11.17
83,2021-02-07 22:45:00,2021-02-08 01:00:00,2.31,13.35
84,2021-02-08 03:45:00,2021-02-08 04:30:00,0.83,4.08
85,2021-02-08 05:45:00,2021-02-08 08:00:00,2.38,12.61
86,2021-02-08 11:00:00,2021-02-08 12:45:00,1.88,10.02
87,2021-02-08 18:15:00,2021-02-08 20:15:00,1.98,10.26
88,2021-02-09 01:00:00,2021-02-09 03:00:00,2.04,10.61
89,2021-02-09 05:00:00,2021-02-09 07:15:00,2.26,12.24
90,2021-02-09 09:15:00,2021-02-09 09:45:00,0.59,2.92
91,2021-02-09 11:00:00,2021-02-09 13:00:00,2.1,11.31
92,2021-02-09 15:15:00,2021-02-09 16:45:00,1.53,8.13
93,2021-02-09 18:15:00,2021-02-09 19:45:00,1.7,9.22
94,2021-02-10 00:00:00,2021-02-10 02:00:00,1.99,10.54
95,2021-02-10 03:45:00,2021-02-10 04:15:00,0.57,2.9
96,2021-02-10 05:00:00,2021-02-10 07:00:00,2.01,11.03
97,2021-02-10 09:00:00,2021-02-10 09:45:00,0.84,4.24
98,2021-02-10 11:00:00,2021-02-10 12:30:00,1.64,9.11
99,2021-02-10 15:15:00,2021-02-10 16:45:00,1.57,8.43
100,2021-02-10 18:15:00,2021-02-10 19:45:00,1.66,9.03
101,2021-02-11 00:00:00,2021-02-11 02:15:00,2.36,12.32
102,2021-02-11 03:45:00,2021-02-11 07:00:00,3.19,17.3
103,2021-02-11 08:30:00,2021-02-11 09:45:00,1.35,6.84
104,2021-02-11 11:00:00,2021-02-11 14:00:00,3.12,16.79
105,2021-02-11 15:45:00,2021-02-11 16:45:00,1.09,5.45
106,2021-02-11 18:15:00,2021-02-11 20:30:00,2.37,12.74
107,2021-02-11 23:15:00,2021-02-12 01:45:00,2.52,13.4
108,2021-02-12 03:45:00,2021-02-12 09:00:00,5.27,28.54
109,2021-02-12 11:00:00,2021-02-12 13:45:00,2.71,14.89
110,2021-02-12 15:30:00,2021-02-12 16:45:00,1.48,7.77
111,2021-02-12 18:15:00,2021-02-12 20:15:00,2.05,11.09
112,2021-02-12 23:15:00,2021-02-13 01:30:00,2.44,12.96
113,2021-02-13 03:45:00,2021-02-13 07:45:00,4.03,21.92
114,2021-02-13 09:15:00,2021-02-13 12:00:00,2.83,15.49
115,2021-02-13 13:30:00,2021-02-13 16:15:00,2.74,14.92
116,2021-02-13 18:00:00,2021-02-13 20:30:00,2.69,14.44
117,2021-02-14 08:15:00,2021-02-14 14:00:00,5.82,29.4
118,2021-02-14 17:00:00,2021-02-14 20:00:00,3.13,16.33
119,2021-02-14 23:00:00,2021-02-15 02:15:00,3.2,17.44
120,2021-02-15 03:45:00,2021-02-15 05:15:00,1.61,8.26
121,2021-02-15 06:15:00,2021-02-15 09:15:00,3.13,16.85
122,2021-02-15 11:00:00,2021-02-15 12:45:00,1.69,9.28
123,2021-02-15 15:15:00,2021-02-15 16:45:00,1.71,9.48
124,2021-02-15 18:15:00,2021-02-15 19:45:00,1.48,8.39
125,2021-02-16 02:15:00,2021-02-16 02:30:00,0.41,1.38
126,2021-02-16 03:45:00,2021-02-16 06:15:00,2.42,13.13
127,2021-02-16 08:15:00,2021-02-16 09:45:00,1.52,8.41
128,2021-02-16 14:00:00,2021-02-16 15:15:00,1.29,7.06
129,2021-02-16 19:15:00,2021-02-16 20:30:00,1.32,7.12
130,2021-02-17 02:45:00,2021-02-17 04:30:00,1.82,9.88
131,2021-02-17 07:00:00,2021-02-17 08:30:00,1.57,8.67
132,2021-02-17 11:15:00,2021-02-17 12:45:00,1.47,8.01
133,2021-02-17 19:15:00,2021-02-17 20:45:00,1.43,7.6
134,2021-02-18 01:30:00,2021-02-18 03:45:00,2.17,11.23
135,2021-02-18 05:15:00,2021-02-18 07:30:00,2.12,11.44
136,2021-02-18 09:45:00,2021-02-18 09:45:00,0.12,0.49
137,2021-02-18 11:00:00,2021-02-18 12:15:00,1.24,6.85
138,2021-02-18 18:15:00,2021-02-18 20:00:00,1.8,9.57
139,2021-02-19 02:45:00,2021-02-19 03:00:00,0.32,1.36
140,2021-02-19 03:45:00,2021-02-19 05:15:00,1.3,7.05
141,2021-02-19 07:30:00,2021-02-19 08:00:00,0.37,1.78
142,2021-02-19 09:00:00,2021-02-19 09:45:00,0.83,3.27
143,2021-02-19 11:00:00,2021-02-19 11:45:00,0.89,5.18
144,2021-02-19 21:00:00,2021-02-19 22:45:00,1.64,8.63
145,2021-02-20 03:30:00,2021-02-20 06:30:00,3.01,15.76
146,2021-02-20 08:00:00,2021-02-20 09:45:00,1.8,9.98
147,2021-02-20 14:45:00,2021-02-20 15:15:00,0.69,4.1
148,2021-02-20 20:00:00,2021-02-20 21:00:00,0.82,4.69
149,2021-02-21 02:15:00,2021-02-21 05:00:00,2.84,14.94
150,2021-02-21 06:45:00,2021-02-21 09:00:00,2.26,12.18
151,2021-02-21 13:30:00,2021-02-21 14:15:00,0.8,4.54
152,2021-02-21 16:45:00,2021-02-21 17:15:00,0.41,2.59
153,2021-02-21 19:45:00,2021-02-21 20:15:00,0.6,3.59
154,2021-02-22 03:45:00,2021-02-22 06:30:00,2.87,16.32
155,2021-02-22 09:00:00,2021-02-22 09:30:00,0.49,2.46
156,2021-02-22 11:45:00,2021-02-22 12:45:00,1.1,6.15
157,2021-02-22 16:15:00,2021-02-22 16:45:00,0.46,2.74
158,2021-02-23 00:30:00,2021-02-23 02:15:00,1.77,9.28
159,2021-02-23 04:45:00,2021-02-23 07:00:00,2.16,11.74
160,2021-02-23 09:30:00,2021-02-23 09:45:00,0.48,2.56
161,2021-02-23 11:00:00,2021-02-23 11:45:00,0.8,4.76
162,2021-02-23 23:15:00,2021-02-24 00:45:00,1.55,8.27
