cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-02-18 00:00:00,2022-02-18 03:30:00,3.54,18.43
1,2022-02-18 04:15:00,2022-02-18 10:45:00,6.58,43.71
2,2022-02-18 12:00:00,2022-02-18 17:00:00,4.97,29.26
3,2022-02-18 18:45:00,2022-02-18 22:15:00,3.61,21.06
4,2022-02-18 23:15:00,2022-02-19 03:30:00,4.22,23.77
5,2022-02-19 04:00:00,2022-02-20 21:30:00,41.37,258.92
6,2022-02-20 22:30:00,2022-02-21 04:00:00,5.45,24.92
7,2022-02-21 04:45:00,2022-02-21 10:45:00,5.94,47.37
8,2022-02-21 12:00:00,2022-02-21 17:30:00,5.45,32.01
9,2022-02-21 18:45:00,2022-02-22 10:45:00,16.19,108.52
10,2022-02-22 12:00:00,2022-02-22 17:15:00,5.45,30.31
11,2022-02-22 18:45:00,2022-02-23 00:30:00,5.92,33.89
12,2022-02-23 01:15:00,2022-02-23 11:00:00,9.56,53.58
13,2022-02-23 12:00:00,2022-02-23 17:30:00,5.46,31.8
14,2022-02-23 18:45:00,2022-02-24 01:30:00,6.81,39.7
15,2022-02-24 02:15:00,2022-02-24 10:45:00,8.58,52.72
16,2022-02-24 12:00:00,2022-02-24 17:30:00,5.46,32.9
17,2022-02-24 18:45:00,2022-02-24 22:15:00,3.54,20.02
18,2022-02-24 23:15:00,2022-02-25 11:00:00,11.6,73.66
19,2022-02-25 12:00:00,2022-02-25 17:30:00,5.46,32.76
20,2022-02-25 18:45:00,2022-02-28 10:45:00,64.21,428.07
21,2022-02-28 12:00:00,2022-02-28 17:15:00,5.44,30.62
22,2022-02-28 18:45:00,2022-03-01 10:45:00,16.05,118.46
23,2022-03-01 12:00:00,2022-03-01 17:15:00,5.44,30.54
24,2022-03-01 18:45:00,2022-03-02 10:45:00,16.24,113.55
25,2022-03-02 12:00:00,2022-03-02 17:30:00,5.46,32.14
26,2022-03-02 18:45:00,2022-03-03 10:15:00,15.64,95.82
27,2022-03-03 10:45:00,2022-03-03 10:45:00,0.12,0.12
28,2022-03-03 12:00:00,2022-03-03 16:00:00,4.11,24.72
29,2022-03-03 18:45:00,2022-03-04 10:45:00,16.2,99.2
30,2022-03-04 12:00:00,2022-03-04 17:30:00,5.45,31.59
31,2022-03-04 18:45:00,2022-03-07 11:00:00,64.22,462.05
32,2022-03-07 12:00:00,2022-03-07 17:30:00,5.45,33.25
33,2022-03-07 18:45:00,2022-03-08 11:00:00,16.18,131.28
34,2022-03-08 12:00:00,2022-03-08 15:30:00,3.7,21.18
35,2022-03-08 16:00:00,2022-03-08 17:15:00,1.5,8.5
36,2022-03-08 18:45:00,2022-03-09 10:45:00,16.15,119.79
37,2022-03-09 12:00:00,2022-03-09 16:30:00,4.68,28.18
38,2022-03-09 18:45:00,2022-03-10 10:45:00,16.19,97.72
39,2022-03-10 12:00:00,2022-03-10 16:45:00,4.76,27.35
40,2022-03-10 18:45:00,2022-03-11 10:30:00,15.95,100.79
41,2022-03-11 12:00:00,2022-03-11 17:15:00,5.39,28.3
42,2022-03-11 18:45:00,2022-03-12 00:15:00,5.56,33.08
43,2022-03-12 01:00:00,2022-03-12 10:15:00,9.19,50.64
44,2022-03-12 11:30:00,2022-03-12 16:15:00,4.73,24.11
45,2022-03-12 17:45:00,2022-03-12 22:00:00,4.13,25.29
46,2022-03-12 22:30:00,2022-03-13 04:00:00,5.64,31.7
47,2022-03-13 04:45:00,2022-03-13 11:00:00,6.37,35.91
48,2022-03-13 12:45:00,2022-03-13 15:30:00,2.75,15.38
49,2022-03-13 17:15:00,2022-03-13 21:45:00,4.45,24.09
