cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-05-09 02:15:00,2022-05-09 02:30:00,0.49,1.2
1,2022-05-09 22:45:00,2022-05-09 23:00:00,0.43,1.07
2,2022-05-10 02:00:00,2022-05-10 02:30:00,0.5,1.26
3,2022-05-10 05:30:00,2022-05-10 06:00:00,0.61,1.51
4,2022-05-11 03:30:00,2022-05-11 03:45:00,0.44,1.13
5,2022-05-15 01:15:00,2022-05-15 01:30:00,0.49,1.18
6,2022-05-15 04:45:00,2022-05-15 05:15:00,0.47,1.18
7,2022-05-17 04:30:00,2022-05-17 04:45:00,0.5,1.09
8,2022-05-25 04:30:00,2022-05-25 04:45:00,0.46,1.12
9,2022-05-26 03:45:00,2022-05-26 04:15:00,0.49,1.2
10,2022-05-27 01:00:00,2022-05-27 01:30:00,0.45,1.11
11,2022-05-27 05:30:00,2022-05-27 06:00:00,0.47,1.18
12,2022-05-28 22:30:00,2022-05-28 23:00:00,0.48,1.16
13,2022-05-29 03:15:00,2022-05-29 03:45:00,0.6,1.46
14,2022-05-29 21:00:00,2022-05-29 21:30:00,0.5,1.21
15,2022-05-30 00:30:00,2022-05-30 01:00:00,0.52,1.25
16,2022-05-30 03:30:00,2022-05-30 04:15:00,0.62,1.5
17,2022-05-30 22:45:00,2022-05-30 23:15:00,0.58,1.41
18,2022-05-31 02:45:00,2022-05-31 03:15:00,0.51,1.24
19,2022-06-01 00:15:00,2022-06-01 00:30:00,0.45,1.07
20,2022-06-01 04:45:00,2022-06-01 05:15:00,0.49,1.2
21,2022-06-02 02:15:00,2022-06-02 02:45:00,0.44,1.11
22,2022-06-03 05:15:00,2022-06-03 05:45:00,0.42,1.06
23,2022-06-06 04:45:00,2022-06-06 05:15:00,0.43,1.08
24,2022-06-08 02:15:00,2022-06-08 02:45:00,0.46,1.15
25,2022-06-09 23:00:00,2022-06-09 23:15:00,0.46,1.12
26,2022-06-10 02:00:00,2022-06-10 02:30:00,0.57,1.4
27,2022-06-10 05:30:00,2022-06-10 06:00:00,0.53,1.29
28,2022-06-11 01:15:00,2022-06-11 01:30:00,0.48,1.19
29,2022-06-11 04:30:00,2022-06-11 05:00:00,0.53,1.32
30,2022-06-12 05:00:00,2022-06-12 05:15:00,0.45,1.11
31,2022-06-14 04:15:00,2022-06-14 04:45:00,0.51,1.24
32,2022-06-15 03:00:00,2022-06-15 03:15:00,0.49,1.1
