cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-04-05 23:00:00,2021-04-05 23:30:00,0.63,2.36
1,2021-04-06 00:45:00,2021-04-06 01:30:00,0.82,3.02
2,2021-04-06 02:30:00,2021-04-06 03:30:00,1.01,3.76
3,2021-04-06 04:00:00,2021-04-06 07:00:00,2.95,11.72
4,2021-04-06 09:00:00,2021-04-06 09:45:00,0.76,2.94
5,2021-04-06 11:45:00,2021-04-06 12:00:00,0.38,1.45
6,2021-04-06 13:00:00,2021-04-06 13:30:00,0.58,2.18
7,2021-04-06 14:00:00,2021-04-06 16:45:00,2.77,10.98
8,2021-04-06 18:30:00,2021-04-06 20:45:00,2.29,9.09
9,2021-04-06 22:45:00,2021-04-06 23:00:00,0.44,0.67
10,2021-04-06 23:30:00,2021-04-07 00:30:00,0.96,3.62
11,2021-04-07 01:30:00,2021-04-07 02:30:00,1.11,4.16
12,2021-04-07 03:15:00,2021-04-07 06:45:00,3.53,13.94
13,2021-04-07 08:45:00,2021-04-07 10:00:00,1.47,5.74
14,2021-04-07 11:45:00,2021-04-07 12:15:00,0.43,1.64
15,2021-04-07 13:15:00,2021-04-07 16:15:00,3.11,12.33
16,2021-04-07 18:15:00,2021-04-07 20:45:00,2.62,10.43
17,2021-04-07 22:45:00,2021-04-07 23:00:00,0.34,0.54
18,2021-04-07 23:30:00,2021-04-08 00:15:00,0.8,3.02
19,2021-04-08 01:15:00,2021-04-08 02:15:00,1.03,3.85
20,2021-04-08 03:15:00,2021-04-08 07:00:00,3.67,14.46
21,2021-04-08 08:45:00,2021-04-08 09:45:00,1.0,3.9
22,2021-04-08 11:45:00,2021-04-08 12:00:00,0.48,1.19
23,2021-04-08 12:45:00,2021-04-08 13:15:00,0.46,1.78
24,2021-04-08 13:45:00,2021-04-08 16:00:00,2.16,8.58
25,2021-04-08 18:15:00,2021-04-08 20:15:00,2.16,8.65
26,2021-04-08 22:45:00,2021-04-08 22:45:00,0.12,0.36
27,2021-04-08 23:15:00,2021-04-08 23:45:00,0.52,1.99
28,2021-04-09 00:30:00,2021-04-09 01:30:00,0.92,3.45
29,2021-04-09 02:45:00,2021-04-09 06:00:00,3.36,13.19
30,2021-04-09 08:00:00,2021-04-09 09:30:00,1.66,6.62
31,2021-04-09 13:45:00,2021-04-09 15:00:00,1.28,5.12
32,2021-04-09 18:00:00,2021-04-09 19:15:00,1.3,5.18
33,2021-04-09 22:15:00,2021-04-09 22:15:00,0.12,0.17
34,2021-04-09 23:00:00,2021-04-09 23:00:00,0.12,0.32
35,2021-04-09 23:45:00,2021-04-10 00:00:00,0.36,0.85
36,2021-04-10 01:00:00,2021-04-10 01:15:00,0.44,1.1
37,2021-04-10 02:30:00,2021-04-10 02:45:00,0.31,1.21
38,2021-04-10 03:45:00,2021-04-10 04:15:00,0.4,1.5
39,2021-04-10 04:45:00,2021-04-10 06:45:00,1.89,7.44
40,2021-04-10 09:15:00,2021-04-10 10:30:00,1.2,4.76
41,2021-04-10 13:30:00,2021-04-10 14:15:00,0.89,3.52
42,2021-04-10 17:15:00,2021-04-10 18:00:00,0.84,3.34
43,2021-04-10 20:30:00,2021-04-10 21:00:00,0.49,1.96
44,2021-04-11 01:15:00,2021-04-11 01:15:00,0.12,0.25
45,2021-04-11 02:15:00,2021-04-11 02:30:00,0.3,0.79
46,2021-04-11 03:30:00,2021-04-11 03:45:00,0.39,1.03
47,2021-04-11 04:45:00,2021-04-11 06:45:00,1.83,7.15
48,2021-04-11 09:30:00,2021-04-11 10:15:00,0.89,3.52
49,2021-04-11 13:15:00,2021-04-11 14:00:00,0.74,2.86
50,2021-04-11 16:45:00,2021-04-11 17:30:00,0.74,2.89
51,2021-04-11 19:45:00,2021-04-11 20:30:00,0.89,3.58
52,2021-04-12 01:00:00,2021-04-12 01:00:00,0.12,0.29
53,2021-04-12 01:30:00,2021-04-12 01:45:00,0.39,0.9
54,2021-04-12 02:45:00,2021-04-12 03:00:00,0.39,1.48
55,2021-04-12 03:30:00,2021-04-12 05:45:00,2.28,8.93
56,2021-04-12 08:00:00,2021-04-12 09:00:00,1.22,4.74
57,2021-04-12 11:30:00,2021-04-12 11:30:00,0.12,0.3
58,2021-04-12 12:00:00,2021-04-12 12:15:00,0.31,0.76
59,2021-04-12 13:00:00,2021-04-12 15:15:00,2.2,8.62
60,2021-04-12 17:30:00,2021-04-12 19:30:00,2.03,8.05
61,2021-04-12 21:45:00,2021-04-12 22:00:00,0.5,0.42
62,2021-04-12 22:30:00,2021-04-12 22:45:00,0.46,1.73
63,2021-04-12 23:45:00,2021-04-13 00:30:00,0.85,3.18
64,2021-04-13 01:45:00,2021-04-13 02:30:00,0.95,3.56
65,2021-04-13 03:00:00,2021-04-13 03:30:00,0.49,1.86
66,2021-04-13 04:00:00,2021-04-13 07:00:00,2.94,11.68
67,2021-04-13 09:00:00,2021-04-13 09:45:00,0.8,3.07
68,2021-04-13 11:30:00,2021-04-13 11:45:00,0.36,0.98
69,2021-04-13 12:45:00,2021-04-13 13:00:00,0.5,1.63
70,2021-04-13 13:30:00,2021-04-13 15:45:00,2.19,8.67
71,2021-04-13 17:45:00,2021-04-13 20:15:00,2.58,10.31
72,2021-04-13 22:30:00,2021-04-13 22:45:00,0.34,0.5
73,2021-04-13 23:15:00,2021-04-14 00:00:00,0.8,3.0
74,2021-04-14 01:00:00,2021-04-14 02:00:00,0.96,3.59
75,2021-04-14 03:00:00,2021-04-14 06:45:00,3.75,14.68
76,2021-04-14 08:30:00,2021-04-14 10:00:00,1.56,6.15
77,2021-04-14 12:15:00,2021-04-14 12:15:00,0.12,0.42
78,2021-04-14 13:00:00,2021-04-14 13:15:00,0.39,1.14
79,2021-04-14 13:45:00,2021-04-14 16:00:00,2.4,9.48
80,2021-04-14 18:15:00,2021-04-14 20:45:00,2.51,10.04
81,2021-04-14 23:00:00,2021-04-14 23:00:00,0.12,0.43
82,2021-04-14 23:30:00,2021-04-15 00:00:00,0.55,2.1
83,2021-04-15 01:00:00,2021-04-15 01:45:00,1.0,3.74
84,2021-04-15 03:00:00,2021-04-15 06:30:00,3.58,14.05
85,2021-04-15 08:30:00,2021-04-15 09:45:00,1.42,5.54
86,2021-04-15 12:00:00,2021-04-15 12:00:00,0.12,0.42
87,2021-04-15 12:45:00,2021-04-15 13:00:00,0.33,1.26
88,2021-04-15 13:30:00,2021-04-15 16:00:00,2.53,9.97
89,2021-04-15 18:15:00,2021-04-15 20:30:00,2.41,9.63
90,2021-04-15 22:45:00,2021-04-15 22:45:00,0.12,0.47
91,2021-04-15 23:15:00,2021-04-16 00:00:00,0.73,2.78
92,2021-04-16 01:00:00,2021-04-16 02:00:00,1.02,3.81
93,2021-04-16 03:15:00,2021-04-16 06:45:00,3.63,14.24
94,2021-04-16 08:45:00,2021-04-16 09:45:00,1.11,4.34
95,2021-04-16 11:45:00,2021-04-16 11:45:00,0.12,0.4
96,2021-04-16 12:30:00,2021-04-16 12:45:00,0.38,1.43
97,2021-04-16 13:30:00,2021-04-16 16:00:00,2.33,9.18
98,2021-04-16 18:00:00,2021-04-16 20:30:00,2.37,9.45
99,2021-04-16 22:45:00,2021-04-16 22:45:00,0.12,0.44
100,2021-04-16 23:15:00,2021-04-16 23:45:00,0.56,2.13
101,2021-04-17 00:45:00,2021-04-17 01:45:00,0.97,3.62
102,2021-04-17 02:45:00,2021-04-17 03:45:00,0.95,3.55
103,2021-04-17 04:30:00,2021-04-17 07:30:00,3.04,11.95
104,2021-04-17 09:45:00,2021-04-17 11:30:00,1.78,7.1
105,2021-04-17 14:00:00,2021-04-17 15:30:00,1.6,6.37
106,2021-04-17 17:45:00,2021-04-17 19:45:00,1.91,7.64
107,2021-04-17 22:00:00,2021-04-17 22:15:00,0.44,0.34
108,2021-04-17 22:45:00,2021-04-17 22:45:00,0.12,0.54
109,2021-04-17 23:15:00,2021-04-17 23:45:00,0.44,1.68
110,2021-04-18 00:45:00,2021-04-18 01:15:00,0.52,1.94
111,2021-04-18 02:15:00,2021-04-18 02:45:00,0.62,2.3
112,2021-04-18 04:00:00,2021-04-18 06:45:00,2.83,11.09
113,2021-04-18 09:00:00,2021-04-18 10:45:00,1.76,6.99
114,2021-04-18 13:00:00,2021-04-18 14:30:00,1.51,5.98
115,2021-04-18 17:00:00,2021-04-18 18:45:00,1.8,7.14
116,2021-04-18 20:45:00,2021-04-18 20:45:00,0.12,0.32
117,2021-04-18 21:30:00,2021-04-18 21:45:00,0.38,0.5
118,2021-04-18 22:15:00,2021-04-18 22:30:00,0.44,1.4
119,2021-04-18 23:30:00,2021-04-19 00:00:00,0.58,2.18
120,2021-04-19 01:15:00,2021-04-19 02:00:00,0.79,2.92
121,2021-04-19 03:15:00,2021-04-19 06:15:00,3.19,12.45
122,2021-04-19 08:30:00,2021-04-19 09:00:00,0.65,2.48
123,2021-04-19 11:30:00,2021-04-19 11:30:00,0.12,0.3
124,2021-04-19 12:15:00,2021-04-19 12:30:00,0.31,0.78
125,2021-04-19 13:15:00,2021-04-19 15:15:00,1.81,7.1
126,2021-04-19 17:30:00,2021-04-19 19:00:00,1.55,6.14
127,2021-04-19 21:45:00,2021-04-19 21:45:00,0.12,0.28
128,2021-04-19 22:15:00,2021-04-19 22:30:00,0.3,0.67
129,2021-04-19 23:00:00,2021-04-19 23:30:00,0.53,1.99
130,2021-04-20 00:30:00,2021-04-20 01:00:00,0.55,2.07
131,2021-04-20 02:15:00,2021-04-20 02:45:00,0.58,2.16
132,2021-04-20 03:15:00,2021-04-20 03:30:00,0.39,1.26
133,2021-04-20 04:00:00,2021-04-20 06:30:00,2.4,9.41
134,2021-04-20 08:45:00,2021-04-20 09:30:00,0.91,3.53
135,2021-04-20 13:45:00,2021-04-20 15:15:00,1.43,5.6
136,2021-04-20 18:00:00,2021-04-20 19:15:00,1.34,5.3
137,2021-04-20 22:15:00,2021-04-20 22:15:00,0.12,0.19
138,2021-04-20 22:45:00,2021-04-20 22:45:00,0.12,0.33
139,2021-04-20 23:30:00,2021-04-20 23:45:00,0.34,1.14
140,2021-04-21 00:30:00,2021-04-21 01:00:00,0.42,1.6
141,2021-04-21 02:00:00,2021-04-21 02:30:00,0.48,1.81
142,2021-04-21 03:30:00,2021-04-21 06:00:00,2.58,10.01
143,2021-04-21 08:15:00,2021-04-21 09:45:00,1.4,5.56
144,2021-04-21 13:30:00,2021-04-21 14:30:00,1.02,4.05
145,2021-04-21 17:45:00,2021-04-21 18:30:00,0.89,3.51
146,2021-04-21 20:45:00,2021-04-21 20:45:00,0.12,0.59
147,2021-04-21 23:15:00,2021-04-21 23:15:00,0.12,0.26
148,2021-04-22 00:00:00,2021-04-22 00:00:00,0.12,0.7
149,2021-04-22 01:00:00,2021-04-22 01:15:00,0.28,0.96
150,2021-04-22 02:30:00,2021-04-22 02:30:00,0.12,0.95
151,2021-04-22 03:30:00,2021-04-22 05:30:00,2.03,7.89
152,2021-04-22 08:15:00,2021-04-22 09:15:00,1.13,4.45
153,2021-04-22 13:45:00,2021-04-22 14:45:00,1.02,4.02
154,2021-04-22 17:45:00,2021-04-22 18:45:00,0.92,3.65
155,2021-04-22 23:30:00,2021-04-22 23:45:00,0.45,0.34
156,2021-04-23 00:15:00,2021-04-23 00:30:00,0.43,0.96
157,2021-04-23 01:30:00,2021-04-23 01:45:00,0.38,1.24
158,2021-04-23 02:45:00,2021-04-23 03:00:00,0.4,1.4
159,2021-04-23 03:45:00,2021-04-23 05:45:00,2.03,7.9
160,2021-04-23 08:00:00,2021-04-23 09:15:00,1.25,4.95
