cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-25 23:00:00,2021-01-25 23:45:00,0.81,4.12
1,2021-01-26 00:30:00,2021-01-26 06:00:00,5.62,35.47
2,2021-01-26 07:00:00,2021-01-26 09:30:00,2.55,12.32
3,2021-01-26 11:00:00,2021-01-26 12:15:00,1.37,6.76
4,2021-01-26 13:15:00,2021-01-26 14:00:00,0.74,3.65
5,2021-01-26 15:00:00,2021-01-26 16:15:00,1.2,5.93
6,2021-01-26 18:15:00,2021-01-26 20:15:00,2.13,10.22
7,2021-01-26 21:15:00,2021-01-27 06:45:00,9.53,55.52
8,2021-01-27 07:45:00,2021-01-27 09:00:00,1.35,6.67
9,2021-01-27 11:00:00,2021-01-27 13:00:00,2.02,9.47
10,2021-01-27 13:45:00,2021-01-27 15:15:00,1.57,7.5
11,2021-01-27 16:15:00,2021-01-27 16:45:00,0.65,3.19
12,2021-01-27 18:15:00,2021-01-27 19:00:00,0.76,3.86
13,2021-01-27 20:00:00,2021-01-27 20:30:00,0.61,3.08
14,2021-01-27 21:45:00,2021-01-27 22:15:00,0.61,3.12
15,2021-01-27 23:30:00,2021-01-28 03:00:00,3.65,21.83
16,2021-01-28 03:30:00,2021-01-28 04:45:00,1.28,7.28
17,2021-01-28 05:45:00,2021-01-28 06:30:00,0.69,3.47
18,2021-01-28 07:15:00,2021-01-28 08:45:00,1.35,6.36
19,2021-01-28 09:30:00,2021-01-28 09:45:00,0.34,1.7
20,2021-01-28 11:00:00,2021-01-28 11:30:00,0.71,3.65
21,2021-01-28 12:30:00,2021-01-28 13:15:00,0.68,3.49
22,2021-01-28 14:15:00,2021-01-28 15:00:00,0.76,3.96
23,2021-01-28 15:45:00,2021-01-28 16:15:00,0.65,3.38
24,2021-01-28 18:15:00,2021-01-28 18:45:00,0.64,3.3
25,2021-01-28 20:00:00,2021-01-28 20:30:00,0.46,2.37
26,2021-01-28 21:45:00,2021-01-28 22:15:00,0.51,2.64
27,2021-01-28 23:30:00,2021-01-29 00:00:00,0.53,2.72
28,2021-01-29 01:00:00,2021-01-29 03:15:00,2.34,16.15
29,2021-01-29 03:45:00,2021-01-29 03:45:00,0.12,0.44
30,2021-01-29 04:15:00,2021-01-29 05:00:00,0.63,3.76
31,2021-01-29 06:00:00,2021-01-29 06:45:00,0.65,3.34
32,2021-01-29 07:45:00,2021-01-29 08:15:00,0.52,2.67
33,2021-01-29 09:15:00,2021-01-29 09:45:00,0.48,2.43
34,2021-01-29 11:00:00,2021-01-29 11:30:00,0.58,3.0
35,2021-01-29 12:30:00,2021-01-29 13:00:00,0.58,2.92
36,2021-01-29 14:15:00,2021-01-29 15:00:00,0.6,3.08
37,2021-01-29 16:15:00,2021-01-29 16:45:00,0.5,2.61
38,2021-01-29 18:15:00,2021-01-29 18:45:00,0.58,2.96
39,2021-01-29 20:00:00,2021-01-29 20:15:00,0.49,2.36
40,2021-01-29 21:30:00,2021-01-29 22:00:00,0.48,2.38
41,2021-01-29 23:15:00,2021-01-29 23:45:00,0.51,2.62
42,2021-01-30 00:45:00,2021-01-30 03:00:00,2.22,16.5
43,2021-01-30 03:30:00,2021-01-30 03:30:00,0.12,0.42
44,2021-01-30 04:00:00,2021-01-30 04:30:00,0.48,3.15
45,2021-01-30 05:00:00,2021-01-30 06:15:00,1.46,5.63
46,2021-01-30 07:30:00,2021-01-30 08:15:00,0.77,3.9
47,2021-01-30 09:30:00,2021-01-30 10:15:00,0.93,4.8
48,2021-01-30 11:15:00,2021-01-30 11:45:00,0.61,3.08
49,2021-01-30 12:45:00,2021-01-30 13:30:00,0.73,3.62
50,2021-01-30 14:15:00,2021-01-30 15:30:00,1.16,4.98
51,2021-01-30 16:30:00,2021-01-30 17:00:00,0.55,2.83
52,2021-01-30 18:00:00,2021-01-30 18:30:00,0.52,2.59
53,2021-01-30 19:45:00,2021-01-30 20:15:00,0.55,2.74
54,2021-01-30 21:30:00,2021-01-30 22:00:00,0.55,2.79
55,2021-01-30 23:00:00,2021-01-31 00:30:00,1.37,6.43
56,2021-01-31 01:00:00,2021-01-31 02:15:00,1.45,11.39
57,2021-01-31 03:00:00,2021-01-31 03:00:00,0.12,0.43
58,2021-01-31 03:30:00,2021-01-31 04:00:00,0.57,3.79
59,2021-01-31 04:30:00,2021-01-31 04:30:00,0.12,0.41
60,2021-01-31 05:15:00,2021-01-31 05:45:00,0.67,3.39
61,2021-01-31 07:00:00,2021-01-31 08:45:00,1.79,8.64
62,2021-01-31 09:45:00,2021-01-31 10:30:00,0.76,3.89
63,2021-01-31 11:30:00,2021-01-31 12:15:00,0.85,3.9
64,2021-01-31 13:45:00,2021-01-31 14:30:00,0.76,3.73
65,2021-01-31 15:30:00,2021-01-31 16:15:00,0.64,3.28
66,2021-01-31 17:15:00,2021-01-31 17:45:00,0.66,3.36
67,2021-01-31 18:45:00,2021-01-31 19:30:00,0.7,3.53
68,2021-01-31 20:30:00,2021-01-31 21:15:00,0.62,3.14
69,2021-01-31 22:15:00,2021-01-31 23:45:00,1.51,6.92
70,2021-02-01 00:45:00,2021-02-01 03:45:00,2.95,19.84
71,2021-02-01 04:15:00,2021-02-01 04:15:00,0.12,0.42
72,2021-02-01 04:45:00,2021-02-01 05:45:00,0.94,4.98
73,2021-02-01 06:45:00,2021-02-01 07:30:00,0.77,3.96
