cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-01-03 02:30:00,2022-01-04 08:45:00,30.32,64.68
1,2022-01-04 09:15:00,2022-01-04 12:45:00,3.45,7.49
2,2022-01-04 13:30:00,2022-01-04 14:30:00,1.14,2.59
3,2022-01-04 15:15:00,2022-01-04 16:45:00,1.67,4.07
4,2022-01-04 17:30:00,2022-01-04 19:30:00,2.02,4.9
5,2022-01-04 20:15:00,2022-01-04 21:30:00,1.29,3.36
6,2022-01-04 22:30:00,2022-01-05 00:30:00,2.07,5.21
7,2022-01-05 01:15:00,2022-02-17 15:30:00,1046.24,3385.35
8,2022-02-17 16:15:00,2022-02-17 23:45:00,7.44,17.35
9,2022-02-18 00:15:00,2022-02-18 11:30:00,11.27,24.97
10,2022-02-18 12:00:00,2022-02-18 15:00:00,3.0,7.01
11,2022-02-18 16:00:00,2022-02-18 18:00:00,2.2,5.02
12,2022-02-18 19:00:00,2022-02-18 20:30:00,1.63,3.95
13,2022-02-18 21:15:00,2022-02-24 12:15:00,135.06,351.09
14,2022-02-24 13:00:00,2022-02-24 22:00:00,9.14,20.82
15,2022-02-24 22:45:00,2022-02-28 04:15:00,77.67,220.25
16,2022-02-28 04:45:00,2022-03-03 22:15:00,89.61,270.25
17,2022-03-03 23:00:00,2022-03-05 07:45:00,32.73,88.98
18,2022-03-05 08:30:00,2022-03-06 06:45:00,22.29,63.73
19,2022-03-06 19:15:00,2022-03-09 00:30:00,53.36,189.35
20,2022-03-09 01:00:00,2022-03-13 12:00:00,107.02,280.32
21,2022-03-13 12:30:00,2022-03-13 14:00:00,1.56,3.44
22,2022-03-13 14:45:00,2022-03-13 15:45:00,1.09,2.41
23,2022-03-13 16:15:00,2022-03-13 17:15:00,0.95,2.25
24,2022-03-13 18:00:00,2022-03-13 19:15:00,1.49,3.36
25,2022-03-13 20:00:00,2022-03-13 22:00:00,2.16,5.23
26,2022-03-13 22:45:00,2022-03-13 23:45:00,1.25,3.08
27,2022-03-14 00:30:00,2022-03-14 02:45:00,2.15,5.28
28,2022-03-14 03:15:00,2022-03-14 10:00:00,6.71,16.1
29,2022-03-14 10:30:00,2022-03-14 12:30:00,1.94,4.41
30,2022-03-14 13:00:00,2022-03-14 14:00:00,1.02,2.33
31,2022-03-14 14:45:00,2022-03-14 15:30:00,0.81,1.84
32,2022-03-14 16:15:00,2022-03-14 17:15:00,0.98,2.43
33,2022-03-14 18:00:00,2022-03-14 19:00:00,0.95,2.28
34,2022-03-14 20:00:00,2022-03-14 21:00:00,1.15,3.2
35,2022-03-14 22:00:00,2022-03-14 23:15:00,1.24,3.26
36,2022-03-15 00:00:00,2022-03-15 01:30:00,1.34,3.49
37,2022-03-15 02:15:00,2022-03-15 03:30:00,1.38,3.7
38,2022-03-15 04:30:00,2022-03-15 13:15:00,8.93,21.16
39,2022-03-15 14:00:00,2022-03-15 16:30:00,2.67,6.48
40,2022-03-15 17:15:00,2022-03-15 20:00:00,2.69,6.65
41,2022-03-15 20:30:00,2022-03-15 22:30:00,2.02,4.89
42,2022-03-15 23:15:00,2022-03-16 01:15:00,1.9,4.74
43,2022-03-16 02:00:00,2022-03-16 10:45:00,8.8,20.72
44,2022-03-16 11:15:00,2022-03-16 13:15:00,1.91,4.32
45,2022-03-16 13:45:00,2022-03-16 15:15:00,1.59,3.62
46,2022-03-16 16:00:00,2022-03-16 17:30:00,1.52,3.46
47,2022-03-16 18:00:00,2022-03-16 20:00:00,1.93,4.57
48,2022-03-16 20:30:00,2022-03-16 22:00:00,1.59,3.99
49,2022-03-16 22:45:00,2022-03-17 11:00:00,12.34,28.59
