cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 09:45:00,10.0,27.86
1,2021-01-01 11:00:00,2021-01-01 13:00:00,2.09,8.82
2,2021-01-01 13:30:00,2021-01-01 16:45:00,3.42,8.35
3,2021-01-01 18:15:00,2021-01-01 22:00:00,3.84,22.08
4,2021-01-01 22:30:00,2021-01-02 18:15:00,19.88,55.14
5,2021-01-02 18:45:00,2021-01-03 09:15:00,14.61,49.12
6,2021-01-03 09:45:00,2021-01-04 06:30:00,20.77,71.65
7,2021-01-04 07:00:00,2021-01-04 09:45:00,2.96,8.07
8,2021-01-04 11:00:00,2021-01-04 16:45:00,5.89,19.66
9,2021-01-04 18:15:00,2021-01-04 20:45:00,2.49,13.8
10,2021-01-04 21:15:00,2021-01-05 09:45:00,12.72,45.36
11,2021-01-05 11:00:00,2021-01-05 13:15:00,2.22,11.55
12,2021-01-05 13:45:00,2021-01-05 16:45:00,3.22,8.52
13,2021-01-05 18:15:00,2021-01-05 20:45:00,2.5,12.44
14,2021-01-05 21:15:00,2021-01-06 09:45:00,12.74,45.03
15,2021-01-06 11:00:00,2021-01-06 16:45:00,5.9,19.87
16,2021-01-06 18:15:00,2021-01-07 09:45:00,15.52,60.19
17,2021-01-07 11:00:00,2021-01-07 16:45:00,5.83,12.59
18,2021-01-07 18:15:00,2021-01-08 09:45:00,15.7,48.5
19,2021-01-08 11:00:00,2021-01-08 16:45:00,5.92,16.54
20,2021-01-08 18:15:00,2021-01-10 13:30:00,43.33,158.67
21,2021-01-10 14:00:00,2021-01-11 09:45:00,20.0,74.57
22,2021-01-11 11:00:00,2021-01-11 13:00:00,1.94,10.44
23,2021-01-11 13:30:00,2021-01-11 16:45:00,3.42,7.9
24,2021-01-11 18:15:00,2021-01-11 22:30:00,4.3,29.22
25,2021-01-11 23:30:00,2021-01-12 09:45:00,10.46,37.6
26,2021-01-12 11:00:00,2021-01-12 14:00:00,3.13,14.28
27,2021-01-12 14:30:00,2021-01-12 16:45:00,2.49,7.36
28,2021-01-12 18:15:00,2021-01-13 09:45:00,15.66,53.09
