cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 00:00:00,0.12,0.84
1,2021-01-01 01:00:00,2021-01-01 01:15:00,0.34,1.27
2,2021-01-01 02:00:00,2021-01-01 02:15:00,0.36,1.32
3,2021-01-01 03:15:00,2021-01-01 03:45:00,0.58,2.41
4,2021-01-01 04:30:00,2021-01-01 04:45:00,0.35,1.16
5,2021-01-01 05:45:00,2021-01-01 06:00:00,0.33,1.36
6,2021-01-01 07:00:00,2021-01-01 07:30:00,0.35,1.41
7,2021-01-01 08:30:00,2021-01-01 09:30:00,1.2,4.4
8,2021-01-01 10:45:00,2021-01-01 11:00:00,0.34,1.23
9,2021-01-01 12:15:00,2021-01-01 15:00:00,2.75,13.27
10,2021-01-01 15:45:00,2021-01-01 16:30:00,0.79,3.86
11,2021-01-01 17:30:00,2021-01-01 17:45:00,0.37,1.44
12,2021-01-01 18:45:00,2021-01-01 19:15:00,0.62,2.89
13,2021-01-01 20:00:00,2021-01-01 20:15:00,0.31,0.92
14,2021-01-01 21:30:00,2021-01-01 21:45:00,0.43,0.88
15,2021-01-01 23:00:00,2021-01-01 23:00:00,0.12,0.8
16,2021-01-02 00:30:00,2021-01-02 00:30:00,0.12,0.86
17,2021-01-02 02:00:00,2021-01-02 02:15:00,0.48,1.82
18,2021-01-02 03:15:00,2021-01-02 03:30:00,0.29,0.75
19,2021-01-02 04:45:00,2021-01-02 05:00:00,0.43,0.86
20,2021-01-02 06:15:00,2021-01-02 06:30:00,0.38,0.87
21,2021-01-02 07:45:00,2021-01-02 08:00:00,0.36,0.91
22,2021-01-02 09:15:00,2021-01-02 09:15:00,0.12,0.83
23,2021-01-02 10:30:00,2021-01-02 11:00:00,0.67,4.0
24,2021-01-02 12:30:00,2021-01-02 12:45:00,0.33,0.84
25,2021-01-02 14:00:00,2021-01-02 14:00:00,0.12,0.76
26,2021-01-02 15:30:00,2021-01-02 15:30:00,0.12,0.87
27,2021-01-02 16:15:00,2021-01-02 16:30:00,0.38,1.93
28,2021-01-02 17:15:00,2021-01-02 17:45:00,0.56,3.29
29,2021-01-02 18:45:00,2021-01-02 19:45:00,0.92,4.89
30,2021-01-02 21:00:00,2021-01-02 21:15:00,0.31,1.02
31,2021-01-02 22:15:00,2021-01-02 22:30:00,0.36,1.25
32,2021-01-02 23:15:00,2021-01-02 23:30:00,0.3,1.19
33,2021-01-03 00:30:00,2021-01-03 00:45:00,0.33,1.31
34,2021-01-03 01:30:00,2021-01-03 02:00:00,0.48,2.31
35,2021-01-03 02:30:00,2021-01-03 02:45:00,0.28,1.18
36,2021-01-03 03:45:00,2021-01-03 04:00:00,0.43,1.39
37,2021-01-03 05:00:00,2021-01-03 05:15:00,0.37,1.48
38,2021-01-03 06:00:00,2021-01-03 06:30:00,0.39,1.59
39,2021-01-03 07:15:00,2021-01-03 07:45:00,0.4,1.64
40,2021-01-03 08:30:00,2021-01-03 09:00:00,0.39,1.62
41,2021-01-03 09:45:00,2021-01-03 10:45:00,0.92,4.51
42,2021-01-03 11:45:00,2021-01-03 12:00:00,0.48,1.37
43,2021-01-03 13:00:00,2021-01-03 13:15:00,0.34,1.42
44,2021-01-03 14:15:00,2021-01-03 14:45:00,0.53,2.35
45,2021-01-03 15:45:00,2021-01-03 17:00:00,1.35,7.33
46,2021-01-03 18:15:00,2021-01-03 18:30:00,0.31,1.27
47,2021-01-03 19:30:00,2021-01-03 20:00:00,0.45,2.44
