cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-02-15 23:15:00,2021-02-15 23:45:00,0.39,1.64
1,2021-02-16 00:15:00,2021-02-16 00:45:00,0.52,2.28
2,2021-02-16 01:15:00,2021-02-16 01:30:00,0.47,1.42
3,2021-02-16 02:00:00,2021-02-16 02:30:00,0.37,1.6
4,2021-02-16 03:00:00,2021-02-16 03:15:00,0.45,1.61
5,2021-02-16 03:45:00,2021-02-16 04:15:00,0.45,3.16
6,2021-02-16 04:45:00,2021-02-16 05:15:00,0.63,2.6
7,2021-02-16 05:45:00,2021-02-16 06:15:00,0.36,1.56
8,2021-02-16 06:45:00,2021-02-16 07:00:00,0.45,1.59
9,2021-02-16 07:30:00,2021-02-16 09:45:00,2.08,12.01
10,2021-02-16 12:00:00,2021-02-16 13:00:00,1.04,2.83
11,2021-02-16 13:30:00,2021-02-16 13:45:00,0.32,1.18
12,2021-02-16 14:15:00,2021-02-16 14:30:00,0.32,1.06
13,2021-02-16 15:00:00,2021-02-16 15:15:00,0.35,1.17
14,2021-02-16 15:45:00,2021-02-16 17:00:00,1.22,4.7
15,2021-02-16 17:30:00,2021-02-16 18:15:00,0.92,3.76
16,2021-02-16 18:45:00,2021-02-16 19:15:00,0.39,1.7
17,2021-02-16 19:45:00,2021-02-16 20:00:00,0.5,1.66
18,2021-02-16 20:30:00,2021-02-16 21:00:00,0.41,1.76
19,2021-02-16 21:30:00,2021-02-16 22:00:00,0.66,2.7
20,2021-02-16 22:45:00,2021-02-16 22:45:00,0.12,1.56
21,2021-02-16 23:15:00,2021-02-16 23:30:00,0.29,1.06
22,2021-02-17 00:00:00,2021-02-17 00:15:00,0.3,1.13
23,2021-02-17 00:45:00,2021-02-17 01:00:00,0.29,1.13
24,2021-02-17 01:30:00,2021-02-17 01:45:00,0.28,1.12
25,2021-02-17 02:30:00,2021-02-17 02:45:00,0.33,1.44
26,2021-02-17 03:15:00,2021-02-17 03:30:00,0.42,1.24
27,2021-02-17 04:00:00,2021-02-17 06:00:00,2.11,10.18
28,2021-02-17 06:30:00,2021-02-17 07:15:00,0.67,2.76
29,2021-02-17 07:45:00,2021-02-17 08:00:00,0.5,1.12
30,2021-02-17 08:30:00,2021-02-17 09:30:00,1.14,3.05
31,2021-02-17 11:30:00,2021-02-17 11:30:00,0.12,0.7
32,2021-02-17 12:00:00,2021-02-17 12:15:00,0.41,1.6
33,2021-02-17 12:45:00,2021-02-17 13:00:00,0.42,1.1
34,2021-02-17 13:30:00,2021-02-17 13:45:00,0.41,1.1
35,2021-02-17 14:15:00,2021-02-17 15:15:00,1.16,3.24
36,2021-02-17 15:45:00,2021-02-17 16:00:00,0.39,1.2
37,2021-02-17 16:30:00,2021-02-17 17:00:00,0.35,2.25
38,2021-02-17 17:30:00,2021-02-17 17:45:00,0.42,1.83
39,2021-02-17 18:15:00,2021-02-17 20:15:00,2.09,14.9
40,2021-02-17 20:45:00,2021-02-17 21:45:00,0.9,3.84
41,2021-02-17 22:15:00,2021-02-17 22:45:00,0.42,1.85
42,2021-02-17 23:15:00,2021-02-17 23:45:00,0.51,2.23
43,2021-02-18 00:15:00,2021-02-18 01:15:00,1.13,4.8
44,2021-02-18 01:45:00,2021-02-18 02:15:00,0.61,2.79
45,2021-02-18 02:45:00,2021-02-18 03:15:00,0.55,2.4
46,2021-02-18 03:45:00,2021-02-18 05:45:00,1.96,11.63
47,2021-02-18 06:15:00,2021-02-18 06:45:00,0.51,2.19
48,2021-02-18 07:15:00,2021-02-18 07:45:00,0.53,2.25
49,2021-02-18 08:30:00,2021-02-18 08:45:00,0.35,1.24
50,2021-02-18 09:15:00,2021-02-18 09:45:00,0.31,2.54
51,2021-02-18 12:00:00,2021-02-18 12:15:00,0.28,1.08
52,2021-02-18 13:00:00,2021-02-18 13:15:00,0.31,1.1
53,2021-02-18 13:45:00,2021-02-18 14:00:00,0.46,1.13
54,2021-02-18 14:30:00,2021-02-18 14:45:00,0.29,1.18
55,2021-02-18 15:30:00,2021-02-18 16:45:00,1.5,4.84
56,2021-02-18 17:30:00,2021-02-18 17:45:00,0.37,1.59
57,2021-02-18 18:15:00,2021-02-18 18:45:00,0.56,2.47
58,2021-02-18 19:15:00,2021-02-18 19:30:00,0.36,1.06
59,2021-02-18 20:00:00,2021-02-18 21:00:00,1.09,3.32
60,2021-02-18 21:45:00,2021-02-18 22:00:00,0.42,1.75
61,2021-02-18 22:30:00,2021-02-18 23:00:00,0.44,1.86
62,2021-02-18 23:30:00,2021-02-19 00:15:00,0.75,3.09
63,2021-02-19 00:45:00,2021-02-19 01:00:00,0.43,1.2
64,2021-02-19 01:30:00,2021-02-19 01:45:00,0.49,1.16
65,2021-02-19 02:15:00,2021-02-19 02:30:00,0.44,1.21
66,2021-02-19 03:00:00,2021-02-19 05:45:00,2.74,11.04
67,2021-02-19 06:15:00,2021-02-19 07:00:00,0.83,3.46
68,2021-02-19 07:30:00,2021-02-19 07:45:00,0.29,1.19
69,2021-02-19 08:30:00,2021-02-19 08:45:00,0.4,1.13
70,2021-02-19 09:30:00,2021-02-19 09:45:00,0.45,0.63
71,2021-02-19 12:00:00,2021-02-19 12:15:00,0.3,1.2
72,2021-02-19 12:45:00,2021-02-19 13:15:00,0.32,2.12
73,2021-02-19 13:45:00,2021-02-19 14:00:00,0.31,1.06
74,2021-02-19 14:45:00,2021-02-19 16:30:00,2.0,6.12
75,2021-02-19 17:00:00,2021-02-19 17:15:00,0.39,1.25
76,2021-02-19 17:45:00,2021-02-19 19:00:00,1.26,3.95
77,2021-02-19 19:30:00,2021-02-19 20:00:00,0.4,1.73
78,2021-02-19 20:30:00,2021-02-19 21:00:00,0.63,2.72
79,2021-02-19 21:30:00,2021-02-19 22:00:00,0.74,3.03
80,2021-02-19 22:45:00,2021-02-19 23:00:00,0.47,1.83
81,2021-02-19 23:30:00,2021-02-20 00:00:00,0.44,1.86
82,2021-02-20 00:30:00,2021-02-20 01:00:00,0.44,2.74
83,2021-02-20 01:30:00,2021-02-20 02:00:00,0.65,2.76
84,2021-02-20 02:45:00,2021-02-20 03:00:00,0.5,1.98
85,2021-02-20 03:30:00,2021-02-20 04:00:00,0.53,2.27
86,2021-02-20 04:45:00,2021-02-20 05:30:00,0.79,5.9
87,2021-02-20 06:15:00,2021-02-20 06:30:00,0.45,1.89
88,2021-02-20 07:00:00,2021-02-20 10:00:00,2.89,12.94
89,2021-02-20 10:45:00,2021-02-20 11:00:00,0.44,1.05
90,2021-02-20 12:30:00,2021-02-20 12:30:00,0.12,0.97
91,2021-02-20 13:30:00,2021-02-20 13:45:00,0.29,1.02
92,2021-02-20 14:30:00,2021-02-20 15:00:00,0.42,1.84
93,2021-02-20 15:30:00,2021-02-20 15:45:00,0.47,1.09
94,2021-02-20 16:15:00,2021-02-20 16:30:00,0.43,1.22
95,2021-02-20 17:00:00,2021-02-20 18:30:00,1.47,4.97
96,2021-02-20 19:00:00,2021-02-20 19:15:00,0.37,1.56
97,2021-02-20 20:00:00,2021-02-20 20:15:00,0.44,1.85
98,2021-02-20 20:45:00,2021-02-20 21:30:00,0.7,2.9
99,2021-02-20 22:00:00,2021-02-20 22:45:00,0.77,4.09
100,2021-02-20 23:15:00,2021-02-20 23:45:00,0.45,1.95
101,2021-02-21 00:15:00,2021-02-21 01:00:00,0.91,3.86
102,2021-02-21 01:45:00,2021-02-21 02:00:00,0.49,2.0
103,2021-02-21 02:30:00,2021-02-21 03:00:00,0.55,3.68
104,2021-02-21 03:45:00,2021-02-21 04:15:00,0.74,3.27
105,2021-02-21 05:00:00,2021-02-21 05:15:00,0.49,2.14
106,2021-02-21 06:00:00,2021-02-21 06:45:00,0.82,3.41
107,2021-02-21 07:15:00,2021-02-21 07:30:00,0.48,1.54
108,2021-02-21 08:45:00,2021-02-21 14:00:00,5.21,24.28
