cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 01:30:00,2021-01-01 09:45:00,8.49,41.84
1,2021-01-01 10:15:00,2021-01-01 12:30:00,2.44,5.23
2,2021-01-01 13:00:00,2021-01-02 03:30:00,14.63,51.32
3,2021-01-02 04:00:00,2021-01-02 04:15:00,0.44,1.34
4,2021-01-02 04:45:00,2021-01-02 10:45:00,6.23,14.75
5,2021-01-02 11:15:00,2021-01-02 12:30:00,1.43,4.37
6,2021-01-02 13:00:00,2021-01-02 13:15:00,0.49,1.5
7,2021-01-02 13:45:00,2021-01-02 19:30:00,5.97,16.41
8,2021-01-02 20:00:00,2021-01-03 00:00:00,4.24,10.36
9,2021-01-03 00:30:00,2021-01-03 03:00:00,2.7,15.18
10,2021-01-03 03:30:00,2021-01-03 06:45:00,3.49,9.28
11,2021-01-03 07:15:00,2021-01-03 11:00:00,3.96,8.39
12,2021-01-03 11:30:00,2021-01-03 13:45:00,2.45,6.36
13,2021-01-03 14:15:00,2021-01-03 19:15:00,5.2,12.46
14,2021-01-03 19:45:00,2021-01-03 21:15:00,1.75,4.35
15,2021-01-03 21:45:00,2021-01-04 05:30:00,7.94,33.53
16,2021-01-04 06:00:00,2021-01-04 08:30:00,2.74,7.4
17,2021-01-04 09:00:00,2021-01-04 13:30:00,4.7,11.62
18,2021-01-04 14:00:00,2021-01-04 15:00:00,1.17,3.6
19,2021-01-04 15:30:00,2021-01-04 17:30:00,2.21,5.92
20,2021-01-04 18:00:00,2021-01-04 21:00:00,3.21,8.12
21,2021-01-04 21:30:00,2021-01-04 23:15:00,1.93,5.79
22,2021-01-04 23:45:00,2021-01-05 00:15:00,0.71,2.18
23,2021-01-05 00:45:00,2021-01-05 02:15:00,1.58,9.92
24,2021-01-05 02:45:00,2021-01-05 06:45:00,4.18,11.01
25,2021-01-05 07:15:00,2021-01-05 11:30:00,4.45,12.65
26,2021-01-05 12:00:00,2021-01-05 20:15:00,8.5,22.17
27,2021-01-05 20:45:00,2021-01-05 21:30:00,0.89,2.73
28,2021-01-05 22:00:00,2021-01-06 02:45:00,4.98,23.77
29,2021-01-06 03:15:00,2021-01-06 04:15:00,1.21,3.42
30,2021-01-06 04:45:00,2021-01-06 06:15:00,1.72,5.54
31,2021-01-06 06:45:00,2021-01-06 09:00:00,2.5,6.62
32,2021-01-06 09:30:00,2021-01-06 15:00:00,5.64,14.26
33,2021-01-06 15:30:00,2021-01-06 16:45:00,1.49,4.43
34,2021-01-06 17:15:00,2021-01-06 20:15:00,3.19,7.94
35,2021-01-06 20:45:00,2021-01-06 21:00:00,0.5,1.51
36,2021-01-06 21:30:00,2021-01-07 03:15:00,5.96,21.51
37,2021-01-07 03:45:00,2021-01-07 05:00:00,1.33,4.44
38,2021-01-07 05:30:00,2021-01-07 09:30:00,4.1,9.55
39,2021-01-07 10:00:00,2021-01-07 10:15:00,0.46,1.4
40,2021-01-07 10:45:00,2021-01-07 11:00:00,0.45,1.2
41,2021-01-07 11:30:00,2021-01-07 11:30:00,0.12,0.74
42,2021-01-07 12:00:00,2021-01-07 13:15:00,1.48,4.28
43,2021-01-07 13:45:00,2021-01-07 19:30:00,5.97,14.76
44,2021-01-07 20:00:00,2021-01-07 21:30:00,1.7,4.2
45,2021-01-07 22:00:00,2021-01-08 08:00:00,10.2,36.16
46,2021-01-08 08:30:00,2021-01-08 08:45:00,0.46,1.37
47,2021-01-08 09:15:00,2021-01-08 11:30:00,2.47,5.68
48,2021-01-08 12:00:00,2021-01-08 12:30:00,0.61,1.84
49,2021-01-08 13:00:00,2021-01-08 22:45:00,9.98,26.87
50,2021-01-08 23:30:00,2021-01-09 07:30:00,8.2,33.32
51,2021-01-09 08:00:00,2021-01-09 08:30:00,0.7,2.17
52,2021-01-09 09:00:00,2021-01-09 09:30:00,0.66,2.01
53,2021-01-09 10:00:00,2021-01-09 11:15:00,1.46,2.94
54,2021-01-09 13:15:00,2021-01-10 00:00:00,10.94,30.74
55,2021-01-10 00:30:00,2021-01-10 03:15:00,2.8,20.9
56,2021-01-10 03:45:00,2021-01-10 07:15:00,3.72,10.78
57,2021-01-10 07:45:00,2021-01-10 10:15:00,2.71,6.53
58,2021-01-10 12:00:00,2021-01-10 17:00:00,5.05,15.11
59,2021-01-10 17:30:00,2021-01-11 07:00:00,13.62,45.95
60,2021-01-11 07:30:00,2021-01-11 09:30:00,2.24,5.96
61,2021-01-11 10:00:00,2021-01-11 10:30:00,0.54,1.67
62,2021-01-11 11:00:00,2021-01-11 12:30:00,1.69,4.3
63,2021-01-11 14:30:00,2021-01-11 23:45:00,9.47,28.24
64,2021-01-12 00:15:00,2021-01-12 05:45:00,5.69,26.37
65,2021-01-12 06:15:00,2021-01-12 08:30:00,2.49,6.5
66,2021-01-12 09:00:00,2021-01-12 13:30:00,4.7,10.17
67,2021-01-12 14:00:00,2021-01-12 15:45:00,1.98,5.11
68,2021-01-12 16:15:00,2021-01-12 18:00:00,2.0,5.12
69,2021-01-12 18:30:00,2021-01-12 21:30:00,3.21,7.9
70,2021-01-12 22:00:00,2021-01-12 22:45:00,1.0,2.27
71,2021-01-12 23:15:00,2021-01-13 00:30:00,1.5,3.47
72,2021-01-13 01:00:00,2021-01-13 03:00:00,2.2,14.3
73,2021-01-13 03:30:00,2021-01-13 03:45:00,0.46,1.32
74,2021-01-13 04:15:00,2021-01-13 09:00:00,5.0,10.99
75,2021-01-13 09:30:00,2021-01-13 09:45:00,0.4,1.02
76,2021-01-13 10:15:00,2021-01-13 10:45:00,0.74,1.92
77,2021-01-13 11:15:00,2021-01-13 11:30:00,0.35,0.99
78,2021-01-13 12:00:00,2021-01-13 13:45:00,1.95,3.25
79,2021-01-13 14:30:00,2021-01-13 15:00:00,0.63,1.9
80,2021-01-13 15:30:00,2021-01-13 16:45:00,1.31,3.09
81,2021-01-13 17:15:00,2021-01-13 18:00:00,1.0,2.24
82,2021-01-13 18:30:00,2021-01-13 18:30:00,0.12,0.71
83,2021-01-13 19:00:00,2021-01-13 20:15:00,1.31,3.78
84,2021-01-13 20:45:00,2021-01-13 21:45:00,1.13,2.68
85,2021-01-13 22:15:00,2021-01-13 22:45:00,0.68,1.32
86,2021-01-17 23:00:00,2021-01-18 00:15:00,1.47,3.54
87,2021-01-18 00:45:00,2021-01-18 03:15:00,2.66,11.87
88,2021-01-18 03:45:00,2021-01-18 04:30:00,1.0,3.97
89,2021-01-18 05:00:00,2021-01-18 12:45:00,8.0,15.44
90,2021-01-18 13:15:00,2021-01-18 19:30:00,6.46,14.46
91,2021-01-18 20:00:00,2021-01-18 20:15:00,0.49,1.52
92,2021-01-18 20:45:00,2021-01-18 22:15:00,1.75,4.25
93,2021-01-18 22:45:00,2021-01-19 00:15:00,1.69,4.15
94,2021-01-19 00:45:00,2021-01-19 03:30:00,2.96,19.8
95,2021-01-19 04:00:00,2021-01-19 05:45:00,1.98,6.33
96,2021-01-19 06:15:00,2021-01-19 07:00:00,0.98,2.84
97,2021-01-19 07:30:00,2021-01-19 08:00:00,0.66,2.06
98,2021-01-19 08:30:00,2021-01-19 08:45:00,0.48,0.87
99,2021-01-19 09:15:00,2021-01-19 10:00:00,1.0,1.59
100,2021-01-19 10:30:00,2021-01-19 11:15:00,1.0,2.06
101,2021-01-19 11:45:00,2021-01-19 15:15:00,3.74,7.49
102,2021-01-19 15:45:00,2021-01-19 18:15:00,2.67,6.09
103,2021-01-19 18:45:00,2021-01-19 21:30:00,2.93,6.25
