cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-30 23:00:00,2021-01-31 23:45:00,24.85,78.77
1,2021-02-01 02:00:00,2021-02-01 09:15:00,7.26,22.24
2,2021-02-01 11:00:00,2021-02-01 13:15:00,2.28,7.09
3,2021-02-01 15:00:00,2021-02-01 16:30:00,1.66,5.14
4,2021-02-01 18:15:00,2021-02-02 03:30:00,9.35,29.68
5,2021-02-02 05:15:00,2021-02-02 06:00:00,0.81,2.75
6,2021-02-02 06:45:00,2021-02-02 08:00:00,1.45,4.44
7,2021-02-02 11:00:00,2021-02-02 12:30:00,1.71,5.32
8,2021-02-02 15:00:00,2021-02-02 16:00:00,1.04,3.27
9,2021-02-02 18:15:00,2021-02-02 21:00:00,2.81,9.03
10,2021-02-02 22:30:00,2021-02-02 23:30:00,0.96,3.02
11,2021-02-03 01:00:00,2021-02-03 02:15:00,1.27,4.1
12,2021-02-03 04:15:00,2021-02-03 07:00:00,2.89,9.31
13,2021-02-03 08:15:00,2021-02-03 09:45:00,1.54,4.75
14,2021-02-03 12:45:00,2021-02-03 16:00:00,3.47,10.98
15,2021-02-03 18:15:00,2021-02-03 21:15:00,3.13,8.71
16,2021-02-03 22:45:00,2021-02-04 08:00:00,9.21,28.54
17,2021-02-04 13:45:00,2021-02-04 16:45:00,3.16,9.99
18,2021-02-04 18:15:00,2021-02-05 06:15:00,12.02,37.14
19,2021-02-05 06:45:00,2021-02-05 07:45:00,1.12,3.41
20,2021-02-05 15:30:00,2021-02-05 16:15:00,0.85,2.63
21,2021-02-05 18:15:00,2021-02-06 00:30:00,6.34,27.16
22,2021-02-06 01:30:00,2021-02-06 06:00:00,4.43,13.57
23,2021-02-06 07:45:00,2021-02-06 13:00:00,5.36,16.67
24,2021-02-06 14:45:00,2021-02-07 08:15:00,17.69,54.42
25,2021-02-07 11:00:00,2021-02-07 14:00:00,3.2,10.13
26,2021-02-07 15:00:00,2021-02-08 08:00:00,17.04,50.49
27,2021-02-08 09:30:00,2021-02-08 09:45:00,0.33,0.97
28,2021-02-08 11:00:00,2021-02-08 11:30:00,0.54,1.6
29,2021-02-08 12:00:00,2021-02-08 16:45:00,4.77,14.13
30,2021-02-08 18:15:00,2021-02-09 09:45:00,15.71,45.52
31,2021-02-09 11:00:00,2021-02-09 16:45:00,5.96,17.21
