cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-08-28 12:15:00,2021-08-28 13:30:00,1.37,3.89
1,2021-08-28 15:00:00,2021-08-28 15:15:00,0.29,1.05
2,2021-08-28 16:30:00,2021-08-28 16:45:00,0.37,1.13
3,2021-08-28 17:15:00,2021-08-28 17:30:00,0.4,1.0
4,2021-08-28 19:00:00,2021-08-28 19:00:00,0.12,1.06
5,2021-08-28 20:30:00,2021-08-28 20:45:00,0.38,1.17
6,2021-08-28 22:00:00,2021-08-28 22:15:00,0.28,1.16
7,2021-08-28 23:45:00,2021-08-29 00:00:00,0.29,1.12
8,2021-08-29 01:45:00,2021-08-29 01:45:00,0.12,1.08
9,2021-08-29 03:15:00,2021-08-29 03:30:00,0.36,1.18
10,2021-08-29 05:00:00,2021-08-29 05:15:00,0.44,1.1
11,2021-08-29 07:15:00,2021-08-29 07:30:00,0.48,1.1
12,2021-08-29 12:15:00,2021-08-29 12:15:00,0.12,0.97
13,2021-08-29 14:45:00,2021-08-29 15:00:00,0.33,1.1
14,2021-08-29 17:15:00,2021-08-29 17:30:00,0.46,1.09
15,2021-08-29 19:00:00,2021-08-29 19:00:00,0.12,1.04
16,2021-08-29 21:00:00,2021-08-29 21:15:00,0.3,1.1
17,2021-08-29 23:00:00,2021-08-29 23:15:00,0.39,1.05
18,2021-08-30 00:45:00,2021-08-30 01:00:00,0.29,1.05
19,2021-08-30 02:30:00,2021-08-30 02:45:00,0.29,1.11
20,2021-08-30 04:30:00,2021-08-30 04:45:00,0.33,1.01
21,2021-08-30 07:45:00,2021-08-30 08:00:00,0.46,1.07
22,2021-08-30 14:00:00,2021-08-30 14:15:00,0.47,1.09
23,2021-08-30 17:15:00,2021-08-30 17:30:00,0.32,1.24
24,2021-08-30 19:00:00,2021-08-30 19:15:00,0.49,1.04
25,2021-08-30 21:15:00,2021-08-30 21:30:00,0.39,1.05
26,2021-08-30 23:15:00,2021-08-30 23:30:00,0.44,1.03
