cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-01-28 00:00:00,2022-01-28 00:30:00,0.73,1.61
1,2022-01-28 01:45:00,2022-01-28 02:30:00,0.71,1.43
2,2022-01-28 03:45:00,2022-01-28 04:30:00,0.71,1.41
3,2022-01-28 05:15:00,2022-01-28 06:00:00,0.9,1.79
4,2022-01-28 07:00:00,2022-01-28 09:00:00,1.92,3.88
5,2022-01-28 09:45:00,2022-01-28 10:15:00,0.69,1.44
6,2022-01-28 12:15:00,2022-01-28 13:15:00,0.95,1.99
7,2022-01-28 14:15:00,2022-01-28 15:00:00,0.99,2.01
8,2022-01-28 16:15:00,2022-01-28 17:00:00,0.71,1.47
9,2022-01-28 18:45:00,2022-01-28 20:00:00,1.34,2.72
10,2022-01-28 20:45:00,2022-01-28 21:45:00,1.05,2.14
11,2022-01-28 22:45:00,2022-01-29 00:30:00,1.89,3.97
12,2022-01-29 01:45:00,2022-01-29 02:30:00,0.71,1.43
13,2022-01-29 04:00:00,2022-01-29 04:30:00,0.7,1.41
14,2022-01-29 05:45:00,2022-01-29 06:30:00,0.71,1.4
15,2022-01-29 07:15:00,2022-01-29 08:00:00,0.95,1.83
16,2022-01-29 08:45:00,2022-01-29 10:00:00,1.39,2.83
17,2022-01-29 11:15:00,2022-01-29 11:45:00,0.36,0.74
18,2022-01-29 12:30:00,2022-01-29 13:15:00,0.71,1.46
19,2022-01-29 15:15:00,2022-01-29 16:00:00,0.72,1.46
20,2022-01-29 17:00:00,2022-01-29 18:00:00,1.13,2.25
21,2022-01-29 19:00:00,2022-01-29 19:30:00,0.7,1.47
22,2022-01-29 20:45:00,2022-01-29 21:30:00,0.71,1.49
23,2022-01-29 22:45:00,2022-01-29 23:15:00,0.7,1.48
24,2022-01-30 00:30:00,2022-01-30 00:45:00,0.3,0.48
25,2022-01-30 02:45:00,2022-01-30 03:30:00,0.69,1.41
26,2022-01-30 05:15:00,2022-01-30 06:00:00,0.69,1.42
27,2022-01-30 07:15:00,2022-01-30 08:00:00,0.71,1.46
28,2022-01-30 08:45:00,2022-01-30 09:15:00,0.7,1.45
