cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-04-27 23:30:00,2021-04-28 00:30:00,1.06,3.18
1,2021-04-28 01:30:00,2021-04-28 02:00:00,0.74,2.21
2,2021-04-28 03:00:00,2021-04-28 03:30:00,0.68,2.04
3,2021-04-28 04:00:00,2021-04-28 08:45:00,4.97,12.83
4,2021-04-28 10:00:00,2021-04-28 12:30:00,2.64,7.8
5,2021-04-28 13:00:00,2021-04-28 14:45:00,1.86,4.9
6,2021-04-28 21:00:00,2021-04-28 21:45:00,0.66,2.02
7,2021-04-28 22:45:00,2021-04-28 23:00:00,0.45,1.21
8,2021-04-29 00:15:00,2021-04-29 00:30:00,0.45,1.31
9,2021-04-29 01:30:00,2021-04-29 02:00:00,0.57,1.72
10,2021-04-29 03:15:00,2021-04-29 05:30:00,2.37,6.84
11,2021-04-29 06:30:00,2021-04-29 07:00:00,0.51,1.57
12,2021-04-29 17:45:00,2021-04-29 18:30:00,0.82,2.44
13,2021-04-29 19:30:00,2021-04-29 20:00:00,0.58,1.74
14,2021-04-29 21:00:00,2021-04-29 21:30:00,0.36,1.08
15,2021-04-29 22:30:00,2021-04-29 22:45:00,0.48,1.34
16,2021-04-29 23:45:00,2021-04-30 00:00:00,0.37,1.05
17,2021-04-30 01:00:00,2021-04-30 01:30:00,0.6,1.78
18,2021-04-30 02:30:00,2021-04-30 03:00:00,0.54,1.63
19,2021-04-30 04:00:00,2021-04-30 04:15:00,0.43,1.14
20,2021-04-30 05:45:00,2021-04-30 06:00:00,0.45,0.93
21,2021-04-30 14:45:00,2021-04-30 14:45:00,0.12,0.65
22,2021-04-30 16:15:00,2021-04-30 17:45:00,1.61,4.7
23,2021-04-30 18:30:00,2021-04-30 19:15:00,0.88,2.67
24,2021-04-30 20:15:00,2021-04-30 21:00:00,0.86,2.6
25,2021-04-30 21:45:00,2021-04-30 22:45:00,0.93,2.75
26,2021-04-30 23:30:00,2021-05-01 00:15:00,0.68,2.05
27,2021-05-01 01:00:00,2021-05-01 01:45:00,0.8,2.41
28,2021-05-01 02:45:00,2021-05-01 03:30:00,0.89,2.6
29,2021-05-01 04:30:00,2021-05-01 05:00:00,0.6,1.84
30,2021-05-01 06:00:00,2021-05-01 06:45:00,0.62,1.86
31,2021-05-01 10:15:00,2021-05-01 10:45:00,0.51,1.53
32,2021-05-01 12:00:00,2021-05-01 12:30:00,0.41,1.24
33,2021-05-01 13:45:00,2021-05-01 14:15:00,0.52,1.56
34,2021-05-01 15:30:00,2021-05-01 16:00:00,0.72,2.2
35,2021-05-01 17:00:00,2021-05-01 17:45:00,0.63,1.91
36,2021-05-01 18:30:00,2021-05-01 19:15:00,0.66,2.0
37,2021-05-01 20:15:00,2021-05-01 21:00:00,0.79,2.39
38,2021-05-01 22:00:00,2021-05-01 22:30:00,0.69,2.09
39,2021-05-01 23:30:00,2021-05-02 00:15:00,0.77,2.31
40,2021-05-02 01:15:00,2021-05-02 02:15:00,0.99,2.95
41,2021-05-02 03:15:00,2021-05-02 04:00:00,0.81,2.39
42,2021-05-02 05:00:00,2021-05-02 05:30:00,0.72,2.21
43,2021-05-02 06:45:00,2021-05-02 07:15:00,0.58,1.77
