cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-06-07 17:15:00,2021-06-07 17:30:00,0.43,2.09
1,2021-06-08 17:15:00,2021-06-08 17:30:00,0.39,1.66
2,2021-06-09 17:15:00,2021-06-09 17:30:00,0.49,1.74
3,2021-06-11 17:15:00,2021-06-11 17:30:00,0.43,2.0
4,2021-06-12 16:45:00,2021-06-12 16:45:00,0.12,1.16
5,2021-06-14 17:15:00,2021-06-14 17:30:00,0.44,1.74
6,2021-06-15 17:15:00,2021-06-15 17:30:00,0.44,1.8
7,2021-06-16 17:15:00,2021-06-16 17:30:00,0.39,1.32
8,2021-06-18 17:15:00,2021-06-18 17:30:00,0.4,0.98
9,2021-06-19 16:45:00,2021-06-19 17:00:00,0.38,1.64
10,2021-06-21 17:15:00,2021-06-21 17:30:00,0.49,1.76
11,2021-06-22 17:15:00,2021-06-22 17:30:00,0.46,1.76
12,2021-06-23 17:15:00,2021-06-23 17:30:00,0.46,1.9
13,2021-06-25 17:15:00,2021-06-25 17:30:00,0.29,1.21
14,2021-06-26 16:45:00,2021-06-26 17:15:00,0.62,3.0
15,2021-07-13 12:30:00,2021-07-13 13:15:00,0.76,2.34
16,2021-07-19 17:15:00,2021-07-19 17:30:00,0.31,1.3
17,2021-07-20 17:15:00,2021-07-20 17:30:00,0.42,1.49
18,2021-07-21 17:15:00,2021-07-21 17:30:00,0.48,1.65
19,2021-07-23 18:30:00,2021-07-23 18:45:00,0.28,1.1
20,2021-07-24 16:45:00,2021-07-24 17:00:00,0.47,2.07
21,2021-07-27 17:15:00,2021-07-27 17:15:00,0.12,1.18
22,2021-07-28 17:15:00,2021-07-28 17:15:00,0.12,1.06
23,2021-07-31 16:45:00,2021-07-31 16:45:00,0.12,1.01
24,2021-08-03 17:15:00,2021-08-03 17:15:00,0.12,1.08
25,2021-08-04 17:15:00,2021-08-04 17:15:00,0.12,1.08
26,2021-08-07 16:45:00,2021-08-07 17:00:00,0.28,1.25
27,2021-08-09 17:15:00,2021-08-09 17:30:00,0.42,1.34
28,2021-08-10 17:15:00,2021-08-10 17:30:00,0.34,1.3
29,2021-08-11 17:15:00,2021-08-11 17:30:00,0.49,1.75
30,2021-08-13 17:45:00,2021-08-13 18:00:00,0.33,1.18
31,2021-08-14 16:45:00,2021-08-14 17:00:00,0.32,1.35
32,2021-08-16 17:15:00,2021-08-16 17:30:00,0.46,1.62
33,2021-08-17 17:15:00,2021-08-17 17:30:00,0.4,1.62
34,2021-08-18 17:15:00,2021-08-18 17:30:00,0.33,1.29
35,2021-08-20 22:00:00,2021-08-20 22:00:00,0.12,1.12
36,2021-08-21 16:45:00,2021-08-21 17:00:00,0.32,1.35
37,2021-08-23 17:15:00,2021-08-23 17:30:00,0.36,1.41
38,2021-08-24 17:15:00,2021-08-24 17:15:00,0.12,0.74
39,2021-08-26 03:30:00,2021-08-26 05:15:00,1.82,5.46
40,2021-08-28 04:30:00,2021-08-28 06:00:00,1.62,4.98
41,2021-09-01 02:30:00,2021-09-01 05:15:00,2.7,8.21
42,2021-09-02 04:15:00,2021-09-02 05:30:00,1.26,3.79
43,2021-09-04 16:45:00,2021-09-04 17:00:00,0.4,1.57
44,2021-09-06 17:15:00,2021-09-06 17:30:00,0.4,2.11
45,2021-09-07 17:15:00,2021-09-07 17:30:00,0.46,1.77
46,2021-09-08 17:15:00,2021-09-08 17:15:00,0.12,0.62
47,2021-09-11 02:15:00,2021-09-11 02:30:00,0.44,0.62
48,2021-09-11 16:45:00,2021-09-11 17:00:00,0.48,1.88
49,2021-09-14 17:15:00,2021-09-14 17:30:00,0.3,1.14
50,2021-09-15 17:15:00,2021-09-15 17:30:00,0.38,1.84
51,2021-09-18 04:30:00,2021-09-18 04:45:00,0.47,0.61
52,2021-09-18 16:45:00,2021-09-18 17:00:00,0.35,1.28
53,2021-09-20 17:15:00,2021-09-20 17:30:00,0.34,1.18
54,2021-09-21 01:00:00,2021-09-21 01:00:00,0.12,0.51
55,2021-09-21 03:30:00,2021-09-21 03:45:00,0.32,0.58
56,2021-09-21 05:00:00,2021-09-21 05:00:00,0.12,0.55
57,2021-09-21 17:15:00,2021-09-21 17:30:00,0.34,1.34
58,2021-09-21 21:15:00,2021-09-21 21:30:00,0.3,0.57
59,2021-09-21 23:45:00,2021-09-21 23:45:00,0.12,0.12
60,2021-09-22 00:15:00,2021-09-22 00:30:00,0.38,0.6
61,2021-09-22 02:45:00,2021-09-22 02:45:00,0.12,0.53
62,2021-09-22 04:30:00,2021-09-22 04:30:00,0.12,0.57
63,2021-09-22 17:15:00,2021-09-22 17:30:00,0.4,1.27
64,2021-09-22 20:45:00,2021-09-22 21:00:00,0.3,0.57
65,2021-09-22 22:45:00,2021-09-22 23:00:00,0.49,0.6
66,2021-09-23 01:30:00,2021-09-23 01:45:00,0.42,0.6
67,2021-09-23 02:45:00,2021-09-23 03:00:00,0.43,0.59
68,2021-09-23 04:00:00,2021-09-23 04:00:00,0.12,0.58
69,2021-09-23 05:15:00,2021-09-23 05:30:00,0.46,0.97
70,2021-09-24 00:15:00,2021-09-24 00:15:00,0.12,0.54
71,2021-09-24 23:30:00,2021-09-24 23:30:00,0.12,0.52
72,2021-09-25 02:30:00,2021-09-25 02:30:00,0.12,0.54
73,2021-09-25 04:45:00,2021-09-25 05:00:00,0.39,0.59
74,2021-09-25 16:45:00,2021-09-25 17:00:00,0.3,1.12
75,2021-09-28 17:15:00,2021-09-28 17:30:00,0.46,1.54
76,2021-09-29 17:15:00,2021-09-29 17:30:00,0.47,1.7
77,2021-09-29 19:00:00,2021-09-29 19:00:00,0.12,0.51
78,2021-09-29 23:00:00,2021-09-29 23:15:00,0.48,0.58
79,2021-09-30 01:45:00,2021-09-30 01:45:00,0.12,0.31
80,2021-09-30 02:30:00,2021-09-30 02:45:00,0.34,0.62
81,2021-09-30 04:30:00,2021-09-30 04:45:00,0.33,0.58
82,2021-09-30 17:15:00,2021-09-30 17:15:00,0.12,0.55
83,2021-09-30 18:30:00,2021-09-30 18:45:00,0.3,0.62
84,2021-09-30 19:45:00,2021-09-30 19:45:00,0.12,0.42
85,2021-09-30 20:45:00,2021-09-30 20:45:00,0.12,0.59
86,2021-09-30 22:00:00,2021-09-30 22:15:00,0.5,0.63
87,2021-09-30 23:30:00,2021-09-30 23:30:00,0.12,0.62
88,2021-10-01 00:45:00,2021-10-01 01:00:00,0.45,0.66
89,2021-10-01 02:00:00,2021-10-01 02:15:00,0.42,0.82
