cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-06-26 08:30:00,2021-06-26 08:45:00,0.49,0.81
1,2021-06-26 20:45:00,2021-06-26 21:00:00,0.29,0.88
2,2021-06-27 09:00:00,2021-06-27 09:00:00,0.12,0.71
3,2021-06-27 21:15:00,2021-06-27 21:15:00,0.12,0.71
4,2021-06-28 10:00:00,2021-06-28 10:00:00,0.12,0.84
5,2021-06-28 22:00:00,2021-06-28 22:15:00,0.49,0.82
6,2021-06-29 10:00:00,2021-06-29 10:00:00,0.12,0.84
7,2021-06-29 22:15:00,2021-06-29 22:30:00,0.32,1.17
8,2021-06-30 10:00:00,2021-06-30 10:15:00,0.29,0.92
9,2021-06-30 21:45:00,2021-06-30 22:00:00,0.32,1.21
10,2021-07-01 10:00:00,2021-07-01 10:15:00,0.33,1.02
11,2021-07-01 21:45:00,2021-07-01 22:00:00,0.48,1.09
12,2021-07-02 10:00:00,2021-07-02 10:00:00,0.12,0.81
13,2021-07-02 22:15:00,2021-07-02 22:30:00,0.28,1.11
14,2021-07-03 10:30:00,2021-07-03 10:30:00,0.12,0.79
15,2021-07-03 22:45:00,2021-07-03 23:00:00,0.44,0.83
16,2021-07-04 11:30:00,2021-07-04 11:45:00,0.45,0.78
17,2021-07-04 23:30:00,2021-07-04 23:45:00,0.35,1.25
18,2021-07-05 11:30:00,2021-07-05 11:30:00,0.12,0.86
19,2021-07-05 23:45:00,2021-07-06 00:00:00,0.3,1.08
20,2021-07-06 11:45:00,2021-07-06 11:45:00,0.12,0.76
21,2021-07-07 00:30:00,2021-07-07 00:30:00,0.12,0.95
22,2021-07-07 12:30:00,2021-07-07 12:45:00,0.37,0.86
23,2021-07-08 01:00:00,2021-07-08 01:15:00,0.45,1.04
24,2021-07-08 13:00:00,2021-07-08 13:15:00,0.29,0.86
25,2021-07-09 01:15:00,2021-07-09 01:30:00,0.36,1.24
26,2021-07-09 13:15:00,2021-07-09 13:15:00,0.12,0.87
27,2021-07-10 01:30:00,2021-07-10 01:45:00,0.33,1.22
