cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-07 23:00:00,2021-01-13 22:45:00,143.91,715.21
1,2021-01-17 23:00:00,2021-01-18 02:00:00,2.97,23.22
2,2021-01-18 02:45:00,2021-01-18 03:30:00,0.7,5.19
3,2021-01-18 04:15:00,2021-01-18 05:00:00,0.78,4.14
4,2021-01-18 05:30:00,2021-01-18 10:00:00,4.68,27.2
5,2021-01-18 10:30:00,2021-01-18 10:45:00,0.47,2.76
6,2021-01-18 11:15:00,2021-01-18 11:30:00,0.45,3.19
7,2021-01-18 12:00:00,2021-01-18 13:45:00,2.0,9.86
8,2021-01-18 14:15:00,2021-01-18 18:00:00,3.89,20.87
9,2021-01-18 18:30:00,2021-01-18 22:45:00,4.39,21.43
10,2021-01-18 23:15:00,2021-01-18 23:30:00,0.46,2.86
11,2021-01-19 00:00:00,2021-01-19 08:45:00,8.98,47.96
12,2021-01-19 09:15:00,2021-01-19 10:30:00,1.38,8.47
13,2021-01-19 11:00:00,2021-01-19 13:00:00,2.25,10.28
14,2021-01-19 13:30:00,2021-01-19 14:30:00,1.18,7.0
15,2021-01-19 15:00:00,2021-01-19 17:00:00,2.21,10.32
16,2021-01-19 17:30:00,2021-01-19 19:15:00,1.91,10.0
17,2021-01-19 19:45:00,2021-01-19 23:30:00,4.0,18.57
18,2021-01-20 00:00:00,2021-01-20 01:30:00,1.75,7.15
19,2021-01-20 02:00:00,2021-01-20 03:00:00,1.2,6.98
20,2021-01-20 03:30:00,2021-01-20 07:30:00,4.13,18.24
21,2021-01-20 08:00:00,2021-01-20 09:15:00,1.41,7.5
22,2021-01-20 09:45:00,2021-01-20 10:00:00,0.39,2.63
23,2021-01-20 10:30:00,2021-01-20 12:30:00,2.25,9.27
24,2021-01-20 13:00:00,2021-01-20 13:45:00,1.0,3.72
25,2021-01-20 14:15:00,2021-01-20 14:45:00,0.67,3.62
26,2021-01-20 15:15:00,2021-01-20 15:30:00,0.38,2.93
27,2021-01-20 16:00:00,2021-01-20 16:15:00,0.43,2.94
28,2021-01-20 16:45:00,2021-01-20 18:30:00,2.0,9.7
29,2021-01-20 19:00:00,2021-01-20 20:15:00,1.5,7.07
30,2021-01-20 20:45:00,2021-01-20 21:45:00,1.13,6.47
31,2021-01-20 22:15:00,2021-01-20 22:15:00,0.12,1.38
32,2021-01-20 22:45:00,2021-01-20 23:30:00,0.99,3.55
33,2021-01-21 00:00:00,2021-01-21 02:30:00,2.75,11.02
34,2021-01-21 03:00:00,2021-01-21 04:30:00,1.75,7.76
35,2021-01-21 05:00:00,2021-01-21 06:30:00,1.63,8.53
36,2021-01-21 07:00:00,2021-01-21 07:45:00,1.0,4.77
37,2021-01-21 08:15:00,2021-01-21 09:00:00,1.0,3.37
38,2021-01-21 09:30:00,2021-01-21 09:30:00,0.12,1.45
39,2021-01-21 10:00:00,2021-01-21 11:15:00,1.38,5.32
40,2021-01-21 11:45:00,2021-01-21 12:00:00,0.41,2.79
41,2021-01-21 12:30:00,2021-01-21 12:30:00,0.12,1.17
42,2021-01-21 13:00:00,2021-01-21 14:15:00,1.5,4.4
43,2021-01-21 14:45:00,2021-01-21 17:00:00,2.5,11.52
44,2021-01-21 17:30:00,2021-01-21 19:00:00,1.75,6.77
45,2021-01-21 19:30:00,2021-01-21 21:30:00,2.25,9.99
46,2021-01-21 22:00:00,2021-01-21 22:00:00,0.12,1.46
47,2021-01-21 22:30:00,2021-01-21 23:45:00,1.5,4.53
48,2021-01-22 00:15:00,2021-01-22 00:15:00,0.12,1.51
49,2021-01-22 00:45:00,2021-01-22 02:15:00,1.64,5.5
50,2021-01-22 02:45:00,2021-01-22 03:30:00,1.0,4.02
51,2021-01-22 04:00:00,2021-01-22 06:45:00,3.0,11.9
52,2021-01-22 07:15:00,2021-01-22 09:45:00,2.75,10.6
53,2021-01-22 10:15:00,2021-01-22 10:15:00,0.12,1.08
54,2021-01-22 10:45:00,2021-01-22 10:45:00,0.12,1.0
55,2021-01-22 11:15:00,2021-01-22 11:15:00,0.12,1.27
56,2021-01-22 11:45:00,2021-01-22 15:30:00,4.0,13.37
57,2021-01-22 16:00:00,2021-01-22 17:00:00,1.18,5.07
58,2021-01-22 17:30:00,2021-01-22 17:45:00,0.41,2.8
59,2021-01-22 18:15:00,2021-01-22 19:00:00,1.0,3.41
60,2021-01-22 19:30:00,2021-01-22 19:30:00,0.12,1.63
