cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-07-13 01:15:00,2022-07-13 02:00:00,0.8,4.81
1,2022-07-13 03:00:00,2022-07-13 03:00:00,0.12,0.24
2,2022-07-13 12:15:00,2022-07-13 12:15:00,0.12,0.46
3,2022-07-13 12:45:00,2022-07-13 13:00:00,0.44,0.78
4,2022-07-13 16:00:00,2022-07-13 16:00:00,0.12,0.24
5,2022-07-13 16:30:00,2022-07-13 16:30:00,0.12,0.34
6,2022-07-13 20:15:00,2022-07-13 20:15:00,0.12,0.26
7,2022-07-13 23:45:00,2022-07-14 00:00:00,0.37,0.34
8,2022-07-14 00:30:00,2022-07-14 00:30:00,0.12,0.32
9,2022-07-14 03:30:00,2022-07-14 03:30:00,0.12,0.28
10,2022-07-14 12:00:00,2022-07-14 12:00:00,0.12,0.32
11,2022-07-14 12:45:00,2022-07-14 13:00:00,0.29,0.75
12,2022-07-14 16:15:00,2022-07-14 16:45:00,0.75,0.59
13,2022-07-14 20:30:00,2022-07-14 20:30:00,0.12,0.33
14,2022-07-15 00:15:00,2022-07-15 00:15:00,0.12,0.28
15,2022-07-15 01:15:00,2022-07-15 02:15:00,1.01,6.37
16,2022-07-15 03:45:00,2022-07-15 04:00:00,0.47,0.34
17,2022-07-15 12:45:00,2022-07-15 13:00:00,0.28,1.1
18,2022-07-15 16:45:00,2022-07-15 16:45:00,0.12,0.29
19,2022-07-15 20:30:00,2022-07-15 20:30:00,0.12,0.26
20,2022-07-15 23:15:00,2022-07-15 23:30:00,0.37,0.36
21,2022-07-16 00:00:00,2022-07-16 00:00:00,0.12,0.26
22,2022-07-16 01:15:00,2022-07-16 01:45:00,0.62,3.71
23,2022-07-16 03:30:00,2022-07-16 03:45:00,0.36,0.34
24,2022-07-16 09:30:00,2022-07-16 09:30:00,0.12,0.37
25,2022-07-16 13:45:00,2022-07-16 14:00:00,0.46,0.8
26,2022-07-16 15:15:00,2022-07-16 15:15:00,0.12,0.27
27,2022-07-16 17:30:00,2022-07-16 17:30:00,0.12,0.34
