cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:45:00,2021-01-01 05:00:00,4.39,22.3
1,2021-01-01 05:30:00,2021-01-01 07:30:00,2.25,10.56
2,2021-01-01 08:00:00,2021-01-01 09:00:00,1.25,6.19
3,2021-01-01 09:30:00,2021-01-01 09:45:00,0.49,2.96
4,2021-01-01 11:00:00,2021-01-01 13:00:00,2.21,11.66
5,2021-01-01 13:30:00,2021-01-01 16:45:00,3.5,15.26
6,2021-01-01 18:15:00,2021-01-01 21:15:00,3.24,16.25
7,2021-01-02 00:45:00,2021-01-02 20:00:00,19.44,86.01
8,2021-01-02 20:30:00,2021-01-02 20:45:00,0.49,3.11
9,2021-01-02 21:15:00,2021-01-02 21:30:00,0.33,1.93
10,2021-01-03 00:15:00,2021-01-03 08:00:00,7.8,37.12
11,2021-01-03 08:30:00,2021-01-03 12:15:00,3.97,18.23
12,2021-01-03 12:45:00,2021-01-03 13:00:00,0.49,3.11
13,2021-01-03 13:30:00,2021-01-03 19:15:00,6.0,27.23
14,2021-01-03 19:45:00,2021-01-03 21:30:00,1.86,8.09
15,2021-01-04 00:00:00,2021-01-04 01:15:00,1.41,7.43
16,2021-01-04 01:45:00,2021-01-04 01:45:00,0.12,1.4
17,2021-01-04 02:15:00,2021-01-04 09:45:00,7.72,37.77
18,2021-01-04 11:00:00,2021-01-04 16:45:00,5.97,28.27
19,2021-01-04 18:15:00,2021-01-04 21:30:00,3.3,16.86
20,2021-01-04 22:45:00,2021-01-04 23:15:00,0.5,2.28
21,2021-01-05 01:00:00,2021-01-05 05:30:00,4.71,24.38
22,2021-01-05 06:00:00,2021-01-05 07:30:00,1.71,9.2
23,2021-01-05 08:00:00,2021-01-05 09:15:00,1.48,7.67
24,2021-01-05 09:45:00,2021-01-05 09:45:00,0.12,1.54
25,2021-01-05 11:00:00,2021-01-05 16:15:00,5.46,27.12
26,2021-01-05 16:45:00,2021-01-05 16:45:00,0.12,1.58
27,2021-01-05 18:15:00,2021-01-05 21:15:00,3.04,16.62
28,2021-01-05 23:45:00,2021-01-06 01:00:00,1.33,6.98
29,2021-01-06 01:30:00,2021-01-06 09:00:00,7.64,38.25
30,2021-01-06 09:30:00,2021-01-06 09:45:00,0.49,3.07
31,2021-01-06 11:00:00,2021-01-06 14:00:00,3.2,17.48
32,2021-01-06 14:30:00,2021-01-06 16:00:00,1.75,9.23
33,2021-01-06 16:30:00,2021-01-06 16:45:00,0.5,2.98
34,2021-01-06 18:15:00,2021-01-06 21:30:00,3.46,16.68
35,2021-01-06 23:45:00,2021-01-07 09:45:00,10.0,47.18
36,2021-01-07 11:00:00,2021-01-07 16:45:00,5.96,28.44
37,2021-01-07 18:15:00,2021-01-07 21:00:00,2.92,15.92
38,2021-01-07 21:30:00,2021-01-07 21:30:00,0.12,0.44
39,2021-01-07 22:45:00,2021-01-07 23:15:00,0.57,1.75
40,2021-01-08 00:45:00,2021-01-08 05:30:00,4.89,25.17
41,2021-01-08 06:00:00,2021-01-08 09:45:00,3.82,18.98
42,2021-01-08 11:00:00,2021-01-08 13:30:00,2.73,14.69
43,2021-01-08 14:00:00,2021-01-08 16:45:00,3.0,13.84
44,2021-01-08 18:15:00,2021-01-08 21:30:00,3.33,18.43
45,2021-01-08 23:30:00,2021-01-09 01:45:00,2.39,11.67
46,2021-01-09 02:15:00,2021-01-09 12:15:00,10.25,50.28
47,2021-01-09 12:45:00,2021-01-09 13:00:00,0.5,2.97
48,2021-01-09 13:30:00,2021-01-09 18:15:00,4.99,24.41
49,2021-01-09 18:45:00,2021-01-09 21:00:00,2.48,12.29
50,2021-01-09 21:30:00,2021-01-09 21:30:00,0.12,0.61
51,2021-01-09 23:30:00,2021-01-10 00:45:00,1.46,7.84
52,2021-01-10 01:30:00,2021-01-10 02:15:00,0.91,5.21
53,2021-01-10 02:45:00,2021-01-10 05:30:00,2.99,16.39
54,2021-01-10 06:00:00,2021-01-10 15:00:00,9.2,44.03
55,2021-01-10 15:30:00,2021-01-10 21:30:00,6.08,28.12
56,2021-01-10 23:30:00,2021-01-11 09:45:00,10.39,50.94
57,2021-01-11 11:00:00,2021-01-11 13:00:00,2.21,11.61
58,2021-01-11 13:30:00,2021-01-11 16:45:00,3.48,18.1
59,2021-01-11 18:15:00,2021-01-11 21:30:00,3.29,18.11
60,2021-01-11 22:45:00,2021-01-11 23:00:00,0.39,2.37
61,2021-01-11 23:30:00,2021-01-11 23:30:00,0.12,0.18
62,2021-01-12 01:00:00,2021-01-12 08:00:00,7.19,36.38
63,2021-01-12 08:30:00,2021-01-12 09:00:00,0.75,4.61
64,2021-01-12 09:30:00,2021-01-12 09:45:00,0.5,2.96
65,2021-01-12 11:00:00,2021-01-12 16:45:00,5.96,28.34
66,2021-01-12 18:15:00,2021-01-12 21:15:00,3.02,16.33
67,2021-01-12 23:45:00,2021-01-13 01:00:00,1.25,6.58
68,2021-01-13 01:30:00,2021-01-13 09:15:00,7.88,37.93
69,2021-01-13 09:45:00,2021-01-13 09:45:00,0.12,1.5
70,2021-01-13 11:00:00,2021-01-13 14:30:00,3.73,18.94
71,2021-01-13 15:00:00,2021-01-13 16:45:00,2.0,8.96
72,2021-01-13 18:15:00,2021-01-13 21:30:00,3.33,16.54
73,2021-01-18 00:00:00,2021-01-18 01:00:00,1.25,6.58
74,2021-01-18 01:30:00,2021-01-18 01:45:00,0.4,2.2
75,2021-01-18 02:15:00,2021-01-18 09:45:00,7.74,37.56
76,2021-01-18 11:00:00,2021-01-18 13:15:00,2.45,13.12
77,2021-01-18 13:45:00,2021-01-18 16:45:00,3.1,15.68
78,2021-01-18 18:15:00,2021-01-18 21:15:00,3.18,17.37
79,2021-01-18 22:45:00,2021-01-18 23:15:00,0.59,1.7
80,2021-01-19 00:45:00,2021-01-19 08:30:00,7.78,39.68
81,2021-01-19 09:00:00,2021-01-19 09:30:00,0.72,4.49
82,2021-01-19 11:00:00,2021-01-19 16:45:00,5.96,28.56
83,2021-01-19 18:15:00,2021-01-19 21:30:00,3.34,16.73
84,2021-01-20 00:00:00,2021-01-20 09:45:00,9.83,48.94
85,2021-01-20 11:00:00,2021-01-20 12:15:00,1.46,8.25
86,2021-01-20 12:45:00,2021-01-20 15:30:00,2.99,15.13
87,2021-01-20 16:00:00,2021-01-20 16:45:00,0.99,4.45
88,2021-01-20 18:15:00,2021-01-20 20:15:00,2.2,12.93
89,2021-01-20 20:45:00,2021-01-20 21:30:00,0.76,4.84
90,2021-01-20 23:45:00,2021-01-21 09:45:00,10.1,47.62
91,2021-01-21 11:00:00,2021-01-21 14:00:00,3.23,14.8
92,2021-01-21 14:30:00,2021-01-21 15:00:00,0.75,2.99
93,2021-01-21 15:30:00,2021-01-21 16:45:00,1.26,7.3
94,2021-01-21 18:15:00,2021-01-21 20:45:00,2.74,14.47
95,2021-01-21 21:15:00,2021-01-21 21:30:00,0.32,1.85
96,2021-01-21 22:45:00,2021-01-21 23:15:00,0.59,1.6
97,2021-01-22 00:45:00,2021-01-22 04:15:00,3.57,17.61
98,2021-01-22 04:45:00,2021-01-22 06:00:00,1.37,6.84
99,2021-01-22 07:00:00,2021-01-22 08:15:00,1.24,7.41
100,2021-01-22 09:30:00,2021-01-22 09:45:00,0.41,2.35
101,2021-01-22 11:00:00,2021-01-22 12:30:00,1.72,10.02
102,2021-01-22 14:00:00,2021-01-22 15:30:00,1.51,8.83
103,2021-01-22 16:45:00,2021-01-22 16:45:00,0.12,0.28
104,2021-01-22 18:15:00,2021-01-22 20:15:00,2.2,12.42
105,2021-01-22 20:45:00,2021-01-22 21:15:00,0.58,3.65
106,2021-01-23 00:45:00,2021-01-23 12:00:00,11.35,51.94
107,2021-01-23 12:30:00,2021-01-23 13:15:00,1.0,4.36
108,2021-01-23 13:45:00,2021-01-23 15:30:00,1.99,10.54
109,2021-01-23 16:00:00,2021-01-23 21:15:00,5.37,23.48
110,2021-01-24 00:30:00,2021-01-24 10:00:00,9.72,45.79
111,2021-01-24 10:30:00,2021-01-24 19:00:00,8.75,39.68
112,2021-01-24 19:30:00,2021-01-24 21:30:00,2.08,9.58
113,2021-01-24 23:45:00,2021-01-25 01:00:00,1.34,7.18
114,2021-01-25 01:30:00,2021-01-25 09:45:00,8.33,39.4
115,2021-01-25 11:00:00,2021-01-25 15:15:00,4.44,22.11
116,2021-01-25 15:45:00,2021-01-25 16:45:00,1.25,6.08
117,2021-01-25 18:15:00,2021-01-25 21:30:00,3.31,16.72
118,2021-01-25 22:45:00,2021-01-25 23:00:00,0.41,2.39
119,2021-01-25 23:30:00,2021-01-25 23:30:00,0.12,0.16
120,2021-01-26 00:45:00,2021-01-26 09:45:00,9.04,44.54
