cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:00:00,2021-01-20 09:45:00,11.0,47.94
1,2021-01-20 11:00:00,2021-01-20 11:15:00,0.47,1.82
2,2021-01-20 11:45:00,2021-01-20 12:15:00,0.62,2.38
3,2021-01-20 12:45:00,2021-01-20 14:00:00,1.32,5.16
4,2021-01-20 14:45:00,2021-01-20 16:45:00,2.14,6.52
5,2021-01-20 18:15:00,2021-01-21 00:00:00,5.94,22.66
6,2021-01-21 00:30:00,2021-01-21 01:45:00,1.36,12.0
7,2021-01-21 03:45:00,2021-01-21 04:30:00,0.64,4.07
8,2021-01-21 05:30:00,2021-01-21 06:15:00,0.7,3.26
9,2021-01-21 07:15:00,2021-01-21 07:45:00,0.63,2.8
10,2021-01-21 13:45:00,2021-01-21 14:30:00,0.83,3.7
11,2021-01-21 15:45:00,2021-01-21 16:30:00,0.65,2.94
12,2021-01-21 18:15:00,2021-01-21 18:45:00,0.65,2.86
13,2021-01-21 21:15:00,2021-01-21 21:45:00,0.47,2.08
14,2021-01-21 23:15:00,2021-01-22 00:00:00,0.68,2.86
15,2021-01-22 01:00:00,2021-01-22 03:00:00,2.13,14.04
16,2021-01-22 04:00:00,2021-01-22 04:15:00,0.42,1.56
17,2021-01-22 04:45:00,2021-01-22 05:15:00,0.53,2.37
18,2021-01-22 06:15:00,2021-01-22 08:00:00,1.64,6.77
19,2021-01-22 11:00:00,2021-01-22 11:15:00,0.47,2.09
20,2021-01-22 14:00:00,2021-01-22 14:30:00,0.41,1.73
21,2021-01-22 15:15:00,2021-01-22 15:30:00,0.5,1.73
22,2021-01-22 16:15:00,2021-01-22 16:45:00,0.65,2.68
23,2021-01-22 18:15:00,2021-01-22 18:45:00,0.64,2.87
24,2021-01-22 19:30:00,2021-01-22 21:15:00,1.91,6.47
25,2021-01-22 22:45:00,2021-01-23 01:45:00,3.02,15.87
26,2021-01-23 02:30:00,2021-01-23 02:45:00,0.47,2.05
27,2021-01-23 03:45:00,2021-01-23 06:15:00,2.51,11.27
28,2021-01-23 07:00:00,2021-01-23 09:15:00,2.48,9.83
29,2021-01-23 09:45:00,2021-01-23 10:15:00,0.45,1.99
30,2021-01-23 11:45:00,2021-01-23 12:15:00,0.35,1.58
31,2021-01-23 13:45:00,2021-01-23 14:00:00,0.48,1.87
32,2021-01-23 14:45:00,2021-01-23 15:00:00,0.42,1.34
33,2021-01-23 15:45:00,2021-01-23 16:15:00,0.65,2.57
34,2021-01-23 16:45:00,2021-01-23 21:45:00,5.16,20.22
35,2021-01-23 22:30:00,2021-01-23 22:45:00,0.29,1.12
36,2021-01-23 23:30:00,2021-01-24 00:00:00,0.51,2.2
37,2021-01-24 00:30:00,2021-01-24 02:00:00,1.66,14.22
38,2021-01-24 02:30:00,2021-01-24 03:30:00,1.06,4.38
39,2021-01-24 04:30:00,2021-01-24 06:30:00,2.01,8.39
40,2021-01-24 07:00:00,2021-01-24 07:45:00,0.61,2.73
41,2021-01-24 08:30:00,2021-01-24 09:15:00,0.66,2.53
42,2021-01-24 09:45:00,2021-01-24 10:00:00,0.34,1.45
43,2021-01-24 10:45:00,2021-01-24 11:00:00,0.43,1.34
44,2021-01-24 11:45:00,2021-01-24 12:00:00,0.35,1.56
45,2021-01-24 14:30:00,2021-01-24 15:00:00,0.62,2.79
46,2021-01-24 15:45:00,2021-01-24 16:00:00,0.42,1.68
47,2021-01-24 16:30:00,2021-01-24 17:45:00,1.41,4.74
48,2021-01-24 18:15:00,2021-01-24 20:30:00,2.36,9.32
49,2021-01-24 21:00:00,2021-01-24 21:30:00,0.55,2.22
50,2021-01-24 22:00:00,2021-01-24 23:15:00,1.32,5.3
51,2021-01-24 23:45:00,2021-01-25 00:15:00,0.64,2.62
52,2021-01-25 00:45:00,2021-01-25 03:45:00,2.98,22.91
53,2021-01-25 04:30:00,2021-01-25 06:15:00,1.68,7.61
54,2021-01-25 07:00:00,2021-01-25 08:45:00,1.78,7.27
55,2021-01-25 09:30:00,2021-01-25 09:45:00,0.4,1.63
56,2021-01-25 11:00:00,2021-01-25 12:45:00,1.81,7.29
57,2021-01-25 13:45:00,2021-01-25 14:45:00,0.91,3.81
58,2021-01-25 15:45:00,2021-01-25 16:45:00,1.14,4.57
59,2021-01-25 18:15:00,2021-01-25 18:45:00,0.66,2.59
60,2021-01-25 19:15:00,2021-01-25 21:00:00,1.94,6.74
61,2021-01-25 21:45:00,2021-01-26 07:00:00,9.4,44.34
62,2021-01-26 07:30:00,2021-01-26 09:45:00,2.39,6.55
63,2021-01-26 11:00:00,2021-01-26 11:45:00,0.86,3.8
64,2021-01-26 12:45:00,2021-01-26 12:45:00,0.12,1.16
65,2021-01-26 14:15:00,2021-01-26 14:45:00,0.66,2.91
66,2021-01-26 15:15:00,2021-01-26 16:45:00,1.7,6.59
67,2021-01-26 18:15:00,2021-01-27 09:45:00,15.72,66.53
68,2021-01-27 11:00:00,2021-01-27 16:45:00,5.94,21.57
69,2021-01-27 18:15:00,2021-01-27 22:15:00,4.01,16.46
70,2021-01-27 23:15:00,2021-01-27 23:45:00,0.6,2.73
71,2021-01-28 01:00:00,2021-01-28 03:00:00,2.11,15.52
72,2021-01-28 04:15:00,2021-01-28 04:30:00,0.31,1.4
73,2021-01-28 05:00:00,2021-01-28 05:45:00,0.7,3.26
74,2021-01-28 06:45:00,2021-01-28 08:45:00,1.93,8.22
75,2021-01-28 11:45:00,2021-01-28 12:15:00,0.48,2.23
76,2021-01-28 14:30:00,2021-01-28 15:00:00,0.47,2.23
77,2021-01-28 16:15:00,2021-01-28 16:45:00,0.55,2.61
78,2021-01-28 18:30:00,2021-01-28 19:15:00,0.68,3.31
79,2021-01-28 20:45:00,2021-01-28 21:30:00,0.78,3.7
80,2021-01-28 23:15:00,2021-01-29 00:00:00,0.77,3.73
81,2021-01-29 00:45:00,2021-01-29 02:00:00,1.04,10.06
82,2021-01-29 03:15:00,2021-01-29 04:15:00,1.07,3.83
83,2021-01-29 04:45:00,2021-01-29 04:45:00,0.12,1.24
84,2021-01-29 06:30:00,2021-01-29 06:45:00,0.44,2.16
85,2021-01-29 08:00:00,2021-01-29 08:30:00,0.65,3.14
86,2021-01-29 11:00:00,2021-01-29 11:30:00,0.55,2.63
87,2021-01-29 13:30:00,2021-01-29 14:00:00,0.47,2.26
88,2021-01-29 15:00:00,2021-01-29 15:45:00,0.62,2.96
89,2021-01-29 18:15:00,2021-01-29 19:15:00,1.1,5.15
90,2021-01-29 20:30:00,2021-01-29 21:00:00,0.43,2.08
91,2021-01-29 22:30:00,2021-01-29 22:45:00,0.47,1.65
92,2021-01-29 23:15:00,2021-01-29 23:45:00,0.59,2.87
93,2021-01-30 01:00:00,2021-01-30 02:15:00,1.35,8.9
94,2021-01-30 03:30:00,2021-01-30 04:15:00,0.77,5.79
95,2021-01-30 06:15:00,2021-01-30 06:45:00,0.54,2.62
96,2021-01-30 08:30:00,2021-01-30 09:00:00,0.58,2.7
97,2021-01-30 11:30:00,2021-01-30 11:45:00,0.45,1.76
98,2021-01-30 14:00:00,2021-01-30 14:30:00,0.41,1.91
99,2021-01-30 15:15:00,2021-01-30 15:30:00,0.43,1.61
100,2021-01-30 16:30:00,2021-01-30 17:30:00,0.96,4.08
101,2021-01-30 19:15:00,2021-01-30 19:45:00,0.47,2.08
102,2021-01-30 21:15:00,2021-01-30 21:45:00,0.39,1.67
103,2021-01-30 23:00:00,2021-01-31 02:00:00,2.97,19.05
104,2021-01-31 03:30:00,2021-01-31 05:00:00,1.39,7.02
105,2021-01-31 06:15:00,2021-01-31 07:00:00,0.56,2.62
106,2021-01-31 08:15:00,2021-01-31 09:00:00,0.84,3.65
107,2021-01-31 12:30:00,2021-01-31 12:45:00,0.36,1.58
108,2021-01-31 14:30:00,2021-01-31 15:00:00,0.4,1.79
109,2021-01-31 15:45:00,2021-01-31 16:15:00,0.45,1.84
110,2021-01-31 17:45:00,2021-01-31 18:15:00,0.57,2.26
111,2021-01-31 19:00:00,2021-01-31 21:00:00,2.0,8.05
112,2021-01-31 22:00:00,2021-01-31 22:15:00,0.48,1.76
113,2021-01-31 23:15:00,2021-02-01 00:00:00,0.74,3.04
114,2021-02-01 01:00:00,2021-02-01 02:15:00,1.37,16.54
115,2021-02-01 04:00:00,2021-02-01 04:45:00,0.85,4.17
116,2021-02-01 05:45:00,2021-02-01 07:00:00,1.29,5.18
117,2021-02-01 07:30:00,2021-02-01 08:15:00,0.61,2.64
118,2021-02-01 11:00:00,2021-02-01 11:45:00,0.84,3.45
119,2021-02-01 13:15:00,2021-02-01 14:00:00,0.6,2.84
120,2021-02-01 15:30:00,2021-02-01 16:15:00,0.87,3.96
121,2021-02-01 18:15:00,2021-02-01 18:30:00,0.42,1.76
122,2021-02-01 19:15:00,2021-02-01 19:45:00,0.66,2.74
123,2021-02-01 20:30:00,2021-02-01 21:15:00,0.85,3.67
124,2021-02-01 23:15:00,2021-02-01 23:45:00,0.62,2.78
125,2021-02-02 01:00:00,2021-02-02 02:15:00,1.35,11.62
126,2021-02-02 03:45:00,2021-02-02 04:45:00,0.86,5.83
127,2021-02-02 06:30:00,2021-02-02 06:45:00,0.48,1.72
128,2021-02-02 07:30:00,2021-02-02 07:45:00,0.49,1.16
129,2021-02-02 09:30:00,2021-02-02 09:45:00,0.37,1.65
130,2021-02-02 12:15:00,2021-02-02 13:00:00,0.76,3.28
131,2021-02-02 15:15:00,2021-02-02 15:45:00,0.41,1.81
132,2021-02-02 16:30:00,2021-02-02 16:45:00,0.28,1.13
133,2021-02-02 18:15:00,2021-02-02 19:15:00,1.24,4.82
134,2021-02-02 20:45:00,2021-02-02 21:30:00,0.76,3.43
135,2021-02-02 23:15:00,2021-02-03 00:00:00,0.66,2.77
