cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-20 23:45:00,2021-01-21 00:30:00,0.86,4.91
1,2021-01-21 01:00:00,2021-01-21 02:30:00,1.62,10.17
2,2021-01-21 03:30:00,2021-01-21 04:00:00,0.52,3.06
3,2021-01-21 05:30:00,2021-01-21 06:00:00,0.58,3.41
4,2021-01-21 07:15:00,2021-01-21 07:45:00,0.54,3.13
5,2021-01-21 09:00:00,2021-01-21 09:30:00,0.52,3.07
6,2021-01-21 11:30:00,2021-01-21 12:00:00,0.47,2.88
7,2021-01-21 13:45:00,2021-01-21 14:15:00,0.52,3.13
8,2021-01-21 15:45:00,2021-01-21 16:15:00,0.53,3.11
9,2021-01-21 18:15:00,2021-01-21 18:45:00,0.57,3.46
10,2021-01-21 20:15:00,2021-01-21 20:45:00,0.52,3.13
11,2021-01-21 22:00:00,2021-01-21 22:30:00,0.52,3.09
12,2021-01-22 00:00:00,2021-01-22 00:30:00,0.53,3.18
13,2021-01-22 01:00:00,2021-01-22 02:15:00,1.44,11.74
14,2021-01-22 03:45:00,2021-01-22 04:15:00,0.55,3.19
15,2021-01-22 05:45:00,2021-01-22 06:15:00,0.56,3.28
16,2021-01-22 07:30:00,2021-01-22 08:00:00,0.56,3.17
17,2021-01-22 09:30:00,2021-01-22 09:45:00,0.39,2.2
18,2021-01-22 11:00:00,2021-01-22 11:30:00,0.57,3.08
19,2021-01-22 13:00:00,2021-01-22 14:00:00,1.05,5.62
20,2021-01-22 15:30:00,2021-01-22 16:00:00,0.56,3.26
21,2021-01-22 18:15:00,2021-01-22 18:45:00,0.66,3.79
22,2021-01-22 20:00:00,2021-01-22 20:30:00,0.55,3.17
23,2021-01-22 21:45:00,2021-01-22 22:15:00,0.56,3.2
24,2021-01-22 23:30:00,2021-01-23 00:30:00,1.1,5.9
25,2021-01-23 01:00:00,2021-01-23 02:15:00,1.32,9.68
26,2021-01-23 03:30:00,2021-01-23 04:00:00,0.57,3.14
27,2021-01-23 05:00:00,2021-01-23 06:15:00,1.2,6.41
28,2021-01-23 07:30:00,2021-01-23 08:00:00,0.57,3.15
29,2021-01-23 09:15:00,2021-01-23 09:45:00,0.56,3.1
30,2021-01-23 11:15:00,2021-01-23 12:15:00,1.1,5.97
31,2021-01-23 14:15:00,2021-01-23 14:45:00,0.59,3.3
32,2021-01-23 16:00:00,2021-01-23 16:30:00,0.59,3.27
33,2021-01-23 17:45:00,2021-01-23 18:15:00,0.57,3.15
34,2021-01-23 19:30:00,2021-01-23 20:30:00,1.0,5.33
35,2021-01-23 21:30:00,2021-01-23 22:15:00,0.58,3.26
36,2021-01-23 23:15:00,2021-01-24 00:30:00,1.12,6.15
37,2021-01-24 01:00:00,2021-01-24 01:15:00,0.47,2.84
38,2021-01-24 01:45:00,2021-01-24 02:15:00,0.55,3.12
39,2021-01-24 03:30:00,2021-01-24 04:00:00,0.57,3.19
40,2021-01-24 05:15:00,2021-01-24 05:45:00,0.61,3.33
41,2021-01-24 06:45:00,2021-01-24 08:00:00,1.16,6.12
42,2021-01-24 09:15:00,2021-01-24 09:45:00,0.57,3.13
43,2021-01-24 11:30:00,2021-01-24 12:00:00,0.56,3.13
44,2021-01-24 14:45:00,2021-01-24 15:15:00,0.67,3.6
45,2021-01-24 16:15:00,2021-01-24 17:00:00,0.68,3.51
46,2021-01-24 17:45:00,2021-01-24 19:00:00,1.28,6.63
47,2021-01-24 20:15:00,2021-01-24 20:45:00,0.65,3.4
48,2021-01-24 21:45:00,2021-01-24 22:30:00,0.62,3.28
49,2021-01-24 23:30:00,2021-01-25 00:00:00,0.62,3.29
50,2021-01-25 01:00:00,2021-01-25 01:30:00,0.68,7.57
51,2021-01-25 02:45:00,2021-01-25 04:00:00,1.25,9.01
52,2021-01-25 05:00:00,2021-01-25 05:45:00,0.62,3.43
53,2021-01-25 06:45:00,2021-01-25 07:15:00,0.61,3.31
54,2021-01-25 08:30:00,2021-01-25 09:15:00,0.98,5.23
55,2021-01-25 11:00:00,2021-01-25 11:30:00,0.64,3.52
56,2021-01-25 13:00:00,2021-01-25 13:30:00,0.56,3.1
57,2021-01-25 14:30:00,2021-01-25 15:00:00,0.6,3.24
58,2021-01-25 16:15:00,2021-01-25 16:45:00,0.75,3.9
59,2021-01-25 18:15:00,2021-01-25 18:45:00,0.67,3.65
60,2021-01-25 19:30:00,2021-01-25 20:15:00,0.62,3.42
61,2021-01-25 21:15:00,2021-01-25 21:45:00,0.62,3.31
62,2021-01-25 22:45:00,2021-01-25 23:45:00,1.06,5.57
63,2021-01-26 00:45:00,2021-01-26 01:30:00,0.7,7.52
64,2021-01-26 02:15:00,2021-01-26 02:45:00,0.59,3.2
65,2021-01-26 03:15:00,2021-01-26 04:15:00,1.02,5.35
66,2021-01-26 05:30:00,2021-01-26 06:00:00,0.66,3.47
67,2021-01-26 07:00:00,2021-01-26 08:00:00,1.15,5.96
68,2021-01-26 09:15:00,2021-01-26 09:45:00,0.64,3.46
69,2021-01-26 11:00:00,2021-01-26 11:30:00,0.59,3.18
70,2021-01-26 13:30:00,2021-01-26 14:00:00,0.53,2.87
71,2021-01-26 15:00:00,2021-01-26 15:45:00,0.65,3.47
72,2021-01-26 16:45:00,2021-01-26 16:45:00,0.12,1.33
73,2021-01-26 18:15:00,2021-01-26 19:15:00,1.12,5.72
74,2021-01-26 20:15:00,2021-01-26 20:45:00,0.66,3.38
75,2021-01-26 21:45:00,2021-01-26 22:30:00,0.68,3.38
76,2021-01-26 23:15:00,2021-01-27 00:30:00,1.23,6.11
77,2021-01-27 01:00:00,2021-01-27 01:45:00,0.86,6.44
78,2021-01-27 02:45:00,2021-01-27 03:45:00,1.17,5.54
79,2021-01-27 04:15:00,2021-01-27 04:45:00,0.67,3.45
80,2021-01-27 05:45:00,2021-01-27 06:30:00,0.68,3.52
81,2021-01-27 07:15:00,2021-01-27 08:00:00,0.68,3.49
82,2021-01-27 09:00:00,2021-01-27 09:45:00,0.96,4.97
83,2021-01-27 11:00:00,2021-01-27 11:30:00,0.65,3.51
84,2021-01-27 12:30:00,2021-01-27 13:00:00,0.62,3.35
85,2021-01-27 14:00:00,2021-01-27 15:00:00,1.02,5.43
86,2021-01-27 16:00:00,2021-01-27 16:30:00,0.59,3.32
