cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 23:00:00,2021-01-22 23:00:00,0.12,0.3
1,2021-01-23 00:00:00,2021-01-23 00:15:00,0.35,0.94
2,2021-01-23 06:00:00,2021-01-23 09:15:00,3.21,5.68
3,2021-01-23 11:45:00,2021-01-23 12:45:00,0.89,2.46
4,2021-01-23 14:15:00,2021-01-23 14:45:00,0.37,1.08
5,2021-01-23 16:00:00,2021-01-23 17:45:00,1.8,4.37
6,2021-01-23 18:15:00,2021-01-23 22:15:00,3.91,6.9
7,2021-01-23 23:30:00,2021-01-23 23:45:00,0.44,0.9
8,2021-01-24 03:45:00,2021-01-24 08:15:00,4.49,8.08
9,2021-01-24 13:45:00,2021-01-24 14:30:00,0.81,2.15
10,2021-01-24 16:00:00,2021-01-24 20:00:00,4.05,7.28
11,2021-01-24 21:45:00,2021-01-24 22:00:00,0.34,0.9
12,2021-01-25 03:00:00,2021-01-25 04:30:00,1.52,3.1
13,2021-01-25 05:00:00,2021-01-25 05:30:00,0.57,1.53
14,2021-01-25 07:30:00,2021-01-25 09:45:00,2.43,4.33
15,2021-01-25 11:15:00,2021-01-25 12:00:00,0.8,1.45
16,2021-01-25 17:30:00,2021-01-25 18:15:00,0.89,2.37
17,2021-01-25 18:45:00,2021-01-25 21:30:00,2.62,4.7
18,2021-01-25 22:15:00,2021-01-25 22:30:00,0.31,0.9
19,2021-01-26 02:15:00,2021-01-26 05:15:00,3.09,6.08
20,2021-01-26 13:15:00,2021-01-26 15:30:00,2.39,4.27
21,2021-01-26 17:30:00,2021-01-26 18:45:00,1.42,3.69
22,2021-01-26 21:30:00,2021-01-26 23:15:00,1.9,3.63
23,2021-01-27 02:15:00,2021-01-27 06:45:00,4.66,8.38
24,2021-01-27 14:00:00,2021-01-27 15:45:00,1.99,3.51
25,2021-01-27 17:30:00,2021-01-27 19:45:00,2.43,5.26
26,2021-01-27 21:15:00,2021-01-28 00:30:00,3.33,5.9
27,2021-01-28 04:30:00,2021-01-28 04:45:00,0.39,0.89
28,2021-01-28 08:45:00,2021-01-28 09:45:00,1.06,1.84
