cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-01-03 02:30:00,2022-01-06 16:30:00,86.09,232.62
1,2022-01-06 18:00:00,2022-01-10 03:00:00,80.94,300.72
2,2022-01-10 04:15:00,2022-03-10 13:00:00,1424.61,4973.12
3,2022-03-10 15:00:00,2022-03-17 11:00:00,164.1,420.71
4,2022-03-17 13:00:00,2022-03-17 13:00:00,0.12,0.81
5,2022-03-17 13:30:00,2022-03-18 13:45:00,24.32,59.82
6,2022-03-18 15:30:00,2022-03-28 17:15:00,240.73,551.26
7,2022-03-28 19:45:00,2022-04-12 18:30:00,358.68,893.67
8,2022-04-12 20:45:00,2022-04-13 14:15:00,17.52,35.27
9,2022-04-13 17:00:00,2022-04-13 17:45:00,0.71,3.21
10,2022-04-14 02:15:00,2022-04-14 15:00:00,12.66,26.39
11,2022-04-14 17:45:00,2022-04-14 18:15:00,0.48,2.41
12,2022-04-15 02:15:00,2022-04-15 17:00:00,14.7,27.79
13,2022-04-16 02:15:00,2022-05-08 21:45:00,547.55,988.14
14,2022-05-09 02:30:00,2022-05-09 09:00:00,6.56,11.44
15,2022-05-09 13:45:00,2022-05-09 15:00:00,1.28,3.59
16,2022-05-10 02:15:00,2022-05-10 10:00:00,7.66,13.35
17,2022-05-10 14:30:00,2022-05-10 15:30:00,1.06,3.21
18,2022-05-11 03:15:00,2022-05-11 08:30:00,5.32,9.4
19,2022-05-11 13:45:00,2022-05-11 14:30:00,0.84,2.73
20,2022-05-12 09:15:00,2022-05-12 10:15:00,0.92,3.67
21,2022-05-12 15:15:00,2022-05-12 16:00:00,0.78,2.76
22,2022-05-13 04:15:00,2022-05-13 06:30:00,2.16,4.45
23,2022-05-13 11:15:00,2022-05-13 12:45:00,1.56,4.13
24,2022-05-13 18:15:00,2022-05-13 19:45:00,1.45,3.74
25,2022-05-14 01:00:00,2022-05-14 03:45:00,2.74,5.87
26,2022-05-14 09:00:00,2022-05-14 10:30:00,1.53,4.08
27,2022-05-14 16:00:00,2022-05-14 16:15:00,0.41,0.82
28,2022-05-15 03:15:00,2022-05-15 09:15:00,6.07,11.05
29,2022-05-15 14:15:00,2022-05-15 15:00:00,0.75,2.81
30,2022-05-16 06:15:00,2022-05-16 07:45:00,1.43,3.91
31,2022-05-16 14:00:00,2022-05-16 15:00:00,0.99,2.98
32,2022-05-17 04:15:00,2022-05-17 05:00:00,0.67,2.69
33,2022-05-19 06:30:00,2022-05-19 06:45:00,0.35,0.36
34,2022-05-19 07:15:00,2022-05-19 07:30:00,0.49,0.31
35,2022-05-20 04:30:00,2022-05-20 04:45:00,0.38,0.36
36,2022-05-20 05:30:00,2022-05-20 06:00:00,0.66,0.53
37,2022-05-21 07:30:00,2022-05-21 07:45:00,0.41,0.38
38,2022-05-21 08:30:00,2022-05-21 08:30:00,0.12,0.23
39,2022-05-22 03:30:00,2022-05-22 04:45:00,1.5,1.68
40,2022-05-23 01:30:00,2022-05-23 01:45:00,0.46,0.47
41,2022-05-23 02:30:00,2022-05-23 02:45:00,0.45,0.39
42,2022-05-23 06:15:00,2022-05-23 06:15:00,0.12,0.24
43,2022-05-23 22:30:00,2022-05-23 22:30:00,0.12,0.18
