cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-23 23:00:00,2021-01-27 17:15:00,90.5,461.78
1,2021-01-27 17:45:00,2021-01-28 09:45:00,16.19,79.62
2,2021-01-28 10:15:00,2021-01-28 17:00:00,6.83,25.83
3,2021-01-28 17:30:00,2021-01-29 09:45:00,16.32,60.46
4,2021-01-29 10:15:00,2021-01-29 10:30:00,0.48,1.02
5,2021-01-29 11:00:00,2021-02-02 17:15:00,102.37,399.91
6,2021-02-02 17:45:00,2021-02-03 10:00:00,16.34,61.72
7,2021-02-03 10:30:00,2021-02-03 17:15:00,6.83,27.8
8,2021-02-03 17:45:00,2021-02-05 09:45:00,40.22,154.14
9,2021-02-05 10:15:00,2021-02-05 10:30:00,0.44,0.95
10,2021-02-05 11:00:00,2021-02-05 16:45:00,5.87,22.26
11,2021-02-05 17:15:00,2021-02-10 10:30:00,113.41,479.01
12,2021-02-10 11:00:00,2021-02-16 10:00:00,143.09,886.24
13,2021-02-16 10:30:00,2021-02-17 10:30:00,24.16,101.84
14,2021-02-17 11:00:00,2021-02-19 09:45:00,47.0,191.8
15,2021-02-19 10:15:00,2021-02-20 13:45:00,27.47,107.95
16,2021-02-20 14:15:00,2021-02-20 14:45:00,0.46,1.31
17,2021-02-20 15:15:00,2021-02-21 20:15:00,28.97,122.48
18,2021-02-21 20:45:00,2021-02-22 00:00:00,3.5,11.32
19,2021-02-22 00:30:00,2021-02-22 10:15:00,9.88,35.28
20,2021-02-22 11:00:00,2021-02-22 14:15:00,3.36,13.9
21,2021-02-22 14:45:00,2021-02-22 17:00:00,2.27,7.52
22,2021-02-22 17:30:00,2021-02-23 02:00:00,8.72,32.46
23,2021-02-23 02:30:00,2021-02-23 09:45:00,7.4,26.75
24,2021-02-23 10:15:00,2021-02-23 10:30:00,0.46,1.29
25,2021-02-23 11:00:00,2021-02-23 22:15:00,11.42,39.02
26,2021-02-23 22:45:00,2021-02-24 00:30:00,2.0,6.44
27,2021-02-24 01:00:00,2021-02-24 09:45:00,9.0,32.85
28,2021-02-24 10:30:00,2021-02-24 10:30:00,0.12,0.52
29,2021-02-24 11:00:00,2021-02-24 17:15:00,6.46,21.17
30,2021-02-24 17:45:00,2021-02-25 07:00:00,13.3,47.59
31,2021-02-25 07:30:00,2021-02-25 09:45:00,2.36,9.1
32,2021-02-25 10:15:00,2021-02-25 10:30:00,0.38,1.12
33,2021-02-25 11:00:00,2021-02-25 15:00:00,4.2,15.52
34,2021-02-25 15:45:00,2021-02-25 16:15:00,0.74,2.56
35,2021-02-25 16:45:00,2021-02-26 10:00:00,17.5,59.68
36,2021-02-26 10:30:00,2021-02-26 14:00:00,3.39,13.59
37,2021-02-26 14:30:00,2021-02-26 17:00:00,2.56,7.9
38,2021-02-26 17:30:00,2021-03-01 09:45:00,64.27,255.61
39,2021-03-01 10:15:00,2021-03-02 10:30:00,24.38,100.2
40,2021-03-02 11:00:00,2021-03-02 14:15:00,3.29,13.73
41,2021-03-02 14:45:00,2021-03-03 09:00:00,18.31,68.48
42,2021-03-03 09:30:00,2021-03-03 09:45:00,0.42,2.39
