cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-08-09 03:30:00,2022-08-09 04:00:00,0.62,2.46
1,2022-08-09 21:00:00,2022-08-09 21:45:00,0.65,2.55
2,2022-08-10 19:30:00,2022-08-10 20:00:00,0.69,2.75
3,2022-08-12 06:15:00,2022-08-12 07:00:00,0.8,3.11
4,2022-08-13 14:15:00,2022-08-13 14:45:00,0.62,2.45
5,2022-08-14 10:30:00,2022-08-14 11:15:00,0.71,2.76
6,2022-08-14 14:00:00,2022-08-14 14:45:00,0.63,2.54
7,2022-08-15 19:00:00,2022-08-15 19:45:00,0.82,3.24
8,2022-08-17 05:15:00,2022-08-17 05:45:00,0.58,2.31
9,2022-08-18 06:30:00,2022-08-18 07:00:00,0.71,2.8
10,2022-08-19 19:45:00,2022-08-19 20:30:00,0.65,2.54
11,2022-08-21 04:00:00,2022-08-21 04:45:00,0.64,2.55
12,2022-08-22 02:15:00,2022-08-22 03:00:00,0.72,2.77
13,2022-08-23 04:30:00,2022-08-23 05:15:00,0.69,2.64
14,2022-08-24 08:30:00,2022-08-24 09:15:00,0.68,2.65
15,2022-08-25 11:15:00,2022-08-25 12:00:00,0.65,2.57
16,2022-08-26 12:30:00,2022-08-26 13:00:00,0.6,2.41
17,2022-08-28 10:00:00,2022-08-28 10:15:00,0.44,1.8
18,2022-08-29 06:45:00,2022-08-29 07:30:00,0.74,2.93
19,2022-08-30 16:45:00,2022-08-30 17:30:00,0.59,2.36
20,2022-08-31 19:30:00,2022-08-31 20:15:00,0.79,3.04
21,2022-09-01 20:00:00,2022-09-01 20:30:00,0.6,2.4
22,2022-09-03 03:00:00,2022-09-03 03:45:00,0.66,2.61
23,2022-09-04 16:15:00,2022-09-04 16:45:00,0.62,2.49
24,2022-09-05 15:30:00,2022-09-05 16:00:00,0.56,2.27
