cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-06 23:00:00,2021-01-07 01:00:00,2.03,7.25
1,2021-01-07 01:30:00,2021-01-07 03:30:00,1.88,6.58
2,2021-01-07 04:00:00,2021-01-07 04:30:00,0.69,3.02
3,2021-01-07 05:00:00,2021-01-07 05:45:00,0.8,3.64
4,2021-01-07 06:15:00,2021-01-07 07:00:00,0.81,3.69
5,2021-01-07 07:30:00,2021-01-07 08:15:00,0.82,3.75
6,2021-01-07 08:45:00,2021-01-07 09:15:00,0.57,2.56
7,2021-01-07 09:45:00,2021-01-07 12:30:00,2.77,8.73
8,2021-01-07 13:00:00,2021-01-07 13:30:00,0.52,2.5
9,2021-01-07 14:00:00,2021-01-07 14:30:00,0.71,3.17
10,2021-01-07 15:00:00,2021-01-07 15:45:00,0.82,3.62
11,2021-01-07 16:15:00,2021-01-07 16:45:00,0.61,2.59
12,2021-01-07 17:15:00,2021-01-07 18:00:00,0.73,3.29
13,2021-01-07 18:30:00,2021-01-07 19:15:00,0.77,3.58
14,2021-01-07 19:45:00,2021-01-07 20:30:00,0.78,3.65
15,2021-01-07 21:00:00,2021-01-07 21:45:00,0.79,3.69
16,2021-01-07 22:15:00,2021-01-07 22:45:00,0.57,2.71
17,2021-01-07 23:15:00,2021-01-07 23:45:00,0.69,3.03
18,2021-01-08 00:15:00,2021-01-08 01:00:00,0.82,3.61
19,2021-01-08 01:30:00,2021-01-08 02:15:00,0.85,3.72
20,2021-01-08 02:45:00,2021-01-08 03:30:00,0.86,3.77
21,2021-01-08 04:00:00,2021-01-08 04:30:00,0.64,2.75
22,2021-01-08 05:00:00,2021-01-08 05:45:00,0.67,3.05
23,2021-01-08 06:15:00,2021-01-08 07:00:00,0.78,3.61
24,2021-01-08 07:30:00,2021-01-08 08:15:00,0.78,3.65
25,2021-01-08 08:45:00,2021-01-08 11:30:00,2.92,9.44
26,2021-01-08 12:00:00,2021-01-08 12:30:00,0.56,2.54
27,2021-01-08 13:00:00,2021-01-08 13:30:00,0.63,2.94
28,2021-01-08 14:00:00,2021-01-08 14:30:00,0.58,2.5
29,2021-01-08 15:00:00,2021-01-08 15:45:00,0.75,3.34
30,2021-01-08 16:15:00,2021-01-08 17:00:00,0.83,3.75
31,2021-01-08 17:30:00,2021-01-08 18:15:00,0.89,3.9
32,2021-01-08 18:45:00,2021-01-08 20:00:00,1.18,5.28
33,2021-01-08 20:30:00,2021-01-08 23:15:00,2.96,11.3
34,2021-01-08 23:45:00,2021-01-09 01:30:00,1.65,7.36
35,2021-01-09 02:00:00,2021-01-09 03:30:00,1.69,7.36
36,2021-01-09 04:00:00,2021-01-09 05:15:00,1.19,5.28
37,2021-01-09 05:45:00,2021-01-09 06:30:00,0.86,3.82
