cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 00:15:00,0.37,3.76
1,2021-01-01 00:45:00,2021-01-01 01:45:00,1.01,6.54
2,2021-01-01 02:15:00,2021-01-01 02:45:00,0.65,2.66
3,2021-01-01 03:30:00,2021-01-01 04:45:00,1.24,4.9
4,2021-01-01 05:15:00,2021-01-01 06:30:00,1.32,5.36
5,2021-01-01 07:00:00,2021-01-01 08:15:00,1.27,5.08
6,2021-01-01 08:45:00,2021-01-01 10:45:00,2.23,8.74
7,2021-01-01 11:30:00,2021-01-01 20:45:00,9.47,37.53
8,2021-01-01 21:30:00,2021-01-02 00:00:00,2.55,23.02
9,2021-01-02 00:30:00,2021-01-02 01:30:00,0.98,6.24
10,2021-01-02 02:00:00,2021-01-02 03:00:00,0.96,3.75
11,2021-01-02 03:30:00,2021-01-02 05:00:00,1.49,6.02
12,2021-01-02 05:30:00,2021-01-02 06:45:00,1.34,5.47
13,2021-01-02 07:15:00,2021-01-02 08:45:00,1.55,6.35
14,2021-01-02 09:15:00,2021-01-02 11:45:00,2.58,10.27
15,2021-01-02 12:30:00,2021-01-02 15:45:00,3.5,13.94
16,2021-01-02 16:30:00,2021-01-03 00:30:00,8.22,46.29
17,2021-01-03 01:15:00,2021-01-03 01:45:00,0.54,5.44
18,2021-01-03 02:30:00,2021-01-03 03:15:00,0.95,3.87
19,2021-01-03 03:45:00,2021-01-03 06:15:00,2.51,10.17
20,2021-01-03 06:45:00,2021-01-03 09:00:00,2.44,9.93
21,2021-01-03 09:30:00,2021-01-04 00:30:00,14.93,74.51
22,2021-01-04 01:00:00,2021-01-04 02:30:00,1.38,8.58
23,2021-01-04 03:00:00,2021-01-04 08:30:00,5.74,23.96
24,2021-01-04 09:00:00,2021-01-04 11:00:00,2.04,8.2
25,2021-01-04 11:30:00,2021-01-04 14:15:00,2.71,10.98
26,2021-01-04 14:45:00,2021-01-05 00:00:00,9.31,52.07
27,2021-01-05 00:45:00,2021-01-05 02:00:00,1.37,8.35
28,2021-01-05 02:30:00,2021-01-05 06:00:00,3.52,14.67
29,2021-01-05 06:30:00,2021-01-05 21:00:00,14.67,60.19
30,2021-01-05 21:30:00,2021-01-06 00:00:00,2.67,26.38
31,2021-01-06 00:30:00,2021-01-06 01:45:00,1.16,7.97
32,2021-01-06 02:30:00,2021-01-06 05:45:00,3.39,13.83
33,2021-01-06 06:15:00,2021-01-06 10:30:00,4.27,17.5
34,2021-01-06 11:00:00,2021-01-06 13:30:00,2.52,10.14
35,2021-01-06 14:00:00,2021-01-06 20:45:00,6.63,27.0
36,2021-01-06 21:15:00,2021-01-07 00:30:00,3.16,26.91
37,2021-01-07 01:00:00,2021-01-07 02:00:00,0.95,7.25
38,2021-01-07 02:30:00,2021-01-07 03:15:00,0.74,3.01
39,2021-01-07 03:45:00,2021-01-07 08:00:00,4.2,17.29
40,2021-01-07 08:30:00,2021-01-07 09:45:00,1.36,5.47
41,2021-01-07 10:15:00,2021-01-07 13:45:00,3.52,14.16
42,2021-01-07 14:15:00,2021-01-07 16:45:00,2.38,9.62
43,2021-01-07 17:15:00,2021-01-07 20:45:00,3.55,14.16
44,2021-01-07 21:15:00,2021-01-08 00:30:00,3.26,29.86
45,2021-01-08 01:00:00,2021-01-08 02:15:00,1.31,8.29
46,2021-01-08 02:45:00,2021-01-08 10:00:00,7.27,30.02
47,2021-01-08 10:30:00,2021-01-08 13:15:00,2.82,11.22
48,2021-01-08 14:00:00,2021-01-12 00:00:00,82.24,442.4
49,2021-01-12 00:30:00,2021-01-12 08:00:00,7.54,34.3
50,2021-01-12 08:30:00,2021-01-12 10:45:00,2.11,8.62
51,2021-01-12 11:15:00,2021-01-12 13:45:00,2.55,10.39
52,2021-01-12 14:15:00,2021-01-12 15:45:00,1.51,6.12
53,2021-01-12 16:15:00,2021-01-12 19:30:00,3.31,13.23
54,2021-01-12 20:00:00,2021-01-13 00:00:00,4.02,27.26
55,2021-01-13 00:45:00,2021-01-13 01:30:00,0.9,5.63
56,2021-01-13 02:00:00,2021-01-13 02:30:00,0.54,2.18
